episode,decisions,episode_reward,avg_loss,epsilon,final_vehicle_count,final_total_waiting_time,final_mean_speed
1,111,-227103.0,3.0364206582307816,0.7861544476842928,104,1992.0,2.821445248841542
2,109,-133302.0,1.1201173203800796,0.45522245551230495,106,3413.0,3.210208265136932
3,106,-147680.0,0.9381836157924724,0.26759021970270175,99,4665.0,2.00245505062473
4,105,-128355.0,1.5397222195352827,0.1580861105294992,123,679.0,2.7637329360991654
5,105,-125185.0,2.188487886247181,0.09339361644125409,126,539.0,1.8360424729388707
6,105,-117385.0,2.696883593286787,0.05517478773284426,121,898.0,2.188251639261692
7,105,-133412.0,3.428526150612604,0.05,120,257.0,3.0489228598242533
8,104,-117043.0,3.8143214755333386,0.05,123,791.0,2.742420943441621
9,104,-115937.0,5.066622291619961,0.05,117,577.0,3.223221844871656
10,105,-105257.0,5.384081159319196,0.05,106,433.0,3.2099112378882926
11,105,-106307.0,6.210149022511073,0.05,133,2553.0,2.875496327383104
12,105,-127369.0,6.563170964377267,0.05,126,2541.0,2.631039108420412
13,105,-86671.0,7.523967341014317,0.05,119,662.0,3.5193978374710486
14,105,-112200.0,7.336929273605347,0.05,120,2349.0,2.960928357260627
15,104,-102517.0,8.168491212221292,0.05,120,929.0,2.9189229484636874
16,105,-111201.0,8.211570203871954,0.05,119,902.0,2.8004636601966983
17,105,-114816.0,8.369225477036975,0.05,127,1550.0,2.6657688919627693
18,105,-123537.0,8.651564539046515,0.05,143,3678.0,2.63750963813682
19,105,-115777.0,9.108784271421886,0.05,116,885.0,3.306239038259995
20,105,-147825.0,10.212546689169747,0.05,125,1212.0,2.0254156358507984
