decision,step,action,vehicle_count,total_waiting_time,mean_speed,current_green,queue_phase_0,queue_phase_3,reward,done
1,2,0,4,0.0,0.6628257775679232,0,0,0,-0.0,False
1,3,0,4,0.0,1.3396166710415855,0,0,0,-0.0,False
1,4,0,4,0.0,2.037684859335423,0,0,0,-0.0,False
1,5,0,4,0.0,2.7018711789045486,0,0,0,-0.0,False
1,6,0,7,0.0,1.9074580833848034,0,1,2,-0.0,False
1,7,0,7,0.0,2.5127586193382743,0,0,0,-0.0,False
1,8,0,7,0.0,3.11353109835514,0,0,0,-0.0,False
1,9,0,7,0.0,3.810651793237775,0,0,0,-0.0,False
1,10,0,7,0.0,4.342707094869444,0,0,0,-0.0,False
1,11,0,8,0.0,4.411206495179795,0,1,0,-0.0,False
1,12,0,8,0.0,5.024360246653668,0,0,0,-0.0,False
1,13,0,9,0.0,5.001201709256403,0,0,1,-0.0,False
1,14,0,9,0.0,5.584838516906732,0,0,0,-0.0,False
1,15,0,9,0.0,6.197308191356973,0,0,0,-0.0,False
1,16,0,10,0.0,6.1120679724961535,0,1,0,-0.0,False
1,17,0,10,0.0,6.675063327569516,0,0,0,-0.0,False
1,18,0,12,0.0,6.071363022178411,0,1,1,-0.0,False
1,19,0,12,0.0,6.644222968040656,0,0,0,-0.0,False
1,20,0,13,0.0,6.637055477499964,0,0,1,-0.0,False
1,21,0,14,0.0,6.750413043620617,0,1,0,-0.0,False
1,22,0,14,0.0,7.280294518774661,0,0,0,-0.0,False
1,23,0,14,0.0,7.834628577839604,0,0,0,-0.0,False
1,24,0,14,0.0,8.452520316129823,0,0,0,-0.0,False
1,25,0,14,0.0,8.916873352156541,0,0,0,-0.0,False
1,26,0,15,0.0,8.706038670162116,0,1,0,-0.0,False
1,27,0,16,0.0,8.539764273738028,0,1,0,-0.0,False
1,28,0,17,0.0,8.478638958477147,0,0,1,-0.0,False
1,29,0,18,0.0,8.455893120439521,0,0,1,-0.0,False
1,30,0,18,0.0,8.795171105728018,0,0,0,-0.0,False
1,31,0,19,0.0,8.618358272651598,0,1,0,-0.0,False
2,32,0,19,0.0,8.411451947576017,0,0,0,-0.0,False
2,33,0,19,0.0,8.10403887380228,0,0,0,-0.0,False
2,34,0,20,0.0,7.617679090297029,0,0,1,-0.0,False
2,35,0,20,0.0,7.919595216715552,0,0,0,-0.0,False
2,36,0,21,2.0,7.670542006558546,0,1,2,-2.0,False
2,37,0,23,4.0,6.9598045911062965,0,1,3,-4.0,False
2,38,0,23,6.0,6.957546085989454,0,0,2,-6.0,False
2,39,0,23,8.0,7.096128986605942,0,0,2,-8.0,False
2,40,0,23,12.0,7.388727881741697,0,0,4,-12.0,False
2,41,0,24,16.0,7.406513491680351,0,1,4,-16.0,False
2,42,0,25,20.0,7.43849973887013,0,0,5,-20.0,False
2,43,0,26,24.0,7.531550407802187,0,0,5,-24.0,False
2,44,0,26,28.0,7.659223904022789,0,0,4,-28.0,False
2,45,0,26,32.0,7.708755531944697,0,0,4,-32.0,False
2,46,0,26,36.0,7.857334252475716,0,0,4,-36.0,False
2,47,0,28,41.0,7.513571998501712,0,1,6,-41.0,False
2,48,0,28,46.0,7.643427061717796,0,0,5,-46.0,False
2,49,0,28,51.0,7.636741299567559,0,0,5,-51.0,False
2,50,0,29,56.0,7.333598789418638,0,1,5,-56.0,False
2,51,0,29,62.0,7.341059002799744,0,0,6,-62.0,False
2,52,0,31,68.0,7.0437300534051674,0,1,7,-68.0,False
2,53,0,31,74.0,6.779430809643368,0,0,7,-74.0,False
2,54,0,31,81.0,7.060616440502814,0,0,7,-81.0,False
2,55,0,31,88.0,7.333508984750523,0,0,7,-88.0,False
2,56,0,31,95.0,7.603076236453436,0,0,7,-95.0,False
2,57,0,33,102.0,7.350465343346812,0,1,8,-102.0,False
2,58,0,33,109.0,7.516149960406061,0,0,7,-109.0,False
2,59,0,33,116.0,7.6160773468850635,0,0,7,-116.0,False
2,60,0,32,123.0,7.442848058223841,0,0,7,-123.0,False
2,61,0,32,130.0,7.308677924541848,0,0,7,-130.0,False
3,62,1,34,138.0,6.851496049764615,0,0,10,0.0,False
3,63,1,35,146.0,6.554841598773751,0,1,8,0.0,False
3,64,1,35,155.0,6.533077547630123,0,0,9,0.0,False
3,65,1,36,164.0,6.379005900224827,0,1,9,0.0,False
3,66,1,36,174.0,6.431419103876656,0,1,9,0.0,False
3,67,1,36,103.0,6.304982718541743,3,1,7,-103.0,False
3,68,1,36,52.0,6.35290906947737,3,1,4,-52.0,False
3,69,1,37,27.0,6.205504034285232,3,3,2,-27.0,False
