decision,step,action,vehicle_count,total_waiting_time,mean_speed,current_green,queue_phase_0,queue_phase_3,reward,done
1,31,0,19,0.0,8.618358272651598,0,1,0,-0.0,False
2,61,0,32,130.0,7.308677924541848,0,0,7,-130.0,False
3,96,1,45,153.0,7.6155087236735675,3,8,0,-153.0,False
4,131,0,47,150.0,7.394563068183535,0,0,11,-150.0,False
5,166,1,50,169.0,7.7360020035200865,3,10,2,-169.0,False
6,201,0,45,139.0,6.9354382294139905,0,0,10,-139.0,False
7,236,1,46,215.0,7.446044322398023,3,11,1,-215.0,False
8,271,0,47,128.0,6.446309557244369,0,2,9,-128.0,False
9,301,0,51,483.0,6.330715784977303,0,1,16,-483.0,False
10,336,1,55,142.0,6.9953337600779,3,9,0,-142.0,False
11,371,0,53,331.0,6.394100196494537,0,0,18,-331.0,False
12,406,1,54,132.0,7.568012992780701,3,9,0,-132.0,False
13,441,0,51,337.0,6.8022006557348424,0,1,16,-337.0,False
14,476,1,52,169.0,6.419666580274448,3,9,0,-169.0,False
15,511,0,54,369.0,5.783039545372276,0,0,18,-369.0,False
16,546,1,59,187.0,6.029174747035464,3,10,0,-187.0,False
17,581,0,62,432.0,4.720535948602434,0,0,25,-432.0,False
18,616,1,64,264.0,6.4553235403642715,3,13,0,-264.0,False
19,651,0,59,396.0,5.1651603443215,0,0,21,-396.0,False
20,686,1,61,275.0,5.705867227354571,3,14,1,-275.0,False
21,721,0,62,409.0,5.819575155071257,0,0,22,-409.0,False
22,756,1,60,206.0,6.226089316116817,3,12,0,-206.0,False
23,791,0,62,437.0,5.690400155776588,0,0,21,-437.0,False
24,826,1,62,293.0,4.300045616618497,3,16,1,-293.0,False
25,861,0,63,426.0,5.467626975302954,0,0,24,-426.0,False
26,896,1,61,197.0,6.7314607547628995,3,11,0,-197.0,False
27,931,0,59,447.0,6.09901031059334,0,0,22,-447.0,False
28,966,1,61,210.0,5.095799613264878,3,12,2,-210.0,False
29,1001,0,65,461.0,4.9464910045103565,0,0,28,-461.0,False
30,1036,1,67,238.0,4.7682647199734145,3,13,3,-238.0,False
31,1071,0,70,440.0,5.322935444681216,0,0,28,-440.0,False
32,1106,1,67,253.0,5.620184187119508,3,9,6,-253.0,False
33,1141,0,68,481.0,5.25819004733941,0,0,29,-481.0,False
34,1176,1,70,295.0,4.96229409297337,3,10,8,-295.0,False
35,1211,0,72,441.0,4.881813146796436,0,1,28,-441.0,False
36,1246,1,72,378.0,3.9393012531523866,3,10,11,-378.0,False
37,1281,0,80,324.0,5.052089038166903,0,0,22,-324.0,False
38,1316,1,77,393.0,4.112285187203458,3,10,17,-393.0,False
39,1351,0,80,509.0,3.8154214783309826,0,0,32,-509.0,False
40,1386,1,84,1175.0,3.7185446997765825,3,13,32,-1175.0,False
41,1421,0,87,521.0,3.9948611470215956,0,2,39,-521.0,False
42,1456,1,84,1267.0,4.418317910062502,3,13,28,-1267.0,False
43,1491,0,83,1075.0,4.147446099871373,0,0,44,-1075.0,False
44,1526,1,82,1461.0,3.5628940006996785,3,11,27,-1461.0,False
45,1561,0,86,2008.0,3.531268519114488,0,0,49,-2008.0,False
46,1596,1,87,1902.0,3.83249365350455,3,13,32,-1902.0,False
47,1631,0,88,544.0,3.754840237004953,0,4,35,-544.0,False
48,1666,1,93,752.0,3.611469584383841,3,14,40,-752.0,False
49,1701,0,96,995.0,3.3227673054899562,0,0,49,-995.0,False
50,1736,1,101,1635.0,3.305805837745966,3,20,41,-1635.0,False
51,1771,0,105,1750.0,3.8314597196984392,0,1,54,-1750.0,False
52,1806,1,99,1654.0,2.8853362089745533,3,17,38,-1654.0,False
53,1841,0,101,1673.0,2.9114547133650603,0,1,58,-1673.0,False
54,1876,1,101,1555.0,3.2582948153139597,3,22,31,-1555.0,False
55,1911,0,99,1380.0,3.196320737865996,0,0,52,-1380.0,False
56,1946,1,94,687.0,3.110092725562602,3,20,30,-687.0,False
57,1981,0,91,515.0,3.378033854747506,0,0,32,-515.0,False
58,2016,1,88,506.0,3.50297956787646,3,19,20,-506.0,False
59,2051,0,88,666.0,3.477844679479284,0,4,36,-666.0,False
60,2086,1,85,749.0,3.6808375402673867,3,21,15,-749.0,False
61,2121,0,87,462.0,3.7491235672369903,0,4,28,-462.0,False
62,2156,1,94,927.0,2.6850853027870167,3,24,35,-927.0,False
63,2191,0,100,798.0,3.9514167186602434,0,1,44,-798.0,False
64,2226,1,103,894.0,3.447345696446985,3,25,36,-894.0,False
65,2261,0,105,1223.0,2.8541082795026433,0,1,55,-1223.0,False
66,2296,1,113,1871.0,2.660604191198717,3,29,35,-1871.0,False
67,2331,0,114,2359.0,2.4032316059313668,0,7,62,-2359.0,False
68,2366,1,110,2003.0,2.5010323321130272,3,23,27,-2003.0,False
69,2401,0,107,1052.0,2.9743488797254742,0,3,54,-1052.0,False
70,2436,1,103,750.0,3.032781580289339,3,26,20,-750.0,False
71,2471,0,103,709.0,3.198727530495915,0,5,39,-709.0,False
72,2506,1,102,766.0,2.6171320953618573,3,30,21,-766.0,False
73,2541,0,102,617.0,3.9852759975962693,0,0,34,-617.0,False
74,2576,1,93,1206.0,3.378413856101609,3,29,22,-1206.0,False
