step,offset_j2,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase
0,20,side_green,main_green,6,0.0,0.0,6,0,2
1,20,side_green,main_green,6,0.0,1.789690213444798,0,0,2
2,20,side_green,main_green,6,0.0,3.756390419423891,0,0,2
3,20,side_green,main_green,6,0.0,5.92296972476955,0,0,2
4,20,side_green,main_green,7,0.0,6.671355706260407,1,0,2
5,20,side_green,main_green,7,0.0,8.580810196774213,0,0,2
6,20,side_green,main_green,8,0.0,9.202939155693068,1,0,2
7,20,side_green,main_green,8,0.0,10.419143116186309,0,0,2
8,20,side_green,main_green,9,0.0,9.884092093126895,1,0,2
9,20,side_green,main_green,9,0.0,10.511177492539856,0,0,2
10,20,side_green,main_green,9,0.0,10.934847417781384,0,0,2
11,20,side_green,main_green,10,0.0,10.446661870689825,1,0,2
12,20,side_green,main_green,15,0.0,7.3056574359121695,5,0,2
13,20,side_green,main_green,15,0.0,8.338465850555735,0,0,2
14,20,side_green,main_green,15,0.0,9.418157730429211,0,0,2
15,20,side_green,main_green,15,0.0,10.108933294090166,0,0,2
16,20,side_green,main_green,17,0.0,9.767423142605036,2,0,2
17,20,side_green,main_yellow,17,0.0,10.42388920768847,0,0,3
18,20,side_green,main_yellow,17,0.0,10.867133269983269,0,0,3
19,20,side_green,main_yellow,17,0.0,11.01748516488196,0,0,3
20,20,side_green,side_green,18,0.0,10.727183553640876,1,0,0
21,20,side_green,side_green,19,0.0,10.770067227250445,1,0,0
22,20,side_green,side_green,19,0.0,11.237896333077924,0,0,0
23,20,side_green,side_green,19,0.0,11.507699407566038,0,0,0
24,20,side_green,side_green,24,0.0,9.276658717270276,5,0,0
25,20,side_green,side_green,24,0.0,9.758292986168666,0,0,0
26,20,side_green,side_green,25,0.0,9.556876921201587,1,0,0
27,20,side_green,side_green,25,0.0,9.829129355475505,0,0,0
28,20,side_green,side_green,26,0.0,9.807439854683935,1,0,0
29,20,side_green,side_green,26,0.0,10.204169083511857,0,0,0
30,20,side_green,side_green,26,2.0,10.401178618544462,2,0,0
31,20,side_green,side_green,27,4.0,10.336784606038467,3,0,0
32,20,side_green,side_green,28,7.0,10.28339318514569,4,0,0
33,20,side_green,side_green,26,10.0,9.740561910628777,3,0,0
34,20,side_green,side_green,26,13.0,9.594733420447602,3,0,0
35,20,side_green,side_green,26,16.0,9.486810136124479,3,0,0
36,20,side_green,side_green,31,21.0,7.898721093036772,10,0,0
37,20,side_green,side_green,32,26.0,7.937317902306198,6,0,0
38,20,side_green,side_green,31,31.0,8.14451261988297,5,0,0
39,20,side_green,side_green,30,37.0,8.220297404170491,6,0,0
40,20,side_green,side_green,31,43.0,8.214477399856346,7,0,0
41,20,side_green,side_green,31,50.0,8.527922988201839,7,0,0
42,20,side_yellow,side_green,32,57.0,8.433240362078713,8,1,0
43,20,side_yellow,side_green,32,64.0,8.758484459176861,7,1,0
44,20,side_yellow,side_green,33,72.0,8.327893441396165,9,1,0
45,20,main_green,side_green,29,50.0,7.88974696883816,6,2,0
46,20,main_green,side_green,29,37.0,7.8862379652533035,4,2,0
47,20,main_green,side_green,30,38.0,7.753458275958932,5,2,0
48,20,main_green,side_green,35,42.0,7.100841026235283,9,2,0
49,20,main_green,side_green,35,46.0,7.738883858915887,4,2,0
50,20,main_green,side_green,35,51.0,8.495143745920048,5,2,0
51,20,main_green,side_green,35,56.0,9.21027961795964,5,2,0
52,20,main_green,side_green,37,61.0,9.254851134018514,7,2,0
53,20,main_green,side_green,37,66.0,9.48804547474844,5,2,0
54,20,main_green,side_green,37,71.0,9.690624595958585,5,2,0
55,20,main_green,side_green,37,76.0,9.819784179956894,5,2,0
56,20,main_green,side_green,38,82.0,9.421475208558686,7,2,0
57,20,main_green,side_green,37,90.0,9.029959025842967,9,2,0
58,20,main_green,side_green,36,98.0,8.960469372223692,8,2,0
59,20,main_green,side_green,36,106.0,9.11648062824714,8,2,0
60,20,main_green,side_green,40,115.0,7.912342133539307,14,2,0
61,20,main_green,side_green,40,124.0,8.292669248583774,9,2,0
62,20,main_green,side_yellow,41,133.0,8.291490397102747,10,2,1
63,20,main_green,side_yellow,41,143.0,8.596347285432907,10,2,1
64,20,main_green,side_yellow,42,153.0,8.47946936470873,11,2,1
65,20,main_green,main_green,42,97.0,8.514151249979307,8,2,2
66,20,main_green,main_green,42,59.0,8.48661601644062,6,2,2
67,20,main_green,main_green,43,37.0,8.424043782233431,6,2,2
68,20,main_green,main_green,44,28.0,8.460733934745074,5,2,2
69,20,main_green,main_green,43,31.0,8.86051118306311,5,2,2
70,20,main_green,main_green,42,37.0,9.155014786523772,6,2,2
71,20,main_green,main_green,42,43.0,9.478120530090075,6,2,2
72,20,main_green,main_green,47,49.0,8.822951694741537,11,2,2
73,20,main_green,main_green,48,55.0,9.14738576326499,7,2,2
74,20,main_green,main_green,48,61.0,9.593998350716266,6,2,2
75,20,main_green,main_green,48,67.0,9.919634729659416,6,2,2
76,20,main_green,main_green,49,73.0,9.947234220543127,7,2,2
77,20,main_green,main_green,49,79.0,10.230784563752794,6,2,2
78,20,main_green,main_green,50,85.0,10.00656411445498,7,2,2
79,20,main_green,main_green,50,91.0,9.934464408799803,6,2,2
80,20,main_green,main_green,51,99.0,9.518038480842115,9,2,2
81,20,main_green,main_green,51,108.0,9.609580570379796,9,2,2
82,20,main_green,main_green,51,118.0,9.754357652863176,10,2,2
83,20,main_green,main_green,52,128.0,9.6743553322751,11,2,2
84,20,main_green,main_green,57,138.0,8.918562577449734,15,2,2
85,20,main_green,main_green,57,148.0,9.153412740728996,10,2,2
86,20,main_green,main_green,57,158.0,9.35064273241374,10,2,2
87,20,main_yellow,main_green,57,168.0,9.483576916146164,10,3,2
88,20,main_yellow,main_green,59,178.0,9.087792819528756,12,3,2
89,20,main_yellow,main_green,59,188.0,9.134862916075424,10,3,2
90,20,side_green,main_green,59,86.0,9.112006323322243,7,0,2
91,20,side_green,main_green,59,70.0,9.238548560390127,5,0,2
92,20,side_green,main_green,60,76.0,9.281835358158265,7,0,2
93,20,side_green,main_green,60,83.0,9.134789170221802,8,0,2
94,20,side_green,main_green,59,90.0,9.265967200549303,7,0,2
95,20,side_green,main_green,59,98.0,9.350419743367107,8,0,2
96,20,side_green,main_green,63,108.0,8.648820933325172,15,0,2
97,20,side_green,main_green,63,118.0,8.572657921428052,10,0,2
98,20,side_green,main_green,63,129.0,8.324703903784002,12,0,2
99,20,side_green,main_green,63,141.0,8.047722622869255,12,0,2
100,20,side_green,main_green,63,153.0,7.874792906299763,13,0,2
101,20,side_green,main_green,62,167.0,7.76659764361683,14,0,2
102,20,side_green,main_green,61,184.0,7.685879403718742,17,0,2
103,20,side_green,main_green,62,202.0,7.46202457233192,19,0,2
104,20,side_green,main_green,63,224.0,7.368453854854095,23,0,2
105,20,side_green,main_green,63,248.0,7.399223664253572,24,0,2
106,20,side_green,main_green,63,272.0,7.315773782937657,24,0,2
107,20,side_green,main_yellow,62,296.0,7.213591208417734,24,0,3
108,20,side_green,main_yellow,65,321.0,6.509550172553409,30,0,3
109,20,side_green,main_yellow,63,346.0,6.2779540324755,26,0,3
110,20,side_green,side_green,62,227.0,6.458808502058511,21,0,0
111,20,side_green,side_green,60,192.0,6.352340047210063,18,0,0
112,20,side_green,side_green,59,210.0,5.997776741719884,19,0,0
113,20,side_green,side_green,58,229.0,6.138836841702546,19,0,0
114,20,side_green,side_green,59,249.0,6.277403706855932,21,0,0
115,20,side_green,side_green,59,271.0,6.660645076010812,22,0,0
116,20,side_green,side_green,60,295.0,6.728890618208125,25,0,0
117,20,side_green,side_green,58,319.0,6.672669074101007,24,0,0
118,20,side_green,side_green,58,344.0,6.7287286572411045,25,0,0
119,20,side_green,side_green,58,369.0,6.376454141933657,26,0,0
120,20,side_green,side_green,62,394.0,5.715293292975164,30,0,0
121,20,side_green,side_green,62,421.0,5.85316054090475,27,0,0
122,20,side_green,side_green,62,448.0,6.039893023573096,27,0,0
123,20,side_green,side_green,61,476.0,5.857248546058812,28,0,0
124,20,side_green,side_green,63,504.0,5.686731309694872,30,0,0
125,20,side_green,side_green,63,534.0,5.936162433524295,30,0,0
126,20,side_green,side_green,63,565.0,6.003053190834899,31,0,0
127,20,side_green,side_green,62,596.0,5.822482435488597,31,0,0
128,20,side_green,side_green,62,627.0,5.5950346869075505,32,0,0
129,20,side_green,side_green,60,659.0,5.196103919367219,33,0,0
130,20,side_green,side_green,58,692.0,5.064662068270302,33,0,0
