step,vehicle_count,total_waiting_time,mean_speed,phase,state
0,4,0.0,0.0,0,GGgrrrGGgrrr
1,4,0.0,0.6628257775679232,0,GGgrrrGGgrrr
2,4,0.0,1.3396166710415855,0,GGgrrrGGgrrr
3,4,0.0,2.037684859335423,0,GGgrrrGGgrrr
4,4,0.0,2.7018711789045486,0,GGgrrrGGgrrr
5,7,0.0,1.9074580833848034,0,GGgrrrGGgrrr
6,7,0.0,2.5127586193382743,0,GGgrrrGGgrrr
7,7,0.0,3.11353109835514,0,GGgrrrGGgrrr
8,7,0.0,3.810651793237775,0,GGgrrrGGgrrr
9,7,0.0,4.342707094869444,0,GGgrrrGGgrrr
10,8,0.0,4.411206495179795,0,GGgrrrGGgrrr
11,8,0.0,5.024360246653668,0,GGgrrrGGgrrr
12,9,0.0,5.001201709256403,0,GGgrrrGGgrrr
13,9,0.0,5.584838516906732,0,GGgrrrGGgrrr
14,9,0.0,6.197308191356973,0,GGgrrrGGgrrr
15,10,0.0,6.1120679724961535,0,GGgrrrGGgrrr
16,10,0.0,6.675063327569516,0,GGgrrrGGgrrr
17,12,0.0,6.071363022178411,0,GGgrrrGGgrrr
18,12,0.0,6.644222968040656,0,GGgrrrGGgrrr
19,13,0.0,6.637055477499964,0,GGgrrrGGgrrr
20,14,0.0,6.750413043620617,0,GGgrrrGGgrrr
21,14,0.0,7.280294518774661,0,GGgrrrGGgrrr
22,14,0.0,7.834628577839604,0,GGgrrrGGgrrr
23,14,0.0,8.452520316129823,0,GGgrrrGGgrrr
24,14,0.0,8.916873352156541,0,GGgrrrGGgrrr
25,15,0.0,8.706038670162116,0,GGgrrrGGgrrr
26,16,0.0,8.539764273738028,0,GGgrrrGGgrrr
27,17,0.0,8.478638958477147,0,GGgrrrGGgrrr
28,18,0.0,8.455893120439521,0,GGgrrrGGgrrr
29,18,0.0,8.795171105728018,0,GGgrrrGGgrrr
30,19,0.0,8.463694922140743,3,rrrGGgrrrGGg
31,19,0.0,8.321370943024489,3,rrrGGgrrrGGg
32,19,0.0,7.775328238721676,3,rrrGGgrrrGGg
33,20,1.0,6.983833450859348,3,rrrGGgrrrGGg
34,20,2.0,7.3700093128625666,3,rrrGGgrrrGGg
35,21,4.0,7.386863544292179,3,rrrGGgrrrGGg
36,23,6.0,7.007699357633739,3,rrrGGgrrrGGg
37,23,8.0,7.06178074024186,3,rrrGGgrrrGGg
38,23,10.0,7.208918768595957,3,rrrGGgrrrGGg
39,23,12.0,7.464740263714469,3,rrrGGgrrrGGg
40,24,14.0,7.473577620443158,3,rrrGGgrrrGGg
41,25,17.0,7.5980991674395355,3,rrrGGgrrrGGg
42,26,20.0,7.688325804262121,3,rrrGGgrrrGGg
43,26,23.0,7.959952831808865,3,rrrGGgrrrGGg
44,26,26.0,8.119141024310847,3,rrrGGgrrrGGg
45,26,29.0,8.238794085029998,3,rrrGGgrrrGGg
46,28,33.0,7.894653291922981,3,rrrGGgrrrGGg
47,28,37.0,7.998299672198543,3,rrrGGgrrrGGg
48,28,41.0,7.9194393371704965,3,rrrGGgrrrGGg
49,29,46.0,7.332071417990925,3,rrrGGgrrrGGg
50,29,51.0,7.165476425885637,3,rrrGGgrrrGGg
51,31,57.0,6.7901247107280245,3,rrrGGgrrrGGg
52,32,64.0,6.759491749013514,3,rrrGGgrrrGGg
53,32,71.0,7.0657429843913215,3,rrrGGgrrrGGg
54,32,78.0,7.361918626465787,3,rrrGGgrrrGGg
55,32,85.0,7.642630367047273,3,rrrGGgrrrGGg
56,34,92.0,7.3490610308851485,3,rrrGGgrrrGGg
57,34,99.0,7.519109916841467,3,rrrGGgrrrGGg
58,34,107.0,7.7516243654479124,3,rrrGGgrrrGGg
59,34,115.0,7.883958876530535,3,rrrGGgrrrGGg
60,32,54.0,7.394977475044065,0,GGgrrrGGgrrr
61,34,23.0,6.368903600752041,0,GGgrrrGGgrrr
62,33,13.0,6.275479597686492,0,GGgrrrGGgrrr
63,33,4.0,6.556071078433015,0,GGgrrrGGgrrr
64,34,6.0,6.475633053574139,0,GGgrrrGGgrrr
65,34,8.0,6.6209866987548605,0,GGgrrrGGgrrr
66,35,12.0,6.470999644688553,0,GGgrrrGGgrrr
67,35,16.0,6.577281172152108,0,GGgrrrGGgrrr
68,36,21.0,6.489782913034132,0,GGgrrrGGgrrr
69,37,26.0,6.42858956080963,0,GGgrrrGGgrrr
70,37,33.0,6.7060226248339525,0,GGgrrrGGgrrr
71,38,40.0,6.8642877309079395,0,GGgrrrGGgrrr
72,37,47.0,7.035500396573078,0,GGgrrrGGgrrr
73,36,46.0,7.092902361259566,0,GGgrrrGGgrrr
74,36,45.0,6.815880363977764,0,GGgrrrGGgrrr
75,37,45.0,6.801343747993665,0,GGgrrrGGgrrr
76,37,49.0,7.0162676648814495,0,GGgrrrGGgrrr
77,37,54.0,7.2265239574647735,0,GGgrrrGGgrrr
78,37,60.0,7.466038364472242,0,GGgrrrGGgrrr
79,38,66.0,7.5025279986882305,0,GGgrrrGGgrrr
80,39,72.0,7.32492255807229,0,GGgrrrGGgrrr
81,40,79.0,7.164465489448455,0,GGgrrrGGgrrr
82,40,86.0,7.200134423479045,0,GGgrrrGGgrrr
83,40,93.0,7.305110615931211,0,GGgrrrGGgrrr
84,40,101.0,7.339087119396707,0,GGgrrrGGgrrr
85,42,110.0,7.140038848566642,0,GGgrrrGGgrrr
86,43,119.0,7.170237908324197,0,GGgrrrGGgrrr
87,44,128.0,7.175396407213688,0,GGgrrrGGgrrr
88,43,138.0,7.353502461049067,0,GGgrrrGGgrrr
89,43,148.0,7.607108031478779,0,GGgrrrGGgrrr
90,44,87.0,7.656260499367,3,rrrGGgrrrGGg
91,45,35.0,7.620955916678267,3,rrrGGgrrrGGg
92,44,14.0,7.576614674893215,3,rrrGGgrrrGGg
93,43,1.0,7.599892021019095,3,rrrGGgrrrGGg
94,43,0.0,7.336129065711637,3,rrrGGgrrrGGg
95,44,1.0,7.295803975569537,3,rrrGGgrrrGGg
96,45,2.0,7.2896700074799465,3,rrrGGgrrrGGg
97,43,5.0,7.279730438886978,3,rrrGGgrrrGGg
98,42,8.0,7.365134946401287,3,rrrGGgrrrGGg
99,41,12.0,7.105697519375318,3,rrrGGgrrrGGg
100,43,16.0,6.950015790247808,3,rrrGGgrrrGGg
101,43,16.0,7.064934429600319,3,rrrGGgrrrGGg
102,44,17.0,7.0012228273762735,3,rrrGGgrrrGGg
103,43,19.0,6.9436248963631195,3,rrrGGgrrrGGg
104,44,22.0,7.012970869246948,3,rrrGGgrrrGGg
105,45,24.0,7.050173845141872,3,rrrGGgrrrGGg
106,45,25.0,7.168052243447131,3,rrrGGgrrrGGg
107,43,29.0,7.0742977013219575,3,rrrGGgrrrGGg
108,43,34.0,7.259601079253714,3,rrrGGgrrrGGg
109,44,39.0,6.981560331396337,3,rrrGGgrrrGGg
110,44,44.0,6.914617960791048,3,rrrGGgrrrGGg
111,44,49.0,7.193421894189743,3,rrrGGgrrrGGg
112,43,54.0,7.327206033630154,3,rrrGGgrrrGGg
113,44,59.0,7.468637343208751,3,rrrGGgrrrGGg
114,43,65.0,7.6930735434831865,3,rrrGGgrrrGGg
115,44,71.0,7.341001442330224,3,rrrGGgrrrGGg
116,44,77.0,7.479545838635156,3,rrrGGgrrrGGg
117,44,83.0,7.657512548760147,3,rrrGGgrrrGGg
118,45,89.0,7.708629870088062,3,rrrGGgrrrGGg
119,45,96.0,7.8950992860923686,3,rrrGGgrrrGGg
120,45,36.0,8.139287483469657,0,GGgrrrGGgrrr
121,47,3.0,7.9901266210607576,0,GGgrrrGGgrrr
122,47,2.0,8.060971175695954,0,GGgrrrGGgrrr
123,47,4.0,8.218646447565089,0,GGgrrrGGgrrr
124,49,7.0,8.095270735646034,0,GGgrrrGGgrrr
125,47,10.0,8.099279501256532,0,GGgrrrGGgrrr
126,47,13.0,7.963814295529688,0,GGgrrrGGgrrr
