step,phase,phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J3_phase,E1_queue_J1_J2,neg_E1_queue_J2_J1,E2_queue_J2_J3,neg_E2_queue_J3_J2,departed_cumulative,arrived_cumulative
1,0,side_green,8,0.0,0.0,8,0,0,0,0,0,0,0,8,0
2,0,side_green,8,0.0,1.955,0,0,0,0,0,0,0,0,8,0
3,0,side_green,8,0.0,4.006,0,0,0,0,0,0,0,0,8,0
4,0,side_green,8,0.0,5.904,0,0,0,0,0,0,0,0,8,0
5,0,side_green,9,0.0,7.2,1,0,0,0,0,0,0,0,9,0
6,0,side_green,9,0.0,9.095,0,0,0,0,0,0,0,0,9,0
7,0,side_green,10,0.0,9.795,1,0,0,0,0,0,0,0,10,0
8,0,side_green,10,0.0,10.765,0,0,0,0,0,0,0,0,10,0
9,0,side_green,11,0.0,10.22,1,0,0,0,0,0,0,0,11,0
10,0,side_green,11,0.0,10.604,0,0,0,0,0,0,0,0,11,0
11,0,side_green,11,0.0,11.313,0,0,0,0,0,0,0,0,11,0
12,0,side_green,12,0.0,10.575,1,0,0,0,0,0,0,0,12,0
13,0,side_green,19,0.0,7.142,7,0,0,0,0,0,0,0,19,0
14,0,side_green,19,0.0,8.072,0,0,0,0,0,0,0,0,19,0
15,0,side_green,19,0.0,8.971,0,0,0,0,0,0,0,0,19,0
16,0,side_green,19,0.0,9.779,0,0,0,0,0,0,0,0,19,0
17,0,side_green,21,0.0,9.636,2,0,0,0,0,0,0,0,21,0
18,0,side_green,21,0.0,10.673,0,0,0,0,0,0,0,0,21,0
19,0,side_green,21,0.0,11.324,0,0,0,0,0,0,0,0,21,0
20,0,side_green,21,0.0,11.792,0,0,0,0,0,0,0,0,21,0
21,0,side_green,22,0.0,11.435,1,0,0,0,0,0,0,0,22,0
22,0,side_green,23,0.0,11.324,1,0,0,0,0,0,0,0,23,0
23,0,side_green,23,0.0,11.493,0,0,0,0,0,0,0,0,23,0
24,0,side_green,23,0.0,11.787,0,0,0,0,0,0,0,0,23,0
25,0,side_green,30,0.0,8.961,7,0,0,0,0,0,0,0,30,0
26,0,side_green,30,0.0,9.332,0,0,0,0,0,0,0,0,30,0
27,0,side_green,31,1.0,9.36,2,0,0,0,0,0,0,0,31,0
28,0,side_green,31,2.0,9.917,1,0,0,0,0,0,0,0,31,0
29,0,side_green,32,3.0,10.042,2,0,0,0,0,0,0,0,32,0
30,0,side_green,32,5.0,10.23,2,0,0,0,0,0,0,0,32,0
31,0,side_green,32,7.0,10.543,2,0,0,0,0,0,0,0,32,0
32,0,side_green,33,9.0,10.413,3,0,0,0,0,0,0,0,33,0
33,0,side_green,34,12.0,10.022,4,0,0,0,0,0,0,0,34,0
34,0,side_green,31,15.0,9.849,3,0,0,0,0,0,0,0,34,3
35,0,side_green,31,19.0,9.906,4,0,0,0,0,0,0,0,34,3
36,0,side_green,30,24.0,9.986,5,0,0,0,0,0,0,0,34,4
37,0,side_green,37,29.0,8.077,12,0,0,0,0,0,0,0,41,4
38,0,side_green,37,34.0,7.851,6,0,0,0,0,0,0,0,42,5
39,0,side_green,37,39.0,8.286,5,0,0,0,0,0,0,0,42,5
40,0,side_green,37,44.0,8.644,5,0,0,0,0,0,0,0,42,5
41,0,side_green,38,49.0,8.54,6,0,0,0,0,0,0,0,43,5
42,0,side_green,38,56.0,8.767,7,0,0,0,0,0,0,0,43,5
43,1,side_yellow,38,63.0,8.698,8,1,1,1,0,0,0,0,44,6
44,1,side_yellow,38,70.0,9.095,7,1,1,1,0,0,0,0,44,6
45,1,side_yellow,39,78.0,8.839,9,1,1,1,0,0,0,0,45,6
46,2,main_green,37,23.0,8.819,4,2,2,2,0,0,0,0,45,8
47,2,main_green,34,1.0,8.863,1,2,2,2,0,0,0,0,45,11
48,2,main_green,35,0.0,9.039,1,2,2,2,0,0,0,0,46,11
49,2,main_green,42,0.0,8.155,7,2,2,2,0,0,0,0,53,11
50,2,main_green,42,0.0,9.062,0,2,2,2,0,0,0,0,53,11
51,2,main_green,42,0.0,9.897,0,2,2,2,0,0,0,0,53,11
52,2,main_green,42,0.0,10.7,0,2,2,2,0,0,0,0,53,11
53,2,main_green,44,0.0,10.773,2,2,2,2,0,0,0,0,55,11
54,2,main_green,44,0.0,11.249,0,2,2,2,0,0,0,0,55,11
55,2,main_green,44,0.0,11.192,0,2,2,2,0,0,0,0,55,11
56,2,main_green,44,0.0,10.965,0,2,2,2,0,0,0,0,55,11
57,2,main_green,44,0.0,10.35,1,2,2,2,0,0,0,0,56,12
58,2,main_green,43,4.0,9.973,5,2,2,2,0,0,0,0,57,14
59,2,main_green,40,9.0,9.94,5,2,2,2,0,0,0,0,57,17
60,2,main_green,39,15.0,9.985,6,2,2,2,0,0,0,0,57,18
61,2,main_green,46,21.0,8.602,13,2,2,2,0,0,0,0,64,18
62,2,main_green,46,27.0,8.916,6,2,2,2,0,0,0,0,64,18
63,2,main_green,47,33.0,9.188,7,2,2,2,0,0,0,0,65,18
64,2,main_green,47,39.0,9.459,6,2,2,2,0,0,0,0,65,18
65,2,main_green,48,45.0,9.564,7,2,2,2,0,0,0,0,66,18
66,2,main_green,48,51.0,9.835,6,2,2,2,0,0,0,0,66,18
67,2,main_green,48,57.0,9.745,6,2,2,2,0,0,0,0,66,18
68,2,main_green,49,63.0,9.439,7,2,2,2,0,0,0,0,67,18
69,2,main_green,50,69.0,9.034,7,2,2,2,0,0,0,0,68,18
70,2,main_green,50,78.0,9.001,9,2,2,2,0,0,0,0,68,18
71,2,main_green,50,88.0,9.11,10,2,2,2,0,0,0,0,68,18
72,2,main_green,50,99.0,9.202,11,2,2,2,0,0,0,0,68,18
73,2,main_green,57,110.0,8.145,18,2,2,2,0,0,0,0,75,18
74,2,main_green,58,122.0,8.249,13,2,2,2,0,0,0,0,76,18
75,2,main_green,58,134.0,8.626,12,2,2,2,0,0,0,0,76,18
76,2,main_green,58,146.0,8.827,12,2,2,2,0,0,0,0,76,18
77,2,main_green,59,158.0,8.885,13,2,2,2,0,0,0,0,77,18
78,2,main_green,59,170.0,8.793,12,2,2,2,0,0,0,0,77,18
79,2,main_green,60,182.0,8.539,13,2,2,2,0,0,0,0,78,18
80,2,main_green,60,195.0,8.556,13,2,2,2,0,0,0,0,78,18
81,2,main_green,61,210.0,8.382,16,2,2,2,0,0,0,0,79,18
82,2,main_green,61,226.0,8.434,16,2,2,2,0,0,0,0,79,18
83,2,main_green,61,243.0,8.476,17,2,2,2,0,0,0,0,79,18
84,2,main_green,62,260.0,8.471,18,2,2,2,0,0,0,0,80,18
85,2,main_green,69,278.0,7.694,25,2,2,2,0,0,0,0,87,18
86,2,main_green,69,296.0,7.967,18,2,2,2,0,0,0,0,87,18
87,2,main_green,69,314.0,8.177,18,2,2,2,0,0,0,0,87,18
88,3,main_yellow,69,332.0,8.427,18,3,3,3,0,0,0,0,87,18
89,3,main_yellow,71,350.0,8.198,20,3,3,3,0,0,0,0,89,18
90,3,main_yellow,71,368.0,8.172,18,3,3,3,0,0,0,0,89,18
91,0,side_green,71,60.0,8.507,6,0,0,0,0,0,0,0,89,18
92,0,side_green,71,0.0,8.874,0,0,0,0,0,0,0,0,89,18
93,0,side_green,72,0.0,9.005,1,0,0,0,0,0,0,0,90,18
94,0,side_green,73,1.0,9.084,2,0,0,0,0,0,0,0,91,18
95,0,side_green,73,3.0,9.322,2,0,0,0,0,0,0,0,91,18
96,0,side_green,73,7.0,9.54,4,0,0,0,1,0,1,0,91,18
97,0,side_green,80,15.0,8.668,15,0,0,0,1,2,2,1,98,18
98,0,side_green,80,25.0,8.72,10,0,0,0,1,2,2,2,98,18
99,0,side_green,81,38.0,8.494,14,0,0,0,1,3,3,2,99,18
100,0,side_green,81,52.0,8.392,14,0,0,0,1,3,3,2,99,18
101,0,side_green,82,69.0,8.304,18,0,0,0,2,5,3,2,100,18
102,0,side_green,82,86.0,8.384,17,0,0,0,2,5,3,2,100,18
103,0,side_green,82,106.0,8.307,20,0,0,0,2,5,5,2,100,18
104,0,side_green,83,126.0,7.961,21,0,0,0,2,5,5,2,101,18
105,0,side_green,84,148.0,7.677,23,0,0,0,2,5,6,2,102,18
106,0,side_green,84,173.0,7.539,25,0,0,0,2,6,7,3,102,18
107,0,side_green,84,200.0,7.32,27,0,0,0,3,6,7,3,102,18
108,0,side_green,84,230.0,7.091,30,0,0,0,4,6,9,3,102,18
109,0,side_green,88,262.0,6.175,39,0,0,0,5,6,9,3,109,21
110,0,side_green,87,295.0,6.021,34,0,0,0,5,7,9,3,110,23
111,0,side_green,82,329.0,5.908,34,0,0,0,5,7,9,3,110,28
112,0,side_green,77,366.0,5.618,37,0,0,0,6,7,9,4,110,33
113,0,side_green,73,403.0,5.312,38,0,0,0,6,7,9,4,111,38
114,0,side_green,70,440.0,5.065,37,0,0,0,6,7,9,4,111,41
115,0,side_green,70,477.0,5.078,38,0,0,0,6,7,9,4,112,42
116,0,side_green,70,514.0,5.241,37,0,0,0,6,7,9,4,112,42
117,0,side_green,71,553.0,5.009,40,0,0,0,6,7,10,4,113,42
118,0,side_green,68,593.0,4.569,40,0,0,0,6,8,10,4,113,45
119,0,side_green,66,633.0,4.243,40,0,0,0,6,8,10,4,113,47
120,0,side_green,66,674.0,4.094,42,0,0,0,6,8,10,4,114,48
121,0,side_green,73,717.0,3.696,50,0,0,0,6,8,10,4,121,48
122,0,side_green,73,760.0,3.926,43,0,0,0,6,8,10,4,121,48
123,0,side_green,73,803.0,4.109,43,0,0,0,6,8,10,4,121,48
124,0,side_green,73,847.0,4.287,44,0,0,0,6,8,10,4,121,48
125,0,side_green,75,891.0,4.37,46,0,0,0,6,8,10,4,123,48
126,0,side_green,75,935.0,4.478,44,0,0,0,6,8,10,4,123,48
127,0,side_green,75,980.0,4.634,45,0,0,0,6,8,10,4,123,48
128,0,side_green,75,1026.0,4.651,46,0,0,0,6,8,10,4,123,48
129,0,side_green,76,1072.0,4.583,47,0,0,0,6,8,10,4,124,48
130,0,side_green,71,1119.0,3.746,48,0,0,0,6,8,10,4,125,54
131,0,side_green,71,1167.0,3.719,48,0,0,0,6,8,10,4,125,54
132,0,side_green,71,1215.0,3.747,48,0,0,0,6,8,10,4,125,54
133,1,side_yellow,78,1263.0,3.357,55,1,1,1,6,8,10,4,132,54
134,1,side_yellow,78,1313.0,3.497,50,1,1,1,6,8,10,4,132,54
135,1,side_yellow,79,1363.0,3.622,51,1,1,1,6,8,10,4,133,54
136,2,main_green,79,934.0,3.986,38,2,2,2,4,6,8,2,133,54
137,2,main_green,80,567.0,4.41,28,2,2,2,2,4,6,0,134,54
138,2,main_green,80,290.0,4.99,17,2,2,2,0,2,4,0,134,54
139,2,main_green,80,118.0,5.788,9,2,2,2,0,0,2,0,134,54
140,2,main_green,81,22.0,6.512,5,2,2,2,0,0,0,0,135,54
141,2,main_green,82,10.0,7.371,7,2,2,2,0,0,0,0,136,54
142,2,main_green,79,11.0,8.106,6,2,2,2,0,0,0,0,136,57
143,2,main_green,77,17.0,8.853,6,2,2,2,0,0,0,0,136,59
144,2,main_green,77,23.0,9.531,6,2,2,2,0,0,0,0,136,59
145,2,main_green,84,29.0,9.323,13,2,2,2,0,0,0,0,143,59
146,2,main_green,85,35.0,9.773,7,2,2,2,0,0,0,0,144,59
147,2,main_green,84,41.0,10.052,6,2,2,2,0,0,0,0,144,60
148,2,main_green,84,47.0,10.366,6,2,2,2,0,0,0,0,144,60
149,2,main_green,85,53.0,10.473,7,2,2,2,0,0,0,0,145,60
150,2,main_green,85,59.0,10.455,6,2,2,2,0,0,0,0,145,60
151,2,main_green,86,65.0,10.427,7,2,2,2,0,0,0,0,146,60
152,2,main_green,86,73.0,10.274,8,2,2,2,0,0,0,0,146,60
153,2,main_green,87,81.0,10.101,9,2,2,2,0,0,0,0,147,60
154,2,main_green,87,92.0,10.197,11,2,2,2,0,0,0,0,147,60
155,2,main_green,87,104.0,10.265,12,2,2,2,0,0,0,0,147,60
156,2,main_green,88,116.0,10.141,13,2,2,2,0,0,0,0,148,60
157,2,main_green,95,128.0,9.531,19,2,2,2,0,0,0,0,155,60
158,2,main_green,95,140.0,9.778,12,2,2,2,0,0,0,0,155,60
159,2,main_green,95,152.0,9.959,12,2,2,2,0,0,0,0,155,60
160,2,main_green,95,164.0,10.029,12,2,2,2,0,0,0,0,155,60
161,2,main_green,97,176.0,9.816,14,2,2,2,0,0,0,0,157,60
162,2,main_green,93,188.0,9.626,12,2,2,2,0,0,0,0,157,64
163,2,main_green,93,202.0,9.566,14,2,2,2,0,0,0,0,157,64
164,2,main_green,91,217.0,9.523,15,2,2,2,0,0,0,0,157,66
165,2,main_green,90,232.0,9.464,16,2,2,2,0,0,0,0,158,68
166,2,main_green,90,249.0,9.333,18,2,2,2,0,0,0,0,159,69
167,2,main_green,87,267.0,9.273,18,2,2,2,0,0,0,0,159,72
168,2,main_green,86,285.0,9.289,18,2,2,2,0,0,0,0,159,73
169,2,main_green,92,303.0,8.579,25,2,2,2,0,0,0,0,166,74
170,2,main_green,92,321.0,8.738,18,2,2,2,0,0,0,0,166,74
171,2,main_green,92,339.0,8.752,19,2,2,2,0,0,0,0,167,75
172,2,main_green,90,357.0,8.736,18,2,2,2,0,0,0,0,167,77
173,2,main_green,91,375.0,8.703,19,2,2,2,0,0,0,0,168,77
174,2,main_green,91,393.0,8.802,18,2,2,2,0,0,0,0,168,77
175,2,main_green,91,411.0,8.786,18,2,2,2,0,0,0,0,168,77
176,2,main_green,92,430.0,8.599,20,2,2,2,0,0,0,0,169,77
177,2,main_green,93,453.0,8.526,24,2,2,2,0,0,0,0,170,77
178,3,main_yellow,92,476.0,8.593,23,3,3,3,0,0,0,0,170,78
179,3,main_yellow,92,500.0,8.513,24,3,3,3,0,0,0,0,170,78
180,3,main_yellow,92,524.0,8.39,24,3,3,3,0,0,0,0,170,78
181,0,side_green,99,133.0,7.977,20,0,0,0,0,0,0,1,177,78
182,0,side_green,100,3.0,8.4,3,0,0,0,1,0,0,1,178,78
183,0,side_green,100,6.0,8.951,3,0,0,0,1,0,0,2,178,78
184,0,side_green,99,11.0,9.34,5,0,0,0,2,0,0,2,178,79
185,0,side_green,100,16.0,9.619,6,0,0,0,2,0,0,2,179,79
186,0,side_green,99,21.0,9.844,5,0,0,0,2,0,0,2,179,80
187,0,side_green,100,26.0,9.898,6,0,0,0,2,0,0,2,180,80
188,0,side_green,99,34.0,10.024,8,0,0,0,3,0,2,2,180,81
189,0,side_green,100,45.0,9.815,12,0,0,0,3,0,3,3,181,81
190,0,side_green,98,59.0,9.62,14,0,0,0,3,1,4,3,181,83
191,0,side_green,96,75.0,9.467,16,0,0,0,3,1,5,4,181,85
192,0,side_green,96,94.0,9.131,20,0,0,0,4,2,5,4,182,86
193,0,side_green,103,113.0,8.357,26,0,0,0,4,2,5,4,189,86
194,0,side_green,103,133.0,8.289,20,0,0,0,5,2,5,4,189,86
195,0,side_green,102,156.0,8.324,23,0,0,0,5,2,7,4,189,87
196,0,side_green,101,180.0,8.128,24,0,0,0,5,3,7,4,189,88
197,0,side_green,103,205.0,7.666,27,0,0,0,5,3,7,5,191,88
198,0,side_green,103,233.0,7.438,28,0,0,0,5,4,8,5,191,88
199,0,side_green,96,263.0,6.834,30,0,0,0,5,4,9,5,191,95
200,0,side_green,93,296.0,6.275,33,0,0,0,6,5,10,5,191,98
201,0,side_green,88,333.0,5.552,38,0,0,0,6,5,12,6,192,104
202,0,side_green,85,371.0,4.93,39,0,0,0,7,5,12,6,193,108
203,0,side_green,78,411.0,4.139,40,0,0,0,7,5,13,6,193,115
204,0,side_green,77,456.0,3.904,45,0,0,0,7,6,15,6,193,116
205,0,side_green,83,502.0,3.374,53,0,0,0,7,7,15,6,200,117
206,0,side_green,82,550.0,3.415,48,0,0,0,7,9,15,6,200,118
207,0,side_green,83,600.0,3.527,51,0,0,0,7,11,15,6,201,118
208,0,side_green,83,651.0,3.714,51,0,0,0,7,11,15,6,201,118
209,0,side_green,84,703.0,3.734,53,0,0,0,7,11,16,6,202,118
210,0,side_green,84,756.0,3.817,53,0,0,0,7,11,16,6,202,118
211,0,side_green,84,810.0,3.895,54,0,0,0,7,12,16,6,202,118
212,0,side_green,85,864.0,3.911,55,0,0,0,7,12,16,6,203,118
213,0,side_green,86,920.0,3.89,57,0,0,0,7,12,16,6,204,118
214,0,side_green,83,977.0,3.66,57,0,0,0,7,12,16,6,204,121
215,0,side_green,82,1034.0,3.554,57,0,0,0,7,12,16,6,204,122
216,0,side_green,82,1091.0,3.572,57,0,0,0,7,12,16,6,204,122
217,0,side_green,89,1148.0,3.239,64,0,0,0,7,12,16,6,211,122
218,0,side_green,89,1206.0,3.239,59,0,0,0,7,12,16,6,212,123
219,0,side_green,89,1265.0,3.322,59,0,0,0,7,12,16,6,212,123
220,0,side_green,88,1324.0,3.374,59,0,0,0,7,12,16,6,212,124
221,0,side_green,89,1384.0,3.36,61,0,0,0,7,12,16,6,213,124
222,0,side_green,89,1444.0,3.475,60,0,0,0,7,12,16,6,213,124
223,1,side_yellow,90,1505.0,3.587,62,1,1,1,7,12,16,6,214,124
224,1,side_yellow,90,1566.0,3.613,61,1,1,1,7,12,16,6,214,124
225,1,side_yellow,91,1627.0,3.493,62,1,1,1,7,12,16,6,215,124
226,2,main_green,90,1208.0,3.582,50,2,2,2,5,10,14,4,215,125
227,2,main_green,89,851.0,3.919,39,2,2,2,3,8,12,2,215,126
228,2,main_green,88,544.0,4.36,29,2,2,2,1,6,10,0,216,128
229,2,main_green,95,363.0,4.793,28,2,2,2,0,4,8,0,223,128
230,2,main_green,94,230.0,5.757,13,2,2,2,0,2,6,0,223,129
231,2,main_green,93,121.0,6.775,7,2,2,2,0,0,4,0,223,130
232,2,main_green,93,65.0,7.875,4,2,2,2,0,0,2,0,223,130
233,2,main_green,95,14.0,8.689,4,2,2,2,0,0,0,0,225,130
234,2,main_green,95,16.0,9.415,2,2,2,2,0,0,0,0,225,130
235,2,main_green,95,18.0,9.897,2,2,2,2,0,0,0,0,225,130
236,2,main_green,95,21.0,10.288,3,2,2,2,0,0,0,0,225,130
237,2,main_green,96,24.0,10.455,4,2,2,2,0,0,0,0,226,130
238,2,main_green,95,31.0,10.524,8,2,2,2,0,0,0,0,227,132
239,2,main_green,93,39.0,10.698,8,2,2,2,0,0,0,0,227,134
240,2,main_green,93,47.0,10.854,8,2,2,2,0,0,0,0,227,134
241,2,main_green,100,55.0,10.2,15,2,2,2,0,0,0,0,234,134
242,2,main_green,100,63.0,10.397,8,2,2,2,0,0,0,0,234,134
243,2,main_green,101,71.0,10.55,9,2,2,2,0,0,0,0,235,134
244,2,main_green,101,79.0,10.672,8,2,2,2,0,0,0,0,235,134
245,2,main_green,102,87.0,10.541,9,2,2,2,0,0,0,0,236,134
246,2,main_green,102,95.0,10.495,8,2,2,2,0,0,0,0,236,134
247,2,main_green,102,103.0,10.409,8,2,2,2,0,0,0,0,236,134
248,2,main_green,103,112.0,10.229,10,2,2,2,0,0,0,0,237,134
249,2,main_green,104,122.0,10.169,11,2,2,2,0,0,0,0,238,134
250,2,main_green,104,135.0,10.177,13,2,2,2,0,0,0,0,238,134
251,2,main_green,104,149.0,10.249,14,2,2,2,0,0,0,0,238,134
252,2,main_green,100,163.0,10.161,14,2,2,2,0,0,0,0,238,138
253,2,main_green,107,177.0,9.608,21,2,2,2,0,0,0,0,245,138
254,2,main_green,106,191.0,9.609,15,2,2,2,0,0,0,0,246,140
255,2,main_green,106,205.0,9.846,14,2,2,2,0,0,0,0,246,140
256,2,main_green,105,219.0,9.894,14,2,2,2,0,0,0,0,246,141
257,2,main_green,105,233.0,9.75,15,2,2,2,0,0,0,0,247,142
258,2,main_green,102,247.0,9.739,14,2,2,2,0,0,0,0,247,145
259,2,main_green,102,261.0,9.622,15,2,2,2,0,0,0,0,248,146
260,2,main_green,100,277.0,9.63,16,2,2,2,0,0,0,0,248,148
261,2,main_green,99,295.0,9.508,19,2,2,2,0,0,0,0,249,150
262,2,main_green,98,314.0,9.443,19,2,2,2,0,0,0,0,249,151
263,2,main_green,97,333.0,9.498,19,2,2,2,0,0,0,0,249,152
264,2,main_green,96,352.0,9.42,20,2,2,2,0,0,0,0,250,154
265,2,main_green,101,372.0,8.798,27,2,2,2,0,0,0,0,257,156
266,2,main_green,100,392.0,8.907,20,2,2,2,0,0,0,0,257,157
267,2,main_green,98,412.0,9.005,20,2,2,2,0,0,0,0,257,159
268,3,main_yellow,96,432.0,9.173,20,3,3,3,0,0,0,0,257,161
269,3,main_yellow,97,452.0,8.672,22,3,3,3,0,0,0,0,259,162
270,3,main_yellow,97,472.0,8.57,20,3,3,3,0,0,0,0,259,162
271,0,side_green,97,109.0,8.62,8,0,0,0,0,0,0,0,259,162
272,0,side_green,97,2.0,8.875,2,0,0,0,0,0,0,0,259,162
273,0,side_green,98,5.0,9.189,5,0,0,0,2,0,0,0,260,162
274,0,side_green,99,10.0,9.342,6,0,0,0,2,0,0,1,261,162
275,0,side_green,97,16.0,9.61,6,0,0,0,3,0,0,1,261,164
276,0,side_green,95,25.0,9.777,9,0,0,0,4,2,0,1,261,166
277,0,side_green,101,34.0,9.107,16,0,0,0,4,2,0,1,268,167
278,0,side_green,100,46.0,9.184,12,0,0,0,5,3,0,1,268,168
279,0,side_green,99,60.0,8.926,15,0,0,0,6,3,0,1,269,170
280,0,side_green,97,76.0,8.632,16,0,0,0,6,5,0,1,269,172
281,0,side_green,97,93.0,8.4,18,0,0,0,7,5,0,1,270,173
282,0,side_green,95,115.0,8.259,22,0,0,0,7,6,1,2,270,175
283,0,side_green,95,138.0,8.203,23,0,0,0,7,7,1,2,270,175
284,0,side_green,96,162.0,7.772,25,0,0,0,7,7,1,3,271,175
285,0,side_green,97,187.0,7.432,26,0,0,0,7,8,1,3,272,175
286,0,side_green,97,216.0,7.162,29,0,0,0,7,10,3,3,272,175
287,0,side_green,97,248.0,6.93,32,0,0,0,7,11,3,3,272,175
288,0,side_green,97,283.0,6.676,35,0,0,0,7,12,4,3,272,175
289,0,side_green,98,322.0,5.592,46,0,0,0,8,13,5,4,279,181
290,0,side_green,97,363.0,5.427,42,0,0,0,9,13,6,4,280,183
291,0,side_green,91,404.0,5.067,41,0,0,0,9,13,6,4,280,189
292,0,side_green,87,447.0,4.821,43,0,0,0,9,13,6,4,280,193
293,0,side_green,84,492.0,4.424,46,0,0,0,9,13,8,4,281,197
294,0,side_green,83,538.0,4.38,46,0,0,0,9,13,9,4,281,198
295,0,side_green,82,584.0,4.247,47,0,0,0,9,13,9,4,282,200
296,0,side_green,81,632.0,4.227,48,0,0,0,9,13,11,4,282,201
297,0,side_green,82,681.0,4.189,50,0,0,0,9,13,11,4,283,201
298,0,side_green,78,733.0,3.754,52,0,0,0,9,13,13,4,283,205
299,0,side_green,78,785.0,3.802,52,0,0,0,9,13,13,4,283,205
300,0,side_green,78,837.0,3.689,53,0,0,0,9,13,13,4,284,206
301,0,side_green,85,890.0,3.424,60,0,0,0,9,13,13,4,291,206
302,0,side_green,85,943.0,3.579,53,0,0,0,9,13,13,4,291,206
303,0,side_green,84,996.0,3.555,53,0,0,0,9,13,13,4,291,207
304,0,side_green,84,1050.0,3.643,54,0,0,0,9,13,13,4,291,207
305,0,side_green,86,1104.0,3.59,56,0,0,0,9,13,13,4,293,207
306,0,side_green,86,1160.0,3.67,56,0,0,0,9,13,13,4,293,207
307,0,side_green,86,1217.0,3.791,57,0,0,0,9,13,13,4,293,207
308,0,side_green,86,1274.0,3.78,57,0,0,0,9,13,13,4,293,207
309,0,side_green,87,1331.0,3.756,58,0,0,0,9,13,13,4,294,207
310,0,side_green,86,1389.0,3.511,59,0,0,0,9,13,13,4,295,209
311,0,side_green,85,1447.0,3.454,58,0,0,0,9,13,13,4,295,210
312,0,side_green,85,1506.0,3.479,59,0,0,0,9,13,13,4,295,210
313,1,side_yellow,92,1565.0,3.121,66,1,1,1,9,13,13,4,302,210
