decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue,reward,done
1,46,1,0,33,115.0,8.132165180324755,9,2,0,6,0,0,3,-1113.0,False
2,91,0,0,53,809.0,4.682383790802861,30,0,0,0,11,0,19,-14221.0,False
3,136,1,1,75,240.0,9.327378874138136,12,2,2,6,0,6,0,-4682.0,False
4,181,0,0,57,888.0,3.7889350306550504,39,0,0,2,19,2,16,-14684.0,False
5,226,1,1,71,314.0,9.421049826627655,16,2,2,8,0,8,0,-6072.0,False
6,271,0,0,54,759.0,4.720392435857146,31,0,0,0,15,0,16,-11825.0,False
7,316,1,1,72,273.0,9.572580206035337,13,2,2,6,0,7,0,-4904.0,False
8,361,0,0,56,737.0,4.074354902937518,34,0,0,2,15,2,15,-11460.0,False
9,406,1,1,71,311.0,9.488456679132947,15,2,2,7,0,8,0,-5627.0,False
10,451,0,0,56,806.0,4.62390129007323,32,0,0,0,15,0,17,-12679.0,False
11,496,1,1,70,232.0,9.426954721589237,12,2,2,6,0,6,0,-4129.0,False
12,541,0,0,55,785.0,3.8160159211220943,37,0,0,2,17,2,16,-12203.0,False
13,586,1,1,71,306.0,9.228844535910756,15,2,2,7,0,8,0,-5638.0,False
14,631,0,0,54,721.0,4.798599231119618,31,0,0,0,17,0,14,-10787.0,False
15,676,1,1,70,232.0,9.656575553511827,12,2,2,6,0,6,0,-3960.0,False
16,721,0,0,55,753.0,3.9846738649679727,35,0,0,2,16,2,15,-11797.0,False
17,766,1,1,71,309.0,9.544159816910769,15,2,2,8,0,7,0,-5610.0,False
18,811,0,0,54,731.0,4.797720021451549,31,0,0,0,16,0,15,-11082.0,False
19,856,1,1,70,234.0,9.667980324696373,12,2,2,6,0,6,0,-3948.0,False
20,901,0,0,53,694.0,4.166244596081486,33,0,0,2,15,2,14,-10750.0,False
21,946,1,1,72,312.0,9.357358595429439,14,2,2,7,0,7,0,-5587.0,False
22,991,0,0,54,736.0,4.933494443814589,30,0,0,0,16,0,14,-11266.0,False
23,1036,1,1,70,232.0,9.52943856887097,12,2,2,6,0,6,0,-3970.0,False
24,1081,0,0,56,778.0,3.9268921641125303,36,0,0,2,17,2,15,-12281.0,False
25,1126,1,1,71,307.0,9.299150079005852,16,2,2,8,0,8,0,-5573.0,False
26,1171,0,0,53,687.0,4.720354457588147,30,0,0,0,15,0,15,-9941.0,False
27,1216,1,1,72,269.0,9.158934847166318,13,2,2,7,0,6,0,-4678.0,False
28,1261,0,0,57,819.0,4.010668940493605,38,0,0,2,16,2,18,-12871.0,False
29,1306,1,1,71,308.0,9.020362710089696,16,2,2,8,0,8,0,-5879.0,False
