episode,decisions,episode_reward,avg_loss_j1,avg_loss_j2,epsilon_j1,epsilon_j2,final_vehicle_count,final_total_waiting_time,final_mean_speed,final_total_queue
1,82,-13544209.0,630.477873149671,605.7136905067846,0.9811700348643991,0.9811700348643991,75,318.0,7.733968954149973,13
2,82,-7079238.0,428.80351917918136,391.2767810356326,0.9038873549665959,0.9038873549665959,73,971.0,8.282635606653434,23
3,82,-7476424.0,246.7636684324683,234.30475867666848,0.8326919101044725,0.8326919101044725,73,97.0,10.50356437816514,9
4,82,-11524865.0,209.83843473108803,181.03716873541111,0.7671042341100781,0.7671042341100781,114,12951.0,3.7050120170801257,79
5,82,-8031737.0,249.71334243402248,191.01656011255776,0.7066826263699144,0.7066826263699144,92,3089.0,6.941610410164249,39
6,81,-5674950.0,233.6901035073363,174.5012833395122,0.6516718490384363,0.6516718490384363,95,5211.0,2.176294609741821,77
7,81,-2764747.0,224.93800693088107,145.86351286334755,0.6009433131399452,0.6009433131399452,62,76.0,10.456822778218427,8
8,81,-5804035.0,201.1022255508988,132.2857278894495,0.5541636732359665,0.5541636732359665,86,77.0,10.534461704111727,8
9,81,-2665302.0,171.90473165629822,110.16621172869647,0.5110255327241885,0.5110255327241885,79,15.0,8.714431267752692,3
10,81,-2122021.0,156.82105424669055,108.62387725453318,0.471245423885521,0.471245423885521,121,7894.0,2.786746036628892,90
11,81,-2568805.0,141.10334975631147,102.31069465919778,0.4345619451717332,0.4345619451717332,69,18.0,10.458494729214529,5
12,81,-1934832.0,142.8466559280584,104.46087947892553,0.40073404349347275,0.40073404349347275,71,347.0,8.979111933951053,16
13,81,-2670337.0,141.17836177496264,89.32673159940744,0.36953943022131486,0.36953943022131486,79,52.0,9.046198040557188,10
14,81,-1764607.0,123.50774002075195,89.27226824819306,0.34077312049111813,0.34077312049111813,106,741.0,8.535360531531198,18
15,81,-2155691.0,111.8860826610047,80.1792339042381,0.31424608621522926,0.31424608621522926,62,40.0,8.58540743341567,8
16,81,-1210069.0,103.84545116660036,91.61075569670878,0.28978401394825715,0.28978401394825715,69,1287.0,4.037166600678149,38
17,81,-1236826.0,111.66515939029647,72.85422459355107,0.26722615944514533,0.26722615944514533,60,559.0,5.4130164433595604,33
18,81,-1355576.0,82.71952613783472,75.87445257916863,0.24642429138466176,0.24642429138466176,94,1369.0,4.652830626689706,48
19,81,-1348141.0,97.95751041836209,77.17281886677684,0.22724171731734197,0.22724171731734197,71,339.0,8.998502493868763,16
20,80,-953342.0,96.45374476909637,63.17622212171555,0.20976214758481407,0.20976214758481407,71,726.0,8.313400432833168,22
21,81,-1108574.0,79.29133776676508,72.46886082637457,0.193433489764775,0.193433489764775,52,858.0,4.384102263915633,33
22,80,-1301448.0,85.20220255851746,64.30969791412353,0.17855446925364296,0.17855446925364296,75,2147.0,2.9707555149746336,55
23,80,-913598.0,87.80474635362626,66.26438277065753,0.164819951959818,0.164819951959818,49,691.0,4.664214143082458,30
24,80,-934382.0,73.15782543420792,73.5811879336834,0.15214190200664743,0.15214190200664743,71,342.0,9.174137441509336,16
25,80,-1016092.0,80.81129230260849,57.16569086909294,0.14043905529012304,0.14043905529012304,61,481.0,5.753091005906489,31
26,80,-1134253.0,84.68487844467163,67.48464940190316,0.12963639859005108,0.12963639859005108,67,2003.0,3.124299215301454,48
27,80,-913734.0,70.16380541324615,64.66706818342209,0.11966468874830531,0.11966468874830531,61,477.0,5.662121617111427,32
28,81,-971480.0,71.30991776195573,76.67677593819889,0.11034954882334574,0.11034954882334574,51,824.0,4.386691483920238,32
29,80,-915615.0,70.01607758998871,67.23524743914604,0.10186139507947568,0.10186139507947568,49,710.0,4.5738879940815504,30
30,80,-697835.0,69.9835602581501,70.3337604045868,0.1,0.1,49,719.0,4.6630370743242935,30
31,80,-689596.0,81.05074646472931,56.56227310299873,0.1,0.1,59,399.0,5.327609754477194,28
32,81,-1073724.0,62.964260737101235,63.061428064181484,0.1,0.1,65,1329.0,3.4501830983891204,46
33,80,-1147055.0,65.83079181909561,66.08373802900314,0.1,0.1,60,397.0,5.488685772302737,28
34,81,-977973.0,74.5610047976176,68.28534626077723,0.1,0.1,52,866.0,4.348595928711813,33
35,80,-867953.0,80.03447371125222,71.42936990559102,0.1,0.1,70,1705.0,3.2366448596305624,48
36,80,-786961.0,64.97620030641556,61.58234515488148,0.1,0.1,50,756.0,4.632642418559012,31
37,80,-884969.0,71.58530398607255,63.861704394221306,0.1,0.1,59,987.0,5.067448183178567,34
38,80,-673869.0,72.73634210824966,57.86199396252632,0.1,0.1,59,398.0,5.2884721254782185,25
39,81,-1130539.0,66.33371946546767,67.25441376956893,0.1,0.1,59,487.0,4.999051710857046,32
40,81,-854514.0,62.81051759366636,59.21713741031694,0.1,0.1,71,347.0,9.105716328263895,16
41,81,-922794.0,57.45796818792084,56.43493722397604,0.1,0.1,58,495.0,4.873999958564765,33
42,80,-964679.0,56.01316691040993,61.59229739308357,0.1,0.1,59,990.0,5.105511888356894,34
43,80,-877545.0,69.29338673651219,49.58618265390396,0.1,0.1,61,472.0,5.644049684221031,32
44,80,-920674.0,69.62345966696739,54.972947120666504,0.1,0.1,60,411.0,5.4301639360041,28
45,80,-875582.0,58.12001456320286,57.073697328567505,0.1,0.1,61,402.0,5.576838874706062,27
46,81,-818175.0,54.96857564831957,57.25335224763847,0.1,0.1,60,509.0,5.488847818668377,32
47,81,-902634.0,53.88801658006362,54.27652207421668,0.1,0.1,52,844.0,4.382438660639243,33
48,81,-750281.0,49.03787353303697,53.27472154299418,0.1,0.1,76,511.0,5.321669465544413,34
49,80,-744829.0,56.353684830665586,46.23935750722885,0.1,0.1,71,344.0,9.239323765532546,16
50,80,-909018.0,66.4148086309433,59.21941647827625,0.1,0.1,84,347.0,9.721684476213117,16
51,81,-734602.0,64.03561317331997,57.83165739200734,0.1,0.1,72,908.0,7.74974054744291,24
52,81,-876528.0,57.69550210016745,50.47894331702479,0.1,0.1,74,1829.0,3.418238917525285,51
53,81,-934478.0,69.31061397658453,46.68697810173035,0.1,0.1,60,522.0,5.5229188363326935,32
54,81,-928339.0,64.32513434798629,52.855194868864835,0.1,0.1,56,32.0,6.358578211376527,7
55,81,-1126621.0,53.15087886798529,48.1582679439474,0.1,0.1,58,487.0,4.891125987829733,33
56,81,-1254365.0,63.37100441367538,56.50199065385041,0.1,0.1,51,795.0,4.52308417625697,32
57,81,-829221.0,58.508913823115975,52.682575446588025,0.1,0.1,67,486.0,5.86803741079696,31
58,81,-1153093.0,51.32312784077209,58.95592381188899,0.1,0.1,70,2081.0,3.1396270685032133,51
59,81,-904410.0,50.33937913694499,49.46377252649378,0.1,0.1,58,492.0,4.909766942387755,32
60,81,-895729.0,50.95637942537849,52.509414699342514,0.1,0.1,71,221.0,6.260126195159292,19
61,81,-844362.0,55.95841916696525,52.14015599827707,0.1,0.1,59,57.0,6.493229023187551,12
62,81,-795517.0,61.435856898625694,49.5896182457606,0.1,0.1,71,343.0,9.09701002417804,16
63,81,-956673.0,51.241861621538796,48.837519904713574,0.1,0.1,74,44.0,10.175325146152751,10
64,81,-1080437.0,48.38874381265523,48.93509918524895,0.1,0.1,60,511.0,5.475068271164885,32
65,81,-892837.0,60.20308302655632,51.06442292236987,0.1,0.1,59,673.0,4.470642695910634,29
66,81,-1003862.0,63.00335614769547,42.60654398247048,0.1,0.1,87,524.0,6.138226872957577,33
67,81,-928527.0,48.6200186205499,47.640490898379575,0.1,0.1,62,216.0,5.811566980327297,18
68,81,-1431441.0,51.867818417372526,52.43495139222086,0.1,0.1,109,1029.0,5.039857072537959,40
69,81,-889660.0,54.52251650227441,56.55574356332237,0.1,0.1,58,447.0,5.152438180693999,31
70,80,-979181.0,61.57160604596138,44.48193834722042,0.1,0.1,49,718.0,4.608260388838034,30
71,81,-961572.0,53.048033007869016,55.39731181771667,0.1,0.1,58,483.0,4.897695910530839,31
72,81,-871268.0,60.763380448023476,46.57567155802691,0.1,0.1,51,814.0,4.478499916495551,32
73,81,-826847.0,51.299092620979124,47.568622958512954,0.1,0.1,58,494.0,4.983229393385663,32
74,81,-813235.0,51.10580676867638,47.09377830264009,0.1,0.1,72,4.0,9.291680564116739,2
