step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
0,main_green,main_green,6,0.0,0.0,6,2,2,0.0,0.0,0.0,0.0
1,main_green,main_green,6,0.0,1.9803505684055078,0,2,2,0.0,0.0,0.0,0.0
2,main_green,main_green,6,0.0,3.9075972395366994,0,2,2,0.0,0.0,0.0,0.0
3,main_green,main_green,6,0.0,6.024078476266005,0,2,2,0.0,0.0,0.0,0.0
4,main_green,main_green,7,0.0,6.877346561110712,1,2,2,0.0,0.0,0.0,0.0
5,main_green,main_green,7,0.0,8.70003068682272,0,2,2,0.0,0.0,0.0,0.0
6,main_green,main_green,8,0.0,9.131088020256946,1,2,2,0.0,0.0,0.0,0.0
7,main_green,main_green,8,0.0,9.956108821094144,0,2,2,0.0,0.0,0.0,0.0
8,main_green,main_green,9,0.0,9.186489870689803,1,2,2,0.0,0.0,0.0,0.0
9,main_green,main_green,9,0.0,9.946658306874948,0,2,2,0.0,0.0,0.0,0.0
10,main_green,main_green,9,0.0,10.331211334907545,0,2,2,4.0,6.0,4.0,4.0
11,main_green,main_green,10,0.0,9.990893047736765,1,2,2,4.0,6.0,4.0,4.0
12,main_green,main_green,15,0.0,6.966102838400932,5,2,2,4.0,6.0,4.0,4.0
13,main_green,main_green,15,0.0,7.790679651754469,0,2,2,4.0,6.0,4.0,4.0
14,main_green,main_green,15,0.0,8.923292715341647,0,2,2,4.0,6.0,4.0,4.0
15,main_green,main_green,15,0.0,9.892359605864794,0,2,2,4.0,6.0,4.0,4.0
16,main_green,main_green,17,0.0,8.769788647897585,2,2,2,4.0,6.0,4.0,4.0
17,main_green,main_green,17,0.0,9.24239828394544,0,2,2,4.0,6.0,4.0,4.0
18,main_green,main_green,17,0.0,9.734202794405894,0,2,2,4.0,6.0,4.0,4.0
19,main_green,main_green,17,0.0,10.238378683725998,0,2,2,4.0,6.0,4.0,4.0
20,main_green,main_green,18,1.0,9.86310844156822,2,2,2,8.0,10.0,8.0,8.0
21,main_green,main_green,19,2.0,9.21695400433819,2,2,2,8.0,10.0,8.0,8.0
22,main_green,main_green,19,4.0,9.28760911076781,2,2,2,8.0,10.0,8.0,8.0
23,main_green,main_green,19,6.0,9.46993474896765,2,2,2,8.0,10.0,8.0,8.0
24,main_green,main_green,24,9.0,7.5282382333037745,8,2,2,8.0,10.0,8.0,8.0
25,main_green,main_green,24,13.0,8.030306971558453,4,2,2,8.0,10.0,8.0,8.0
26,main_green,main_green,25,17.0,8.459793041961218,5,2,2,8.0,10.0,8.0,8.0
27,main_green,main_green,25,21.0,9.013299847695038,4,2,2,8.0,10.0,8.0,8.0
28,main_green,main_green,26,25.0,8.90824439882495,5,2,2,8.0,10.0,8.0,8.0
29,main_green,main_green,26,29.0,9.134141335743854,4,2,2,8.0,10.0,8.0,8.0
30,main_green,main_green,26,33.0,8.894161378900755,4,2,2,11.0,15.0,11.0,11.0
31,main_green,main_green,27,37.0,8.398111460201017,5,2,2,11.0,15.0,11.0,11.0
32,main_green,main_green,28,42.0,8.165788151582987,6,2,2,11.0,15.0,11.0,11.0
33,main_green,main_green,28,49.0,8.502816312857595,7,2,2,11.0,15.0,11.0,11.0
34,main_green,main_green,28,57.0,8.683738083956934,8,2,2,11.0,15.0,11.0,11.0
35,main_green,main_green,28,65.0,8.912676663420102,8,2,2,11.0,15.0,11.0,11.0
36,main_green,main_green,33,73.0,7.5886582151559425,13,2,2,11.0,15.0,11.0,11.0
37,main_green,main_green,34,81.0,7.847015674146594,9,2,2,11.0,15.0,11.0,11.0
38,main_green,main_green,34,89.0,8.204601743665773,8,2,2,11.0,15.0,11.0,11.0
39,main_green,main_green,34,97.0,8.51539909807836,8,2,2,11.0,15.0,11.0,11.0
40,main_green,main_green,35,105.0,8.275137039686706,9,2,2,12.0,14.0,13.0,15.0
