decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue,reward,done
1,46,0,1,33,127.0,7.539507294116029,11,0,2,0,5,6,0,-1128.0,False
2,91,0,0,53,851.0,4.617705448819858,31,0,0,0,22,0,9,-15947.0,False
3,136,1,1,77,233.0,9.652043826796689,12,2,2,6,0,6,0,-5119.0,False
4,181,0,0,60,969.0,3.5571511493171895,43,0,0,2,18,2,21,-15668.0,False
5,226,1,1,70,310.0,9.259998883641197,15,2,2,7,0,8,0,-6385.0,False
6,271,0,0,54,755.0,4.800744844987872,31,0,0,0,15,0,16,-11800.0,False
7,316,1,1,72,274.0,9.489473092668876,13,2,2,6,0,7,0,-4822.0,False
8,361,0,0,56,748.0,4.15169013888409,35,0,0,2,16,2,15,-11664.0,False
9,406,1,1,71,307.0,9.55333420512205,16,2,2,8,0,8,0,-5550.0,False
10,451,0,0,57,872.0,4.591189015020753,34,0,0,0,15,0,19,-14232.0,False
11,496,1,1,71,230.0,9.673291244765046,12,2,2,6,0,6,0,-4320.0,False
12,541,0,0,55,784.0,3.835669873101966,37,0,0,2,17,2,16,-12174.0,False
13,586,1,1,71,309.0,9.293948451043052,15,2,2,7,0,8,0,-5715.0,False
14,631,0,0,53,675.0,4.920665994612911,30,0,0,0,16,0,14,-9815.0,False
15,676,1,1,71,274.0,9.501589261261342,13,2,2,7,0,6,0,-4704.0,False
16,721,0,0,56,790.0,3.925594600505118,36,0,0,2,16,2,16,-12481.0,False
17,766,1,1,71,310.0,9.530703462773495,16,2,2,8,0,8,0,-5714.0,False
18,811,0,0,54,721.0,4.947754605289337,31,0,0,0,16,0,15,-10791.0,False
19,856,1,1,70,240.0,9.652692428035854,12,2,2,6,0,6,0,-4071.0,False
20,901,0,0,52,682.0,3.977457668800018,33,0,0,2,15,2,14,-10504.0,False
21,946,1,1,72,313.0,9.284563522192947,16,2,2,8,0,8,0,-5574.0,False
22,991,0,0,53,690.0,5.053551990777402,29,0,0,0,16,0,13,-10201.0,False
23,1036,1,1,70,229.0,9.50920536221931,12,2,2,6,0,6,0,-3828.0,False
24,1081,0,0,56,784.0,3.996416303803446,36,0,0,2,17,2,15,-12416.0,False
25,1126,1,1,71,304.0,9.231241924261868,15,2,2,7,0,8,0,-5565.0,False
26,1171,0,0,53,690.0,4.738127944276046,30,0,0,0,15,0,15,-10061.0,False
27,1216,1,1,72,273.0,9.142906638499039,13,2,2,7,0,6,0,-4776.0,False
28,1261,0,0,55,761.0,3.9872982605793728,36,0,0,2,16,2,16,-11607.0,False
29,1306,1,1,71,312.0,9.015265068174395,16,2,2,8,0,8,0,-5706.0,False
30,1351,0,0,54,776.0,4.7091284947273655,31,0,0,0,16,0,15,-12342.0,False
31,1396,1,1,72,232.0,9.365054016871866,12,2,2,6,0,6,0,-4038.0,False
32,1441,0,0,57,826.0,3.9193850067467806,38,0,0,2,16,2,18,-13195.0,False
33,1486,1,1,71,311.0,9.346332025244587,15,2,2,8,0,7,0,-6010.0,False
34,1531,0,0,55,772.0,4.536457018936129,32,0,0,0,17,0,15,-11903.0,False
35,1576,1,1,71,272.0,9.447641786348816,13,2,2,6,0,7,0,-4910.0,False
36,1621,0,0,54,748.0,3.99338265773575,35,0,0,2,16,2,15,-11763.0,False
37,1666,1,1,71,310.0,9.220181543053092,15,2,2,7,0,8,0,-5673.0,False
38,1711,0,0,57,824.0,4.41699534346332,33,0,0,0,16,0,17,-12918.0,False
39,1756,1,1,70,231.0,9.593576408712972,12,2,2,6,0,6,0,-4211.0,False
40,1801,0,0,56,776.0,3.968438226891231,36,0,0,2,17,2,15,-12138.0,False
41,1846,1,1,71,306.0,9.199522975515281,16,2,2,8,0,8,0,-5550.0,False
42,1891,0,0,56,827.0,4.592041760651383,33,0,0,0,17,0,16,-13322.0,False
43,1936,1,1,72,273.0,9.424125263008317,13,2,2,6,0,7,0,-5074.0,False
44,1981,0,0,58,872.0,3.871123037572747,38,0,0,2,16,2,18,-14278.0,False
45,2026,1,1,71,312.0,9.468560591699235,14,2,2,7,0,7,0,-6158.0,False
46,2071,0,0,54,756.0,4.804483298846464,31,0,0,0,15,0,16,-11886.0,False
47,2116,1,1,72,269.0,9.471488251385829,13,2,2,6,0,7,0,-4768.0,False
48,2161,0,0,55,780.0,3.971797643194058,36,0,0,2,17,2,15,-12186.0,False
49,2206,1,1,71,311.0,9.451428459253643,16,2,2,8,0,8,0,-5736.0,False
50,2251,0,0,56,799.0,4.680811778665892,33,0,0,0,17,0,16,-12236.0,False
51,2296,1,1,70,238.0,9.658662623022206,12,2,2,6,0,6,0,-4182.0,False
52,2341,0,0,52,675.0,4.026122710760337,32,0,0,2,14,2,14,-10245.0,False
53,2386,1,1,72,312.0,9.262238839059219,16,2,2,8,0,8,0,-5566.0,False
54,2431,0,0,55,760.0,4.589977232757102,32,0,0,0,16,0,16,-11733.0,False
55,2476,1,1,70,233.0,9.410780243839334,12,2,2,6,0,6,0,-4043.0,False
56,2521,0,0,55,777.0,3.999456341515438,35,0,0,2,17,2,14,-12541.0,False
57,2566,1,1,72,298.0,9.162324793046235,15,2,2,8,0,7,0,-5461.0,False
58,2611,0,0,57,850.0,4.393499601732483,34,0,0,0,17,0,17,-13536.0,False
59,2656,1,1,71,234.0,9.558165947144104,12,2,2,6,0,6,0,-4256.0,False
