decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue,reward,done
1,46,0,0,29,80.0,7.727018457449425,8,0,0,0,5,0,3,-533.0,False
2,91,0,1,57,754.0,4.636531237506615,33,0,2,0,27,6,0,-13745.0,False
3,136,1,0,64,399.0,4.626086491891925,28,2,0,6,0,0,22,-6745.0,False
4,181,0,1,71,471.0,5.710211283111533,37,0,2,2,25,10,0,-7145.0,False
5,226,1,0,58,410.0,5.070689994206094,28,2,0,7,0,0,21,-5834.0,False
6,271,0,1,64,456.0,6.031289792450581,29,0,2,0,23,6,0,-6266.0,False
7,316,1,0,58,403.0,4.8262024965583965,31,2,0,6,0,0,25,-5394.0,False
8,361,0,1,68,488.0,5.243480795386568,36,0,2,2,24,10,0,-7516.0,False
9,406,1,0,60,404.0,5.150963350242024,28,2,0,8,0,0,20,-5829.0,False
10,451,0,1,65,430.0,5.878231089141353,30,0,2,0,24,6,0,-6049.0,False
11,496,1,0,61,398.0,5.222863349195341,28,2,0,6,0,0,22,-5386.0,False
12,541,0,1,67,507.0,5.2099429523828995,36,0,2,2,24,10,0,-7607.0,False
13,586,1,0,62,409.0,5.211534618856623,31,2,0,8,0,0,23,-5810.0,False
14,631,0,1,63,439.0,6.033361523494512,29,0,2,0,23,6,0,-6112.0,False
15,676,1,0,62,425.0,5.076839945839767,27,2,0,7,0,0,20,-6277.0,False
16,721,0,1,66,528.0,4.979222500375626,36,0,2,2,24,10,0,-7769.0,False
17,766,1,0,61,432.0,5.134262797539649,31,2,0,8,0,0,23,-6128.0,False
18,811,0,1,63,456.0,5.897175804828131,30,0,2,0,24,6,0,-6417.0,False
19,856,1,0,60,395.0,5.123328054609959,28,2,0,6,0,0,22,-5543.0,False
20,901,0,1,65,520.0,5.054080032559761,36,0,2,2,24,10,0,-7861.0,False
21,946,1,0,61,416.0,5.060387946356385,31,2,0,8,0,0,23,-5828.0,False
22,991,0,1,62,424.0,5.769272087154516,29,0,2,0,23,6,0,-6174.0,False
23,1036,1,0,62,358.0,5.314312805187885,27,2,0,6,0,0,21,-5122.0,False
24,1081,0,1,68,513.0,5.210121469950114,36,0,2,2,24,10,0,-7707.0,False
25,1126,1,0,62,455.0,5.014033456172774,31,2,0,8,0,0,23,-6681.0,False
26,1171,0,1,64,438.0,5.730864314762582,30,0,2,0,24,6,0,-6041.0,False
27,1216,1,0,64,401.0,5.355228298560937,26,2,0,7,0,0,19,-6203.0,False
28,1261,0,1,67,525.0,5.342587147291324,36,0,2,2,24,10,0,-7619.0,False
