decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue,reward,done
1,2,0,1,6,0.0,1.789690213444798,0,3,2,0,0,0,0,0.0,False
1,3,0,1,6,0.0,3.756390419423891,0,3,2,0,0,0,0,0.0,False
1,4,0,1,6,0.0,5.92296972476955,0,3,2,0,0,0,0,0.0,False
1,5,0,1,7,0.0,6.671355706260407,1,0,2,0,1,0,0,-0.0,False
1,6,0,1,7,0.0,8.580810196774213,0,0,2,0,0,0,0,-0.0,False
1,7,0,1,8,0.0,9.202939155693068,1,0,2,0,0,0,1,-0.0,False
1,8,0,1,8,0.0,10.419143116186309,0,0,2,0,0,0,0,-0.0,False
1,9,0,1,9,0.0,9.884092093126895,1,0,2,0,1,0,0,-0.0,False
1,10,0,1,9,0.0,10.511177492539856,0,0,2,0,0,0,0,-0.0,False
1,11,0,1,9,0.0,10.934847417781384,0,0,2,0,0,0,0,-0.0,False
1,12,0,1,10,0.0,10.446661870689825,1,0,2,0,0,0,1,-0.0,False
1,13,0,1,15,0.0,7.3056574359121695,5,0,2,2,1,2,0,-0.0,False
1,14,0,1,15,0.0,8.338465850555735,0,0,2,0,0,0,0,-0.0,False
1,15,0,1,15,0.0,9.418157730429211,0,0,2,0,0,0,0,-0.0,False
1,16,0,1,15,0.0,10.108933294090166,0,0,2,0,0,0,0,-0.0,False
1,17,0,1,17,0.0,9.767423142605036,2,0,2,0,1,0,1,-0.0,False
1,18,0,1,17,0.0,10.42388920768847,0,0,2,0,0,0,0,-0.0,False
1,19,0,1,17,0.0,10.867133269983269,0,0,2,0,0,0,0,-0.0,False
1,20,0,1,17,0.0,11.01748516488196,0,0,2,0,0,0,0,-0.0,False
1,21,0,1,18,0.0,10.311019421558504,1,0,2,0,1,0,0,-0.0,False
1,22,0,1,19,1.0,9.972107362594475,2,0,2,0,0,1,1,-1.0,False
1,23,0,1,19,2.0,10.241726935159182,1,0,2,0,0,1,0,-2.0,False
1,24,0,1,19,4.0,10.406216925774936,2,0,2,0,0,2,0,-4.0,False
1,25,0,1,24,6.0,8.361041841745847,7,0,2,2,1,4,0,-6.0,False
1,26,0,1,24,8.0,8.862118221389789,2,0,2,0,0,2,0,-8.0,False
1,27,0,1,25,10.0,8.842515864641463,3,0,2,0,0,2,1,-10.0,False
1,28,0,1,25,12.0,9.311225991784706,2,0,2,0,0,2,0,-12.0,False
1,29,0,1,26,14.0,9.076295281961103,3,0,2,0,1,2,0,-14.0,False
1,30,0,1,26,16.0,9.417831188795208,2,0,2,0,0,2,0,-16.0,False
1,31,0,1,26,19.0,9.261769483952985,3,0,2,0,1,2,0,-19.0,False
1,32,0,1,27,22.0,9.00801296852915,4,0,2,0,1,2,1,-22.0,False
1,33,0,1,28,27.0,8.864547642921742,6,0,2,0,3,3,0,-27.0,False
1,34,0,1,26,33.0,8.593653603240716,6,0,2,0,2,4,0,-33.0,False
1,35,0,1,26,39.0,8.489568580985978,6,0,2,0,2,4,0,-39.0,False
1,36,0,1,26,45.0,8.492295866971306,6,0,2,0,2,4,0,-45.0,False
1,37,0,1,31,52.0,7.10335399396552,12,0,2,2,4,6,0,-52.0,False
1,38,0,1,32,59.0,7.138182239927753,8,0,2,0,3,4,1,-59.0,False
1,39,0,1,32,66.0,7.56758550070361,7,0,2,0,3,4,0,-66.0,False
1,40,0,1,32,74.0,7.959945240254892,8,0,2,0,4,4,0,-74.0,False
1,41,0,1,33,82.0,7.944057563005416,9,0,2,0,5,4,0,-82.0,False
