episode,decisions,episode_reward,avg_loss,epsilon,final_vehicle_count,final_total_waiting_time,final_mean_speed,final_total_queue
1,82,-7740700.0,0.0,1.0,94,551.0,5.927744107136605,40
2,82,-8826150.0,219.91755964949326,0.9816655328642288,71,442.0,8.350831422337746,17
3,82,-6361552.0,132.92486330357994,0.9422215132683146,83,1616.0,6.724513949185135,31
4,82,-8166895.0,52.26856046769677,0.9043623824454068,138,1424.0,6.910422555325983,51
5,81,-8599006.0,33.22390636396997,0.8684586877807972,84,348.0,9.529829795668654,16
6,81,-5223225.0,11.222381391643006,0.8339803899654946,143,808.0,7.455254408165463,31
7,82,-7212350.0,7.426295457816705,0.8004704644938051,78,35.0,7.920919243676599,4
8,81,-7751185.0,8.04375167540562,0.7686913373395875,97,3817.0,2.131048134829714,79
9,82,-15923959.0,32.1213247543428,0.7378047724575895,103,341.0,9.827542323655868,16
10,81,-4575078.0,34.383394288428036,0.7085135084835393,125,8508.0,1.47676683725669,107
11,81,-4154870.0,20.227505477858177,0.6803851241454388,87,737.0,8.89291163383218,22
12,81,-2447622.0,25.287560315779697,0.6533734524684215,57,14.0,9.086580732445517,4
13,81,-4368540.0,19.609697859964253,0.6274341593324599,63,481.0,8.28190664187452,21
14,81,-3740252.0,15.236097023810869,0.6025246707069989,55,866.0,5.102494871192942,31
15,81,-3554227.0,16.212686638773224,0.5786041027744149,73,654.0,8.717775859554528,20
16,81,-3930460.0,13.465369583647927,0.5556331948276143,69,193.0,9.948497609948449,12
17,81,-4499143.0,18.89033310796008,0.5335742448316299,89,2117.0,3.9666832529869898,59
18,81,-2571201.0,10.78873618738151,0.5123910475434663,68,59.0,10.702849729602795,7
19,81,-3454482.0,11.127007993651025,0.49204883508861486,72,169.0,8.943350945770367,8
20,81,-2486212.0,11.007401854903609,0.47251421989671744,93,951.0,6.239344708045713,28
21,81,-2287974.0,10.52147498101364,0.4537551399027171,45,473.0,5.103977174394815,26
22,81,-2662097.0,8.41922684363377,0.43574080592355235,74,2191.0,3.0312984769765685,55
23,81,-1464947.0,8.572759438444066,0.4184416511240273,95,618.0,5.25548681342141,43
24,81,-1707842.0,7.279355172757749,0.4018292824889141,96,249.0,5.380798374572059,28
25,81,-1508592.0,8.572626050607658,0.3858764342216409,67,125.0,7.814663685529868,7
26,81,-1816486.0,7.140401077859195,0.3705569229930779,58,196.0,5.189156024678585,19
27,81,-1641254.0,7.446737348297496,0.35584560496697226,73,116.0,6.354264851055222,20
28,81,-1681547.0,6.154245248547307,0.3417183345314964,76,1245.0,4.091749804594731,38
29,81,-1828293.0,5.652123064170649,0.3281519246691772,68,86.0,9.646477176101307,13
30,81,-1768192.0,6.987592276231743,0.315124108900162,82,80.0,8.488040406898529,16
31,81,-1703410.0,5.690528445773655,0.30261350473635873,72,909.0,7.737423452455965,24
32,81,-1253332.0,6.013117507652,0.2905995785864645,62,213.0,5.8126336655615765,18
33,81,-1294618.0,5.6632372037864025,0.2790626120542874,70,2097.0,3.1327269034279803,51
34,81,-1457614.0,6.369618252471641,0.2679836695750422,72,20.0,8.983396939688324,6
35,81,-1239811.0,6.238630890846252,0.25734456733650446,79,24.0,9.421079473372265,5
36,81,-1536964.0,6.1332530901755815,0.2471278434340109,60,17.0,8.825159459875424,4
37,81,-1256438.0,6.355625931127571,0.23731672921032318,59,76.0,6.1421951337961245,13
38,81,-1208099.0,6.227121071315106,0.2278951217333163,51,820.0,4.422200076764831,32
39,81,-1216451.0,5.666253981766878,0.2188475573663175,60,514.0,5.6112537448832525,32
40,81,-1517921.0,6.343048126609237,0.2101591863877178,73,295.0,9.63531293101258,15
41,81,-1370085.0,6.469099111763048,0.2018157486181985,75,14.0,9.362685914475554,4
42,81,-979273.0,5.908023585507899,0.1938035500155716,72,22.0,9.054799899726488,7
43,81,-1069031.0,5.343111179861022,0.18610944019881728,91,3.0,8.87699745146018,3
44,81,-902833.0,6.7290130367985475,0.1787207908644304,58,337.0,5.234123863807005,26
45,81,-1378111.0,6.654888049319938,0.17162547505964956,81,1045.0,3.3666161300061463,44
46,81,-1187617.0,6.581112169189217,0.16481184727855117,74,50.0,9.760446420287773,11
47,81,-822459.0,5.860466262440623,0.15826872434833938,68,2119.0,3.0706802113334426,49
48,80,-852087.0,6.056668113172054,0.15206139777334782,50,756.0,4.507660811533503,31
49,81,-1391864.0,5.858760833004375,0.14602447485184658,62,47.0,8.721914250924154,9
50,81,-1372366.0,5.949798387509805,0.14022722116194394,59,376.0,4.694749583496477,23
51,81,-1443695.0,6.97930594947603,0.13466012170049646,56,29.0,6.349443430082447,7
52,81,-905051.0,6.351171056429545,0.12931403921533124,68,1460.0,3.3466045173624757,49
53,80,-760150.0,7.246375250071287,0.12424232036850384,60,393.0,5.520676127498334,27
54,80,-941707.0,8.100035395473242,0.11936951520666646,71,347.0,9.331698579039175,16
55,80,-1076726.0,6.945178537070751,0.11468782230090087,60,395.0,5.372611479017991,27
