episode,decisions,episode_reward,avg_loss,epsilon,final_vehicle_count,final_total_waiting_time,final_mean_speed,final_total_queue
1,82,-16020455.0,0.0,1.0,124,586.0,6.698680658447584,32
2,82,-16710069.0,1281.6275766733531,0.9816655328642288,173,13323.0,1.815149205356524,136
3,82,-6610401.0,745.9370416780797,0.9422215132683146,59,649.0,5.693371513180893,25
4,82,-9358698.0,292.0344295966916,0.9043623824454068,124,4863.0,1.1548698676781683,111
5,82,-4369670.0,245.82989529865543,0.8680244584369068,68,800.0,7.979754041918437,18
6,82,-9540682.0,104.46975380036889,0.8331466180706267,124,1970.0,4.629660321039268,49
7,81,-4848518.0,79.69897270202637,0.8000702292615582,79,674.0,7.5433144722883885,24
8,81,-9694022.0,60.18830332343961,0.7683069916709178,70,1738.0,3.1517282764521815,49
9,82,-5306151.0,35.18915215934195,0.7374358700713607,61,1256.0,2.5256740470423473,46
10,81,-4738525.0,28.055599766013064,0.7081592517292976,71,977.0,7.716517330136833,21
11,81,-4320487.0,27.227282789018417,0.6800449315833662,83,744.0,7.217155927704698,28
12,81,-2500029.0,23.93967287040051,0.6530467657421873,72,2383.0,5.936758609456266,34
13,81,-4789254.0,20.95625275741389,0.6271204422527937,60,363.0,6.479839121140136,26
14,81,-4197656.0,18.138271543714737,0.6022234083716455,74,2601.0,4.565252150334938,43
15,81,-2675847.0,14.842903737668637,0.5783148007230277,64,1504.0,4.123361225004367,41
16,81,-2905363.0,13.615283459792902,0.5553553782302005,59,742.0,6.186453728816016,26
17,81,-3512743.0,13.810216008880992,0.5333074577092141,75,508.0,4.959760491098317,43
18,81,-2082876.0,13.250825887844886,0.5121348520196947,74,113.0,9.16840300091271,11
19,81,-2485243.0,11.68709612481388,0.49180281067107057,65,208.0,8.650558904301583,13
20,81,-1955063.0,12.082847895445648,0.4722779627867691,84,93.0,7.030301571614773,16
21,81,-2519702.0,9.669186650970836,0.4535282623327658,63,92.0,8.525527393430895,11
22,81,-2409653.0,10.425962601178957,0.4355229355205906,71,531.0,7.751554937687649,23
23,81,-1661693.0,10.624817509710052,0.4182324302984653,81,1995.0,3.092009863179208,49
24,81,-2235540.0,10.464682190506547,0.40162836784766964,84,3004.0,2.383115279167631,55
25,81,-1746075.0,10.302545150121054,0.3856834960045301,57,61.0,9.742099269833947,7
26,81,-1413055.0,10.360548125372993,0.3703716445315814,66,65.0,8.658709512540614,16
27,81,-2496128.0,9.355528666649336,0.3556676821644888,78,1388.0,4.283027944734981,43
28,81,-1558539.0,9.486449500660838,0.3415474753642307,60,1393.0,3.2942414703611553,39
29,81,-2215568.0,7.856546989193669,0.3279878487068426,51,149.0,5.457055467035476,16
30,81,-1588440.0,9.555795316342953,0.31496654684571196,55,216.0,5.62600174827491,12
31,81,-1821819.0,8.35249869617415,0.30246219798399054,81,660.0,3.957104225380277,25
32,81,-1831554.0,8.833534040568788,0.2904542787971713,71,272.0,8.560698771103562,17
33,81,-1903719.0,9.517995280984007,0.2789230807482603,60,739.0,6.623890400249653,25
34,81,-1858529.0,9.302140318317178,0.2678496777402547,65,178.0,7.86184483372345,18
35,81,-1646180.0,7.789492992707241,0.2572158950528362,52,678.0,3.479055546592364,29
36,81,-1914007.0,7.827681516423637,0.2470042795122939,93,2649.0,2.6582527043103736,59
37,81,-1364745.0,9.416626450456219,0.23719807084571803,64,1795.0,2.445522790615241,49
38,81,-1608752.0,8.743411539513389,0.22778117417244967,58,55.0,9.992084764316688,8
39,81,-1180421.0,9.478297892911934,0.21873813358763436,52,13.0,6.777194731059063,5
40,80,-1385413.0,7.965114584565162,0.2101591863877178,52,860.0,3.2375527836818554,36
41,81,-2199856.0,7.664231343033873,0.2018157486181985,54,399.0,3.9178914466260335,22
42,81,-1599320.0,8.594988062057967,0.1938035500155716,58,72.0,8.437323972160563,11
43,81,-1671785.0,6.96838672367143,0.18610944019881728,74,1673.0,1.7623813010752394,60
44,81,-1518551.0,8.245028419259153,0.1787207908644304,55,179.0,8.004476062592705,6
45,81,-1046236.0,9.015716289296563,0.17162547505964956,50,488.0,5.657282042961734,24
46,81,-1203723.0,9.066708289546732,0.16481184727855117,65,91.0,8.611796814124274,7
47,81,-1361979.0,8.8925686456539,0.15826872434833938,66,193.0,8.60716806621389,9
48,80,-1117103.0,7.215839692950249,0.15206139777334782,49,700.0,3.656133917337975,32
49,81,-1141802.0,8.891034503041961,0.14602447485184658,60,852.0,4.081119607148513,30
50,81,-1149768.0,8.52210130662094,0.14022722116194394,52,16.0,6.816812058403475,5
51,81,-1244007.0,8.483976324399313,0.13466012170049646,58,43.0,9.200666063499362,10
52,81,-1098193.0,9.6287454219512,0.12931403921533124,51,187.0,5.5509649812903366,14
53,81,-1211672.0,8.156798081633486,0.1241801992083196,75,2820.0,1.9386766925275076,61
54,81,-1453461.0,8.86139867040846,0.1192501755338386,52,252.0,5.234511347637369,20
55,81,-954756.0,8.749655108392975,0.11451587656898027,51,305.0,3.939672197686507,21
56,81,-1205489.0,8.92391464518912,0.10996953193281216,52,355.0,3.8554975916606966,22
57,80,-1204854.0,8.033246399462223,0.10565650798688378,82,3788.0,2.207448568136839,63
58,81,-1075021.0,8.257613377806582,0.10146188526072344,68,397.0,7.179201142055962,22
59,80,-1156960.0,9.861056020110846,0.09748253267972037,49,667.0,4.011581404688039,31
60,81,-1033269.0,9.346234607107846,0.09361242136549094,59,605.0,6.208661413911231,27
61,81,-1109888.0,9.594125664528505,0.08989595564471083,66,1161.0,3.084048236806949,37
62,80,-809205.0,8.705952440202235,0.08637022081140601,54,913.0,3.256839045495155,38
63,80,-928379.0,9.048161955177784,0.0829827659043295,53,191.0,9.66092751159166,9
64,81,-1010387.0,8.963016000794775,0.07968830347722414,49,441.0,5.745310714135768,23
65,81,-1120121.0,8.079470263587105,0.07652463305934296,50,162.0,5.792265449413776,12
66,81,-859939.0,8.575338697727815,0.07348656213443931,54,197.0,9.62599121777159,9
67,81,-960442.0,9.31893355463758,0.07056910433207873,54,217.0,9.495681143440967,10
68,80,-867667.0,8.24042613506317,0.067801371929499,49,363.0,6.662522665239995,21
69,80,-1008062.0,7.648124178498984,0.0651421904675156,52,395.0,6.448671152154429,21
70,81,-1079315.0,9.273914994281014,0.06255600890829892,52,453.0,5.51006603249096,23
71,81,-966920.0,10.900485347818446,0.06007250020993069,54,183.0,9.53504096705917,9
72,80,-887544.0,7.575251185148955,0.05771644642536505,50,382.0,6.808313739848257,20
73,80,-831629.0,8.349140924215316,0.055452797475230596,53,843.0,3.3937607317990155,37
74,80,-840138.0,9.679361535608768,0.053277929226036747,54,388.0,7.063332957935934,21
75,80,-800570.0,7.556457081437111,0.05118835968343142,50,740.0,3.5695166168435706,33
76,81,-1017529.0,9.719817872400638,0.05,50,412.0,6.128032881529692,23
77,80,-1087307.0,9.39677569270134,0.05,52,828.0,3.166098036797458,36
78,81,-1180090.0,8.527426250186966,0.05,56,188.0,7.015145075549903,8
79,81,-923976.0,8.524852705590519,0.05,54,645.0,5.174089968861563,28
80,80,-773231.0,10.032701462507248,0.05,52,868.0,3.2131805493485173,37
81,80,-747876.0,9.411405882239341,0.05,52,197.0,9.615567323924955,9
82,81,-982311.0,8.750708602092883,0.05,56,1013.0,3.096378627791963,39
83,81,-974879.0,7.5237731389057485,0.05,54,214.0,5.721789080457167,12
84,81,-1158043.0,8.901453861483821,0.05,51,187.0,5.653187927178863,14
85,80,-859688.0,7.992011500895023,0.05,48,672.0,3.710376770131718,33
86,80,-898696.0,9.56645825356245,0.05,52,843.0,3.4835008776387966,36
87,81,-1071543.0,9.016756391083753,0.05,53,154.0,5.768177703912496,15
88,81,-1029770.0,8.933038629867413,0.05,55,966.0,3.0854953419569084,38
89,81,-908795.0,8.410058474099195,0.05,58,715.0,5.330177477887026,31
90,80,-736932.0,8.39622296243906,0.05,48,383.0,6.809952201147218,20
91,81,-1118748.0,8.135514558097462,0.05,51,306.0,3.930759115868312,21
92,81,-1008111.0,8.859403298224931,0.05,63,168.0,7.628310055212654,19
93,81,-811630.0,8.814394927319185,0.05,53,403.0,3.8217844801267233,22
94,81,-983749.0,10.336096581117607,0.05,63,1332.0,2.356385360269097,48
95,80,-843499.0,9.347767329961062,0.05,53,384.0,6.449989928079097,22
96,81,-915115.0,9.592312426478774,0.05,50,276.0,3.972390229057575,19
97,81,-1037455.0,9.115881929427017,0.05,70,582.0,4.450469475100477,22
98,81,-900019.0,8.727582117657603,0.05,57,401.0,9.007866284450856,13
99,81,-823479.0,9.770259572399986,0.05,58,30.0,5.196193382526267,5
100,81,-920335.0,9.939926987812843,0.05,52,419.0,6.530845731507843,22
101,80,-858817.0,9.690569627285004,0.05,48,390.0,6.525292306689192,20
102,81,-976105.0,9.2069770693779,0.05,52,302.0,3.921021968587055,20
103,80,-843411.0,8.65097829401493,0.05,50,700.0,3.8629185195670925,33
104,80,-716178.0,8.453250308334827,0.05,49,396.0,6.330272775335068,22
105,80,-870443.0,10.839500285685062,0.05,52,188.0,9.795313049919242,9
106,80,-950393.0,9.76382141560316,0.05,68,207.0,8.785668241874024,13
107,81,-895871.0,9.67463586727778,0.05,54,195.0,9.405618814758524,9
108,80,-934155.0,10.217747405916452,0.05,52,435.0,6.462598746402402,22
109,80,-865552.0,9.970689441263676,0.05,59,1135.0,2.719132065396828,45
110,81,-1127292.0,8.912981418915736,0.05,64,1357.0,2.6979841224061762,48
111,80,-877219.0,9.773774860054255,0.05,57,1456.0,4.730812227738132,34
112,81,-840037.0,8.513031049275105,0.05,52,233.0,5.681398322797313,18
113,80,-818027.0,10.414076239615678,0.05,53,398.0,6.931916750234787,21
114,80,-829927.0,8.72485698312521,0.05,63,699.0,5.827835685702995,30
115,80,-738277.0,10.978276849538087,0.05,54,203.0,9.518118955790417,10
116,80,-1028209.0,10.154151108860969,0.05,53,402.0,6.567023607517693,21
117,81,-915218.0,8.623321756904508,0.05,50,271.0,3.9973785165081175,20
118,81,-930045.0,9.355835964650284,0.05,49,501.0,5.584636301314596,24
119,80,-836412.0,12.313512589782476,0.05,58,1040.0,2.979721793532792,42
120,80,-864256.0,11.105942603200674,0.05,49,398.0,6.38715738661902,22
121,81,-755788.0,8.74880979900007,0.05,49,493.0,5.646326656114514,23
122,81,-875063.0,9.825843858130185,0.05,56,23.0,6.978316356020194,6
123,81,-949644.0,11.811502918785001,0.05,51,228.0,5.538088979849743,19
124,80,-798588.0,10.668077743053436,0.05,48,383.0,6.640855229527772,19
125,80,-769274.0,9.911584823578597,0.05,53,389.0,6.5486795874443064,21
126,80,-903093.0,11.43309822678566,0.05,51,400.0,6.528895098949593,21
127,80,-801552.0,12.387874143570661,0.05,54,190.0,9.684982574072128,9
128,81,-605157.0,11.276707669099173,0.05,48,754.0,3.3415554541662806,33
129,80,-1195707.0,12.860145712643861,0.05,53,391.0,6.8091207617927,21
130,81,-901603.0,12.427384633340953,0.05,49,792.0,3.2117083170257534,33
131,80,-837413.0,13.428982865065336,0.05,54,905.0,3.312385113436155,37
132,80,-653845.0,11.994671849906444,0.05,56,418.0,5.851627884579343,22
