decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue,reward,done
1,2,0,0,6,0.0,1.789690213444798,0,3,3,0,0,0,0,0.0,False
1,3,0,0,6,0.0,3.756390419423891,0,3,3,0,0,0,0,0.0,False
1,4,0,0,6,0.0,5.92296972476955,0,3,3,0,0,0,0,0.0,False
1,5,0,0,7,0.0,6.671355706260407,1,0,0,0,1,0,0,-0.0,False
1,6,0,0,7,0.0,8.580810196774213,0,0,0,0,0,0,0,-0.0,False
1,7,0,0,8,0.0,9.202939155693068,1,0,0,0,0,0,1,-0.0,False
1,8,0,0,8,0.0,10.419143116186309,0,0,0,0,0,0,0,-0.0,False
1,9,0,0,9,0.0,9.884092093126895,1,0,0,0,1,0,0,-0.0,False
1,10,0,0,9,0.0,10.511177492539856,0,0,0,0,0,0,0,-0.0,False
1,11,0,0,9,0.0,10.934847417781384,0,0,0,0,0,0,0,-0.0,False
1,12,0,0,10,0.0,10.446661870689825,1,0,0,0,0,0,1,-0.0,False
1,13,0,0,15,0.0,7.3056574359121695,5,0,0,2,1,2,0,-0.0,False
1,14,0,0,15,0.0,8.338465850555735,0,0,0,0,0,0,0,-0.0,False
1,15,0,0,15,0.0,9.418157730429211,0,0,0,0,0,0,0,-0.0,False
1,16,0,0,15,0.0,10.108933294090166,0,0,0,0,0,0,0,-0.0,False
1,17,0,0,17,0.0,9.79600640399412,2,0,0,0,1,0,1,-0.0,False
1,18,0,0,17,0.0,10.697320342407426,0,0,0,0,0,0,0,-0.0,False
1,19,0,0,17,0.0,11.363724630407141,0,0,0,0,0,0,0,-0.0,False
1,20,0,0,17,0.0,11.907072457437545,0,0,0,0,0,0,0,-0.0,False
1,21,0,0,18,0.0,11.42513689107543,1,0,0,0,1,0,0,-0.0,False
1,22,0,0,19,0.0,11.158738253350878,1,0,0,0,0,0,1,-0.0,False
1,23,0,0,19,0.0,11.571727163450714,0,0,0,0,0,0,0,-0.0,False
1,24,0,0,19,0.0,11.724929528116114,0,0,0,0,0,0,0,-0.0,False
1,25,0,0,24,0.0,9.362019813225732,5,0,0,2,1,2,0,-0.0,False
1,26,0,0,24,0.0,9.772855213578827,0,0,0,0,0,0,0,-0.0,False
1,27,0,0,25,0.0,9.55654308445891,1,0,0,0,0,0,1,-0.0,False
1,28,0,0,25,0.0,9.83272573960499,0,0,0,0,0,0,0,-0.0,False
1,29,0,0,26,0.0,9.85275264070474,1,0,0,0,1,0,0,-0.0,False
1,30,0,0,26,0.0,10.155806390856792,0,0,0,0,0,0,0,-0.0,False
1,31,0,0,26,2.0,10.354612181802029,2,0,0,0,1,0,1,-2.0,False
1,32,0,0,27,4.0,10.293104090528196,3,0,0,0,1,0,2,-4.0,False
1,33,0,0,28,7.0,10.286507758633567,4,0,0,0,3,0,1,-7.0,False
1,34,0,0,25,10.0,9.615865193443566,3,0,0,0,2,0,1,-10.0,False
1,35,0,0,25,13.0,9.41822121650574,3,0,0,0,2,0,1,-13.0,False
1,36,0,0,25,16.0,9.34502951539936,3,0,0,0,2,0,1,-16.0,False
1,37,0,0,30,21.0,7.745371913269841,10,0,0,2,4,2,2,-21.0,False
1,38,0,0,31,26.0,7.763913258616469,6,0,0,0,3,0,3,-26.0,False
1,39,0,0,31,31.0,8.129389837236682,5,0,0,0,3,0,2,-31.0,False
1,40,0,0,30,37.0,8.218296892478277,6,0,0,0,4,0,2,-37.0,False
1,41,0,0,31,43.0,8.243813978953781,7,0,0,0,5,0,2,-43.0,False
1,42,0,0,31,50.0,8.488780154097332,7,0,0,0,4,0,3,-50.0,False
1,43,0,0,32,57.0,8.45167915286459,8,0,0,0,4,0,4,-57.0,False
1,44,0,0,32,64.0,8.754588148800712,7,0,0,0,4,0,3,-64.0,False
1,45,0,0,33,72.0,8.32652579988911,9,0,0,0,6,0,3,-72.0,False
1,46,0,0,29,80.0,7.727018457449425,8,0,0,0,5,0,3,-80.0,False
2,47,0,1,29,88.0,7.4418124504244725,8,1,1,0,5,0,3,0.0,False
2,48,0,1,30,97.0,7.054006658410453,10,1,1,0,5,0,5,0.0,False
2,49,0,1,35,107.0,6.154061069883693,15,1,1,2,7,2,4,0.0,False
2,50,0,1,35,83.0,6.637712995292555,8,0,2,0,6,0,2,-83.0,False
2,51,0,1,35,79.0,7.249047687598448,8,0,2,0,7,0,1,-79.0,False
2,52,0,1,35,85.0,7.873857412334101,7,0,2,0,7,0,0,-85.0,False
2,53,0,1,37,92.0,7.919033994705035,9,0,2,0,8,0,1,-92.0,False
2,54,0,1,37,99.0,8.495923848974705,7,0,2,0,7,0,0,-99.0,False
2,55,0,1,37,106.0,8.583048920006743,7,0,2,0,7,0,0,-106.0,False
2,56,0,1,37,113.0,8.56765526629165,7,0,2,0,7,0,0,-113.0,False
2,57,0,1,38,121.0,8.464259077472233,9,0,2,0,8,1,0,-121.0,False
2,58,0,1,37,130.0,8.05239436268701,10,0,2,0,8,1,1,-130.0,False
2,59,0,1,36,141.0,7.937296084484719,11,0,2,0,9,2,0,-141.0,False
2,60,0,1,36,152.0,7.934231235259929,11,0,2,0,9,2,0,-152.0,False
2,61,0,1,40,163.0,6.863371590176139,16,0,2,2,10,4,0,-163.0,False
2,62,0,1,40,174.0,7.07652321629868,11,0,2,0,9,2,0,-174.0,False
2,63,0,1,41,186.0,7.160209074736263,13,0,2,0,10,2,1,-186.0,False
2,64,0,1,41,198.0,7.367948164936121,12,0,2,0,10,2,0,-198.0,False
2,65,0,1,42,211.0,7.462691286035354,14,0,2,0,12,2,0,-211.0,False
2,66,0,1,42,224.0,7.600679919195536,13,0,2,0,11,2,0,-224.0,False
2,67,0,1,42,237.0,7.637438371486181,13,0,2,0,11,2,0,-237.0,False
2,68,0,1,43,251.0,7.587375877136996,15,0,2,0,11,3,1,-251.0,False
2,69,0,1,44,265.0,7.22961675959564,15,0,2,0,12,3,0,-265.0,False
2,70,0,1,44,280.0,7.264412952244009,15,0,2,0,11,4,0,-280.0,False
2,71,0,1,43,295.0,7.1674220099459625,15,0,2,0,11,4,0,-295.0,False
2,72,0,1,42,311.0,7.159791627540232,16,0,2,0,12,4,0,-311.0,False
2,73,0,1,47,328.0,6.369154973432641,22,0,2,2,14,6,0,-328.0,False
2,74,0,1,48,345.0,6.604915409610818,18,0,2,0,13,4,1,-345.0,False
2,75,0,1,48,362.0,6.75531494021342,17,0,2,0,13,4,0,-362.0,False
2,76,0,1,48,379.0,6.7113083625393655,17,0,2,0,13,4,0,-379.0,False
2,77,0,1,49,396.0,6.588859814195741,18,0,2,0,14,4,0,-396.0,False
2,78,0,1,49,413.0,6.543604712101698,17,0,2,0,13,4,0,-413.0,False
2,79,0,1,50,431.0,6.2461284471619924,19,0,2,0,14,4,1,-431.0,False
2,80,0,1,50,450.0,6.043045328877116,19,0,2,0,15,4,0,-450.0,False
2,81,0,1,51,471.0,5.753694404752052,22,0,2,0,17,5,0,-471.0,False
2,82,0,1,50,494.0,5.467556417546851,23,0,2,0,18,5,0,-494.0,False
2,83,0,1,50,519.0,5.245145014818276,25,0,2,0,19,6,0,-519.0,False
2,84,0,1,51,544.0,5.072487469718203,26,0,2,0,19,6,1,-544.0,False
2,85,0,1,55,570.0,4.3842895134309225,31,0,2,2,21,8,0,-570.0,False
2,86,0,1,55,598.0,4.54099678001757,28,0,2,0,22,6,0,-598.0,False
2,87,0,1,55,627.0,4.577026975897878,29,0,2,0,23,6,0,-627.0,False
2,88,0,1,55,658.0,4.665529995027465,31,0,2,0,25,6,0,-658.0,False
2,89,0,1,57,689.0,4.4919210435325825,33,0,2,0,26,6,1,-689.0,False
2,90,0,1,57,721.0,4.575015163331575,32,0,2,0,26,6,0,-721.0,False
2,91,0,1,57,754.0,4.636531237506615,33,0,2,0,27,6,0,-754.0,False
3,92,1,0,57,787.0,4.575896973733677,33,1,3,0,27,6,0,0.0,False
3,93,1,0,58,821.0,4.414320882603203,35,1,3,0,28,7,0,0.0,False
3,94,1,0,59,857.0,4.188621135910236,37,1,3,0,27,8,2,0.0,False
3,95,1,0,59,604.0,4.496967936983883,28,2,0,0,23,4,1,-604.0,False
3,96,1,0,59,448.0,4.9191189828706605,20,2,0,0,19,0,1,-448.0,False
3,97,1,0,64,341.0,5.0230119086917,21,2,0,2,16,2,1,-341.0,False
3,98,1,0,63,244.0,5.654350384602756,13,2,0,0,12,0,1,-244.0,False
3,99,1,0,64,168.0,6.297278328180045,11,2,0,0,9,0,2,-168.0,False
3,100,1,0,63,114.0,7.219066843749797,9,2,0,0,8,0,1,-114.0,False
3,101,1,0,64,72.0,7.8417179430026245,8,2,0,0,7,0,1,-72.0,False
3,102,1,0,64,44.0,8.493955406970375,6,2,0,0,4,0,2,-44.0,False
3,103,1,0,64,35.0,8.904599932401728,6,2,0,0,4,0,2,-35.0,False
3,104,1,0,65,21.0,9.28450981004122,5,2,0,0,2,0,3,-21.0,False
3,105,1,0,66,20.0,9.442580932294005,5,2,0,1,2,0,2,-20.0,False
3,106,1,0,65,21.0,9.865409379761171,4,2,0,1,0,0,3,-21.0,False
3,107,1,0,64,26.0,10.024922623581237,5,2,0,2,0,0,3,-26.0,False
3,108,1,0,64,31.0,10.382549624637601,5,2,0,2,0,0,3,-31.0,False
3,109,1,0,69,36.0,9.908650814015553,10,2,0,4,1,2,3,-36.0,False
3,110,1,0,70,41.0,10.118773476952194,6,2,0,2,0,0,4,-41.0,False
3,111,1,0,70,46.0,10.392881248954922,5,2,0,2,0,0,3,-46.0,False
3,112,1,0,70,51.0,10.626666790903917,5,2,0,2,0,0,3,-51.0,False
3,113,1,0,67,56.0,10.383913696694787,6,2,0,2,1,0,3,-56.0,False
3,114,1,0,67,61.0,10.437448538116415,5,2,0,2,0,0,3,-61.0,False
3,115,1,0,67,67.0,10.250403897480231,7,2,0,2,0,0,5,-67.0,False
3,116,1,0,65,73.0,10.266359138169154,6,2,0,2,0,0,4,-73.0,False
3,117,1,0,65,81.0,10.197171089080033,9,2,0,3,1,0,5,-81.0,False
3,118,1,0,64,89.0,10.20987030292297,8,2,0,3,0,0,5,-89.0,False
3,119,1,0,63,98.0,10.05567526022019,9,2,0,4,0,0,5,-98.0,False
3,120,1,0,64,107.0,9.826668679798017,10,2,0,4,0,0,6,-107.0,False
3,121,1,0,69,116.0,8.911395717701286,14,2,0,6,1,2,5,-116.0,False
3,122,1,0,68,126.0,8.837498041837938,10,2,0,4,0,0,6,-126.0,False
3,123,1,0,68,137.0,8.817638521674464,11,2,0,4,0,0,7,-137.0,False
3,124,1,0,67,150.0,8.65534413782871,13,2,0,4,0,0,9,-150.0,False
3,125,1,0,69,164.0,8.267396532226288,16,2,0,4,1,0,11,-164.0,False
3,126,1,0,68,178.0,8.152303916931455,14,2,0,4,0,0,10,-178.0,False
3,127,1,0,67,194.0,7.941706070457992,16,2,0,4,0,0,12,-194.0,False
3,128,1,0,66,210.0,7.571481799517745,16,2,0,4,0,0,12,-210.0,False
3,129,1,0,67,227.0,7.110499344847512,18,2,0,4,1,0,13,-227.0,False
3,130,1,0,64,249.0,6.472644291306253,23,2,0,6,0,0,17,-249.0,False
3,131,1,0,64,271.0,6.453245385890452,22,2,0,6,0,0,16,-271.0,False
3,132,1,0,62,295.0,6.111668195154983,24,2,0,6,0,0,18,-295.0,False
3,133,1,0,66,319.0,5.32507155180933,29,2,0,8,1,2,18,-319.0,False
3,134,1,0,65,344.0,5.082962005357372,25,2,0,6,0,0,19,-344.0,False
3,135,1,0,64,371.0,4.67281458434562,28,2,0,6,0,0,22,-371.0,False
3,136,1,0,64,399.0,4.626086491891925,28,2,0,6,0,0,22,-399.0,False
4,137,0,1,65,429.0,4.393153558505861,31,3,1,6,1,0,24,0.0,False
4,138,0,1,65,461.0,4.327961078576852,32,3,1,6,0,0,26,0.0,False
4,139,0,1,65,495.0,4.162362803500539,34,3,1,6,0,0,28,0.0,False
4,140,0,1,66,293.0,4.109973573766418,29,0,2,2,0,1,26,-293.0,False
4,141,0,1,67,202.0,4.375992325220001,24,0,2,0,1,1,22,-202.0,False
4,142,0,1,65,152.0,4.624253763984031,22,0,2,0,0,2,20,-152.0,False
4,143,0,1,65,114.0,5.227166439130238,19,0,2,0,0,2,17,-114.0,False
4,144,0,1,65,97.0,5.978974415826556,16,0,2,0,0,2,14,-97.0,False
4,145,0,1,70,92.0,6.071741312233276,21,0,2,2,1,4,14,-92.0,False
4,146,0,1,71,85.0,6.650070968994932,15,0,2,0,0,2,13,-85.0,False
4,147,0,1,71,78.0,7.2388427896759,12,0,2,0,0,2,10,-78.0,False
4,148,0,1,71,70.0,7.887762765023118,11,0,2,0,1,2,8,-70.0,False
4,149,0,1,72,62.0,8.10243765317066,12,0,2,0,3,2,7,-62.0,False
4,150,0,1,72,64.0,8.60093317046539,10,0,2,0,2,2,6,-64.0,False
4,151,0,1,73,63.0,8.639436853678513,10,0,2,0,2,2,6,-63.0,False
4,152,0,1,73,54.0,9.024058236867928,8,0,2,0,3,2,3,-54.0,False
4,153,0,1,74,45.0,9.067099489764413,8,0,2,0,4,3,1,-45.0,False
4,154,0,1,74,48.0,9.4118193817617,8,0,2,0,3,4,1,-48.0,False
4,155,0,1,74,54.0,9.646576026025066,7,0,2,0,3,4,0,-54.0,False
4,156,0,1,75,61.0,9.825536230994082,8,0,2,0,3,4,1,-61.0,False
4,157,0,1,80,69.0,9.399468562963783,13,0,2,2,5,6,0,-69.0,False
4,158,0,1,79,77.0,9.700951197302754,8,0,2,0,4,4,0,-77.0,False
4,159,0,1,77,85.0,9.921771745429016,8,0,2,0,4,4,0,-85.0,False
4,160,0,1,74,93.0,10.127215338529778,8,0,2,0,4,4,0,-93.0,False
4,161,0,1,74,102.0,9.86943055368042,11,0,2,0,6,4,1,-102.0,False
4,162,0,1,74,111.0,10.029195627674461,9,0,2,0,5,4,0,-111.0,False
4,163,0,1,74,120.0,10.12083914678602,9,0,2,0,5,4,0,-120.0,False
4,164,0,1,74,130.0,10.080455566535063,10,0,2,0,5,5,0,-130.0,False
4,165,0,1,75,142.0,9.956740832673736,13,0,2,0,7,6,0,-142.0,False
4,166,0,1,73,154.0,9.594105795670837,13,0,2,0,6,6,1,-154.0,False
4,167,0,1,73,166.0,9.439496697099742,12,0,2,0,6,6,0,-166.0,False
4,168,0,1,72,178.0,9.262939810200823,12,0,2,0,6,6,0,-178.0,False
4,169,0,1,76,192.0,8.426090645794789,19,0,2,2,9,8,0,-192.0,False
4,170,0,1,75,208.0,8.280599885346845,16,0,2,0,10,6,0,-208.0,False
4,171,0,1,74,225.0,7.877668386249529,18,0,2,0,11,6,1,-225.0,False
4,172,0,1,74,242.0,7.726637560081054,17,0,2,0,11,6,0,-242.0,False
4,173,0,1,74,261.0,7.359333486795787,20,0,2,0,14,6,0,-261.0,False
4,174,0,1,74,280.0,7.397847011133921,19,0,2,0,13,6,0,-280.0,False
4,175,0,1,72,302.0,7.163924781186028,22,0,2,0,16,6,0,-302.0,False
4,176,0,1,72,326.0,6.931175530632856,25,0,2,0,17,7,1,-326.0,False
4,177,0,1,72,351.0,6.876967738923697,26,0,2,0,19,7,0,-351.0,False
4,178,0,1,69,379.0,6.545465405548701,28,0,2,0,20,8,0,-379.0,False
4,179,0,1,68,408.0,6.453370314157444,29,0,2,0,21,8,0,-408.0,False
4,180,0,1,66,439.0,6.212642971209535,31,0,2,0,23,8,0,-439.0,False
4,181,0,1,71,471.0,5.710211283111533,37,0,2,2,25,10,0,-471.0,False
5,182,1,0,70,503.0,5.637545867993187,33,1,3,0,24,8,1,0.0,False
5,183,1,0,70,536.0,5.907050921084286,33,1,3,0,25,8,0,0.0,False
5,184,1,0,69,569.0,5.904087262520446,33,1,3,0,25,8,0,0.0,False
5,185,1,0,70,338.0,6.032566449601181,26,2,0,0,22,4,0,-338.0,False
5,186,1,0,68,203.0,6.008029925463297,17,2,0,0,17,0,0,-203.0,False
5,187,1,0,69,142.0,6.181113655597819,14,2,0,0,13,0,1,-142.0,False
5,188,1,0,67,90.0,6.604214372547151,9,2,0,0,9,0,0,-90.0,False
5,189,1,0,67,51.0,7.072215740060409,9,2,0,0,8,0,1,-51.0,False
5,190,1,0,65,25.0,7.785641014468724,6,2,0,1,4,0,1,-25.0,False
5,191,1,0,62,8.0,8.189131021806455,3,2,0,1,1,0,1,-8.0,False
5,192,1,0,63,8.0,8.832955598142863,4,2,0,2,0,0,2,-8.0,False
5,193,1,0,66,11.0,8.692392781756753,8,2,0,4,1,2,1,-11.0,False
5,194,1,0,66,14.0,9.238295088301971,3,2,0,2,0,0,1,-14.0,False
5,195,1,0,65,17.0,9.641389632653713,3,2,0,2,0,0,1,-17.0,False
5,196,1,0,65,21.0,10.152746265421621,4,2,0,2,0,0,2,-21.0,False
5,197,1,0,67,25.0,10.188189443582752,6,2,0,2,1,0,3,-25.0,False
5,198,1,0,67,30.0,10.552016949561544,5,2,0,2,0,0,3,-30.0,False
5,199,1,0,67,35.0,10.820113351309292,5,2,0,2,0,0,3,-35.0,False
5,200,1,0,67,40.0,10.921932455084399,5,2,0,2,0,0,3,-40.0,False
5,201,1,0,68,46.0,10.660332004015702,7,2,0,3,1,0,3,-46.0,False
5,202,1,0,69,53.0,10.566527885192762,8,2,0,4,0,0,4,-53.0,False
5,203,1,0,67,61.0,10.57895322019797,8,2,0,4,0,0,4,-61.0,False
5,204,1,0,66,69.0,10.518628134111266,8,2,0,4,0,0,4,-69.0,False
5,205,1,0,69,77.0,9.763877382243102,13,2,0,6,1,2,4,-77.0,False
5,206,1,0,67,85.0,9.781659627490516,8,2,0,4,0,0,4,-85.0,False
5,207,1,0,66,93.0,9.697293165395957,9,2,0,4,0,0,5,-93.0,False
5,208,1,0,66,101.0,9.89017788579993,8,2,0,4,0,0,4,-101.0,False
5,209,1,0,66,110.0,9.586978870902353,10,2,0,4,1,0,5,-110.0,False
5,210,1,0,66,119.0,9.65196757590326,9,2,0,4,0,0,5,-119.0,False
5,211,1,0,64,128.0,9.397798484202745,9,2,0,4,0,0,5,-128.0,False
5,212,1,0,65,139.0,9.370642618844053,12,2,0,6,0,0,6,-139.0,False
5,213,1,0,65,151.0,9.189522167962679,13,2,0,6,1,0,6,-151.0,False
5,214,1,0,65,164.0,8.968316565902029,13,2,0,6,0,0,7,-164.0,False
5,215,1,0,63,177.0,8.499003927369632,13,2,0,6,0,0,7,-177.0,False
5,216,1,0,62,192.0,8.268865481317654,15,2,0,6,0,0,9,-192.0,False
5,217,1,0,66,207.0,7.35670801357265,20,2,0,8,1,2,9,-207.0,False
5,218,1,0,66,225.0,7.127651743161075,19,2,0,6,0,0,13,-225.0,False
5,219,1,0,64,243.0,7.037734560821635,18,2,0,6,0,0,12,-243.0,False
5,220,1,0,64,263.0,7.011947714320495,20,2,0,6,0,0,14,-263.0,False
5,221,1,0,64,285.0,6.656502237078896,23,2,0,6,1,0,16,-285.0,False
5,222,1,0,63,308.0,6.42215054625135,23,2,0,6,0,0,17,-308.0,False
5,223,1,0,63,332.0,6.039450434909984,25,2,0,6,0,0,19,-332.0,False
5,224,1,0,61,356.0,5.686050241928072,24,2,0,6,0,0,18,-356.0,False
5,225,1,0,61,382.0,5.475336307741384,27,2,0,6,1,0,20,-382.0,False
5,226,1,0,58,410.0,5.070689994206094,28,2,0,7,0,0,21,-410.0,False
6,227,0,1,57,440.0,4.914078251051898,30,3,1,8,0,0,22,0.0,False
6,228,0,1,57,472.0,4.771287907439804,33,3,1,8,0,0,25,0.0,False
6,229,0,1,61,505.0,4.228419788825663,38,3,1,10,1,2,25,0.0,False
6,230,0,1,61,291.0,4.617645533567944,26,0,2,4,0,0,22,-291.0,False
6,231,0,1,61,173.0,5.128781099966052,18,0,2,0,0,0,18,-173.0,False
6,232,0,1,61,120.0,5.680434920991134,15,0,2,0,1,0,14,-120.0,False
6,233,0,1,63,80.0,6.12697009519267,13,0,2,0,2,0,11,-80.0,False
6,234,0,1,63,60.0,6.733348418520499,9,0,2,0,1,0,8,-60.0,False
6,235,0,1,63,47.0,7.487471318006511,7,0,2,0,1,0,6,-47.0,False
6,236,0,1,63,34.0,8.146366957454166,6,0,2,0,1,0,5,-34.0,False
6,237,0,1,64,20.0,8.607436700767469,5,0,2,0,2,0,3,-20.0,False
6,238,0,1,64,14.0,8.77544767091664,5,0,2,0,2,1,2,-14.0,False
6,239,0,1,63,13.0,9.177762620661793,4,0,2,0,2,2,0,-13.0,False
6,240,0,1,63,17.0,9.613973213164048,4,0,2,0,2,2,0,-17.0,False
6,241,0,1,68,21.0,9.273771601291806,9,0,2,2,3,4,0,-21.0,False
6,242,0,1,68,26.0,9.666379194564174,5,0,2,0,3,2,0,-26.0,False
6,243,0,1,69,31.0,9.903903043106281,6,0,2,0,3,2,1,-31.0,False
6,244,0,1,69,36.0,10.178431008955922,5,0,2,0,3,2,0,-36.0,False
6,245,0,1,70,42.0,10.25881619413625,7,0,2,0,5,2,0,-42.0,False
6,246,0,1,70,48.0,10.409991936446012,6,0,2,0,4,2,0,-48.0,False
6,247,0,1,70,54.0,10.538811096876907,6,0,2,0,4,2,0,-54.0,False
6,248,0,1,70,61.0,10.403852690556635,8,0,2,0,5,2,1,-61.0,False
6,249,0,1,68,69.0,10.087690018710193,9,0,2,0,6,3,0,-69.0,False
6,250,0,1,67,78.0,10.09792660904511,9,0,2,0,5,4,0,-78.0,False
6,251,0,1,65,88.0,10.01578386634671,10,0,2,0,6,4,0,-88.0,False
6,252,0,1,65,98.0,10.085437128812885,10,0,2,0,6,4,0,-98.0,False
6,253,0,1,67,108.0,9.182619233736322,15,0,2,2,7,6,0,-108.0,False
