decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue,reward,done
1,2,0,0,6,0.0,1.789690213444798,0,3,3,0,0,0,0,0.0,False
1,3,0,0,6,0.0,3.756390419423891,0,3,3,0,0,0,0,0.0,False
1,4,0,0,12,0.0,2.961484862384775,6,3,3,2,1,2,1,0.0,False
1,5,0,0,12,0.0,4.797696436644764,0,0,0,0,0,0,0,-0.0,False
1,6,0,0,12,0.0,6.735967414591385,0,0,0,0,0,0,0,-0.0,False
1,7,0,0,18,0.0,5.7638837567543515,6,0,0,2,1,2,1,-0.0,False
1,8,0,0,18,0.0,7.291986458535685,0,0,0,0,0,0,0,-0.0,False
1,9,0,0,18,0.0,8.642236585430558,0,0,0,0,0,0,0,-0.0,False
1,10,0,0,20,0.0,8.761151940986249,2,0,0,0,1,0,1,-0.0,False
1,11,0,0,20,0.0,9.998061604781238,0,0,0,0,0,0,0,-0.0,False
1,12,0,0,20,0.0,10.886164256273853,0,0,0,0,0,0,0,-0.0,False
1,13,0,0,21,0.0,11.109217396344624,1,0,0,0,1,0,0,-0.0,False
1,14,0,0,21,0.0,11.632807712137605,0,0,0,0,0,0,0,-0.0,False
1,15,0,0,21,0.0,11.814542439372556,0,0,0,0,0,0,0,-0.0,False
1,16,0,0,22,0.0,11.646360770399339,1,0,0,0,0,0,1,-0.0,False
1,17,0,0,22,0.0,11.59982050484491,0,0,0,0,0,0,0,-0.0,False
1,18,0,0,22,0.0,11.933284274513102,0,0,0,0,0,0,0,-0.0,False
1,19,0,0,27,0.0,10.048006311655696,5,0,0,2,1,2,0,-0.0,False
1,20,0,0,27,0.0,10.514450787174482,0,0,0,0,0,0,0,-0.0,False
1,21,0,0,27,0.0,10.827091951031388,0,0,0,0,0,0,0,-0.0,False
1,22,0,0,27,0.0,10.98801742075472,0,0,0,0,0,0,0,-0.0,False
1,23,0,0,27,0.0,10.91493696168818,0,0,0,0,0,0,0,-0.0,False
1,24,0,0,29,0.0,10.2681088891804,2,0,0,0,1,0,1,-0.0,False
1,25,0,0,29,0.0,9.806972548533095,0,0,0,0,0,0,0,-0.0,False
1,26,0,0,29,0.0,9.863240625376068,0,0,0,0,0,0,0,-0.0,False
1,27,0,0,29,0.0,10.22318099483431,0,0,0,0,0,0,0,-0.0,False
1,28,0,0,30,0.0,10.093020331527375,1,0,0,0,1,0,0,-0.0,False
1,29,0,0,30,1.0,10.464156052291704,1,0,0,0,0,0,1,-1.0,False
1,30,0,0,30,2.0,10.481148447392801,1,0,0,0,0,0,1,-2.0,False
1,31,0,0,32,4.0,9.787564086242629,4,0,0,0,2,0,2,-4.0,False
1,32,0,0,32,7.0,9.755848871830405,3,0,0,0,1,0,2,-7.0,False
1,33,0,0,32,11.0,9.850634638578361,4,0,0,0,2,0,2,-11.0,False
1,34,0,0,31,15.0,9.237228017908842,5,0,0,0,3,0,2,-15.0,False
1,35,0,0,31,20.0,9.254139308058729,5,0,0,0,3,0,2,-20.0,False
1,36,0,0,36,25.0,7.810515069617646,10,0,0,2,3,2,3,-25.0,False
1,37,0,0,36,30.0,7.626342526390648,6,0,0,0,4,0,2,-30.0,False
1,38,0,0,36,35.0,7.740039850227157,5,0,0,0,3,0,2,-35.0,False
1,39,0,0,36,42.0,7.734311129831192,8,0,0,0,5,0,3,-42.0,False
1,40,0,0,36,50.0,8.05818708385771,8,0,0,0,5,0,3,-50.0,False
1,41,0,0,37,58.0,8.162759374933412,9,0,0,0,6,0,3,-58.0,False
1,42,0,0,38,67.0,8.12586193542995,10,0,0,0,5,0,5,-67.0,False
1,43,0,0,38,77.0,8.439659186969227,10,0,0,0,5,0,5,-77.0,False
1,44,0,0,38,87.0,8.604193681617314,10,0,0,0,5,0,5,-87.0,False
1,45,0,0,38,97.0,8.493362851599903,10,0,0,0,5,0,5,-97.0,False
1,46,0,0,38,108.0,8.092929609316947,12,0,0,0,6,0,6,-108.0,False
2,47,0,1,39,119.0,7.972229904553938,12,1,1,0,7,0,5,0.0,False
2,48,0,1,39,131.0,7.84588702193279,12,1,1,0,6,0,6,0.0,False
2,49,0,1,39,143.0,7.714074336734366,12,1,1,0,6,0,6,0.0,False
2,50,0,1,38,119.0,7.465081947084935,9,0,2,0,6,0,3,-119.0,False
2,51,0,1,36,99.0,7.288407182297956,8,0,2,0,6,0,2,-99.0,False
2,52,0,1,36,98.0,7.315544064598443,9,0,2,0,9,0,0,-98.0,False
2,53,0,1,42,107.0,6.242337182941206,15,0,2,2,10,2,1,-107.0,False
2,54,0,1,42,116.0,6.40884191331928,9,0,2,0,9,0,0,-116.0,False
2,55,0,1,40,127.0,6.188734320816779,11,0,2,0,10,1,0,-127.0,False
2,56,0,1,40,138.0,6.2608693551666565,12,0,2,0,11,1,0,-138.0,False
2,57,0,1,40,150.0,6.576105304947454,12,0,2,0,11,1,0,-150.0,False
2,58,0,1,40,163.0,7.10349009672616,13,0,2,0,11,2,0,-163.0,False
2,59,0,1,40,176.0,7.187890071417511,14,0,2,0,12,2,0,-176.0,False
2,60,0,1,41,190.0,7.217420833307037,15,0,2,0,12,2,1,-190.0,False
2,61,0,1,41,204.0,7.37207656198335,14,0,2,0,12,2,0,-204.0,False
2,62,0,1,42,219.0,7.240388293346967,16,0,2,0,14,2,0,-219.0,False
2,63,0,1,42,234.0,7.345161162526448,15,0,2,0,13,2,0,-234.0,False
2,64,0,1,42,249.0,7.327111104914234,15,0,2,0,13,2,0,-249.0,False
2,65,0,1,43,264.0,7.217193817663364,16,0,2,0,14,2,0,-264.0,False
2,66,0,1,43,279.0,7.380520425195482,15,0,2,0,13,2,0,-279.0,False
2,67,0,1,43,295.0,7.58442463839755,16,0,2,0,14,2,0,-295.0,False
2,68,0,1,44,311.0,7.469138510266023,17,0,2,0,14,2,1,-311.0,False
2,69,0,1,43,327.0,7.3521582581388945,16,0,2,0,14,2,0,-327.0,False
2,70,0,1,46,343.0,6.454104132392204,21,0,2,2,15,4,0,-343.0,False
2,71,0,1,47,360.0,6.449798643687457,18,0,2,0,15,2,1,-360.0,False
2,72,0,1,47,377.0,6.620163972626154,17,0,2,0,15,2,0,-377.0,False
2,73,0,1,47,394.0,6.7796625561866835,17,0,2,0,15,2,0,-394.0,False
2,74,0,1,48,411.0,6.628138021879775,18,0,2,0,15,2,1,-411.0,False
2,75,0,1,47,428.0,6.776059631305881,17,0,2,0,15,2,0,-428.0,False
2,76,0,1,47,447.0,6.569270804361581,20,0,2,0,16,4,0,-447.0,False
2,77,0,1,47,466.0,6.460862109568124,20,0,2,0,15,4,1,-466.0,False
2,78,0,1,46,487.0,6.334563454825649,21,0,2,0,17,4,0,-487.0,False
2,79,0,1,46,508.0,6.0145933590849845,21,0,2,0,17,4,0,-508.0,False
2,80,0,1,46,529.0,5.794305912257152,21,0,2,0,17,4,0,-529.0,False
2,81,0,1,51,551.0,4.94476749901569,27,0,2,2,19,6,0,-551.0,False
2,82,0,1,52,573.0,4.921730319332204,23,0,2,0,18,4,1,-573.0,False
2,83,0,1,52,597.0,4.750847244318892,25,0,2,0,20,5,0,-597.0,False
2,84,0,1,56,622.0,4.510631010713431,29,0,2,2,22,5,0,-622.0,False
2,85,0,1,56,648.0,4.8259803646275925,26,0,2,0,22,4,0,-648.0,False
2,86,0,1,55,676.0,4.854226880481048,28,0,2,0,24,4,0,-676.0,False
2,87,0,1,60,704.0,4.514434095946493,33,0,2,2,25,6,0,-704.0,False
2,88,0,1,60,734.0,4.706296036503036,30,0,2,0,25,5,0,-734.0,False
2,89,0,1,59,764.0,4.853238460217383,30,0,2,0,25,5,0,-764.0,False
2,90,0,1,61,796.0,4.9591035354806055,34,0,2,0,27,6,1,-796.0,False
2,91,0,1,61,828.0,5.1116001792038155,32,0,2,0,26,6,0,-828.0,False
3,92,1,0,61,860.0,5.201582453729767,32,1,3,0,26,6,0,0.0,False
3,93,1,0,62,892.0,5.10552350421732,33,1,3,0,27,6,0,0.0,False
3,94,1,0,62,924.0,5.224019315272263,32,1,3,0,26,6,0,0.0,False
3,95,1,0,62,625.0,5.542478283438716,26,2,0,0,24,2,0,-625.0,False
3,96,1,0,62,483.0,5.879191616179764,21,2,0,0,20,0,1,-483.0,False
3,97,1,0,63,364.0,5.953774520454956,18,2,0,0,16,0,2,-364.0,False
3,98,1,0,63,269.0,6.338891389169098,13,2,0,0,12,0,1,-269.0,False
3,99,1,0,64,194.0,6.525262120373633,12,2,0,0,10,0,2,-194.0,False
3,100,1,0,64,133.0,6.76399214425196,9,2,0,0,7,0,2,-133.0,False
3,101,1,0,64,91.0,6.98323379377986,10,2,0,1,7,0,2,-91.0,False
3,102,1,0,64,84.0,7.081917469488237,11,2,0,2,7,0,2,-84.0,False
3,103,1,0,64,59.0,7.100595967334449,11,2,0,2,6,0,3,-59.0,False
3,104,1,0,68,55.0,6.455292787849202,17,2,0,4,7,2,4,-55.0,False
3,105,1,0,68,54.0,6.591367791111674,10,2,0,2,4,0,4,-54.0,False
3,106,1,0,68,66.0,6.612774794769411,11,2,0,3,4,0,4,-66.0,False
3,107,1,0,69,77.0,6.662117926031017,15,2,0,5,5,0,5,-77.0,False
3,108,1,0,70,94.0,6.835987666290281,17,2,0,6,7,0,4,-94.0,False
3,109,1,0,70,112.0,7.1765284279367965,17,2,0,6,6,0,5,-112.0,False
3,110,1,0,71,118.0,7.492494581215524,19,2,0,6,7,0,6,-118.0,False
3,111,1,0,72,126.0,7.57461306118563,19,2,0,6,8,0,5,-126.0,False
3,112,1,0,72,133.0,7.8529942942821425,17,2,0,6,6,0,5,-133.0,False
3,113,1,0,72,140.0,7.748243216386104,18,2,0,6,6,0,6,-140.0,False
3,114,1,0,73,149.0,7.7750583838963605,18,2,0,6,7,0,5,-149.0,False
3,115,1,0,69,158.0,7.79247933470986,17,2,0,6,6,0,5,-158.0,False
3,116,1,0,68,166.0,8.060465394979826,16,2,0,6,5,0,5,-166.0,False
3,117,1,0,68,174.0,8.216227204392117,16,2,0,6,5,0,5,-174.0,False
3,118,1,0,68,182.0,8.435414242633186,15,2,0,6,3,0,6,-182.0,False
3,119,1,0,69,190.0,8.434431276423467,15,2,0,6,2,0,7,-190.0,False
3,120,1,0,68,198.0,8.593525871663372,13,2,0,6,1,0,6,-198.0,False
3,121,1,0,67,203.0,8.458918719607428,13,2,0,6,1,0,6,-203.0,False
3,122,1,0,71,215.0,8.022058891621297,16,2,0,8,0,2,6,-215.0,False
3,123,1,0,69,227.0,8.070645758539538,12,2,0,6,0,0,6,-227.0,False
3,124,1,0,68,242.0,8.20186154558636,15,2,0,7,0,0,8,-242.0,False
3,125,1,0,65,258.0,8.261994115014206,16,2,0,8,0,0,8,-258.0,False
3,126,1,0,66,274.0,8.214307486322252,17,2,0,8,0,0,9,-274.0,False
3,127,1,0,65,292.0,8.060773518962954,18,2,0,8,1,0,9,-292.0,False
3,128,1,0,64,308.0,8.1583109374956,17,2,0,8,0,0,9,-308.0,False
3,129,1,0,62,326.0,7.939105587314435,18,2,0,8,0,0,10,-326.0,False
3,130,1,0,61,344.0,7.800082068638277,18,2,0,8,0,0,10,-344.0,False
3,131,1,0,60,363.0,7.609179566298455,19,2,0,8,0,0,11,-363.0,False
3,132,1,0,59,382.0,7.43035046925165,19,2,0,8,0,0,11,-382.0,False
3,133,1,0,59,402.0,7.175397127156004,21,2,0,8,1,0,12,-402.0,False
3,134,1,0,59,422.0,6.956271761394545,21,2,0,8,0,0,13,-422.0,False
3,135,1,0,59,443.0,7.026140620716875,21,2,0,8,0,0,13,-443.0,False
3,136,1,0,60,466.0,6.900526404177253,24,2,0,8,1,0,15,-466.0,False
4,137,0,1,60,489.0,6.83775466784276,23,3,1,8,0,0,15,0.0,False
4,138,0,1,60,512.0,6.525139369086588,23,3,1,8,0,0,15,0.0,False
4,139,0,1,66,537.0,5.700626553603114,31,3,1,10,2,2,17,0.0,False
4,140,0,1,64,301.0,5.443911733391381,18,0,2,4,1,0,13,-301.0,False
4,141,0,1,64,116.0,5.634873492422599,11,0,2,0,1,0,10,-116.0,False
4,142,0,1,66,62.0,5.530997026606427,12,0,2,0,3,1,8,-62.0,False
4,143,0,1,65,35.0,5.902919767770878,6,0,2,0,2,1,3,-35.0,False
4,144,0,1,65,27.0,6.383565820893538,8,0,2,0,3,2,3,-27.0,False
4,145,0,1,67,30.0,6.796786338084244,8,0,2,0,4,2,2,-30.0,False
4,146,0,1,66,41.0,7.115935244010454,8,0,2,2,3,2,1,-41.0,False
4,147,0,1,66,51.0,7.6651676885992615,8,0,2,1,3,2,2,-51.0,False
4,148,0,1,67,61.0,7.95412010459526,10,0,2,0,4,2,4,-61.0,False
4,149,0,1,66,73.0,8.304290575330166,9,0,2,0,4,2,3,-73.0,False
4,150,0,1,66,86.0,8.366720246257506,11,0,2,0,5,2,4,-86.0,False
4,151,0,1,66,100.0,8.608076380244398,11,0,2,0,4,2,5,-100.0,False
4,152,0,1,66,104.0,8.80866880210786,11,0,2,0,4,2,5,-104.0,False
4,153,0,1,65,117.0,9.13324256149218,11,0,2,0,4,2,5,-117.0,False
4,154,0,1,65,127.0,9.418310670098181,11,0,2,0,5,2,4,-127.0,False
4,155,0,1,65,123.0,9.615599564804292,9,0,2,0,5,2,2,-123.0,False
4,156,0,1,71,127.0,8.853472635419964,14,0,2,2,6,4,2,-127.0,False
4,157,0,1,70,137.0,8.897396481326142,8,0,2,0,5,2,1,-137.0,False
4,158,0,1,70,149.0,8.981084480960932,10,0,2,0,5,4,1,-149.0,False
4,159,0,1,70,146.0,9.101891647610257,12,0,2,0,6,4,2,-146.0,False
4,160,0,1,67,160.0,9.170903524876072,13,0,2,0,6,4,3,-160.0,False
4,161,0,1,72,174.0,8.72679075105371,18,0,2,2,7,6,3,-174.0,False
4,162,0,1,71,188.0,8.98914208663615,13,0,2,0,6,4,3,-188.0,False
4,163,0,1,71,203.0,8.966353666544984,15,0,2,0,7,4,4,-203.0,False
4,164,0,1,76,218.0,8.433531885181955,19,0,2,2,8,6,3,-218.0,False
4,165,0,1,76,220.0,8.65222498505725,12,0,2,0,7,4,1,-220.0,False
4,166,0,1,74,210.0,8.752293609336597,13,0,2,0,8,4,1,-210.0,False
4,167,0,1,71,200.0,8.592667682017046,14,0,2,0,10,4,0,-200.0,False
4,168,0,1,70,213.0,8.82345137391806,13,0,2,0,9,4,0,-213.0,False
4,169,0,1,70,227.0,8.947799403735926,14,0,2,0,10,4,0,-227.0,False
4,170,0,1,70,241.0,8.81689380064943,16,0,2,0,11,4,1,-241.0,False
4,171,0,1,69,256.0,8.954128261683234,15,0,2,0,11,4,0,-256.0,False
4,172,0,1,67,272.0,8.8735584707539,16,0,2,0,12,4,0,-272.0,False
4,173,0,1,72,288.0,8.073580465485826,22,0,2,2,13,6,1,-288.0,False
4,174,0,1,71,305.0,8.182412049648812,17,0,2,0,13,4,0,-305.0,False
4,175,0,1,70,322.0,8.363903267769432,17,0,2,0,13,4,0,-322.0,False
4,176,0,1,70,341.0,8.241004669951216,20,0,2,0,14,5,1,-341.0,False
4,177,0,1,69,360.0,8.194928630831905,19,0,2,0,14,5,0,-360.0,False
4,178,0,1,68,380.0,8.022705809676202,20,0,2,0,14,6,0,-380.0,False
4,179,0,1,69,401.0,7.614588111186243,23,0,2,0,16,6,1,-401.0,False
4,180,0,1,67,424.0,7.219634487308791,23,0,2,0,16,7,0,-424.0,False
4,181,0,1,65,449.0,6.746019534683767,25,0,2,0,17,8,0,-449.0,False
5,182,1,0,64,475.0,6.4853352651823215,26,1,3,0,18,8,0,0.0,False
5,183,1,0,64,503.0,6.405664901936679,28,1,3,0,19,9,0,0.0,False
5,184,1,0,62,532.0,5.908238403410622,30,1,3,0,20,10,0,0.0,False
5,185,1,0,62,295.0,5.942763116220841,22,2,0,0,15,6,1,-295.0,False
5,186,1,0,62,188.0,6.540636550665046,14,2,0,0,12,2,0,-188.0,False
5,187,1,0,62,111.0,7.07908483649446,9,2,0,0,9,0,0,-111.0,False
5,188,1,0,61,64.0,7.280438884397999,7,2,0,0,7,0,0,-64.0,False
5,189,1,0,59,31.0,7.3476361576244935,4,2,0,0,4,0,0,-31.0,False
5,190,1,0,63,12.0,7.148333871102192,7,2,0,2,3,2,0,-12.0,False
5,191,1,0,63,12.0,7.19204244604179,3,2,0,0,3,0,0,-12.0,False
5,192,1,0,63,14.0,7.628798950729582,3,2,0,0,2,0,1,-14.0,False
5,193,1,0,64,15.0,7.824997745643458,5,2,0,1,2,0,2,-15.0,False
5,194,1,0,65,22.0,8.2959178293751,7,2,0,2,4,0,1,-22.0,False
5,195,1,0,65,30.0,8.667890637477422,7,2,0,2,4,0,1,-30.0,False
5,196,1,0,65,38.0,9.014329080090716,7,2,0,2,4,0,1,-38.0,False
5,197,1,0,66,48.0,9.187992969836312,10,2,0,2,6,0,2,-48.0,False
5,198,1,0,66,59.0,9.451711546396359,10,2,0,2,6,0,2,-59.0,False
5,199,1,0,66,70.0,9.761668295788656,10,2,0,2,6,0,2,-70.0,False
5,200,1,0,67,83.0,9.779799564368254,13,2,0,2,7,0,4,-83.0,False
5,201,1,0,68,96.0,9.689681471782691,13,2,0,2,8,0,3,-96.0,False
5,202,1,0,68,109.0,9.616162410063813,12,2,0,2,7,0,3,-109.0,False
5,203,1,0,66,122.0,9.62310430705358,12,2,0,2,7,0,3,-122.0,False
5,204,1,0,63,135.0,9.35355297587488,12,2,0,2,7,0,3,-135.0,False
5,205,1,0,62,149.0,9.355535731837493,13,2,0,2,7,0,4,-149.0,False
5,206,1,0,61,156.0,9.11830515070751,12,2,0,2,6,0,4,-156.0,False
5,207,1,0,67,129.0,8.39178430375104,17,2,0,4,5,2,6,-129.0,False
5,208,1,0,65,121.0,8.308853621747083,10,2,0,2,3,0,5,-121.0,False
5,209,1,0,65,114.0,8.42567299828004,10,2,0,2,2,0,6,-114.0,False
5,210,1,0,66,110.0,8.372455527817948,13,2,0,4,1,0,8,-110.0,False
5,211,1,0,63,106.0,8.416017410586763,12,2,0,4,1,0,7,-106.0,False
5,212,1,0,63,117.0,8.584795165182037,12,2,0,4,0,0,8,-117.0,False
5,213,1,0,61,130.0,8.248549138541375,15,2,0,4,1,0,10,-130.0,False
5,214,1,0,61,143.0,8.419576174229986,13,2,0,4,0,0,9,-143.0,False
5,215,1,0,60,156.0,8.5492491910422,13,2,0,4,0,0,9,-156.0,False
5,216,1,0,61,171.0,8.233852813841805,17,2,0,4,1,0,12,-171.0,False
5,217,1,0,59,187.0,8.188131312069702,15,2,0,4,0,0,11,-187.0,False
5,218,1,0,57,203.0,7.996346798942486,15,2,0,4,0,0,11,-203.0,False
5,219,1,0,56,220.0,7.631800221412564,17,2,0,4,2,0,11,-220.0,False
5,220,1,0,56,233.0,7.623533680444664,16,2,0,4,1,0,11,-233.0,False
5,221,1,0,54,248.0,7.43298569649685,17,2,0,4,1,0,12,-248.0,False
5,222,1,0,56,264.0,7.139254491477707,19,2,0,4,1,0,14,-264.0,False
5,223,1,0,56,282.0,7.301090893955911,18,2,0,4,0,0,14,-282.0,False
5,224,1,0,57,300.0,6.378087357488855,22,2,0,6,0,2,14,-300.0,False
5,225,1,0,58,319.0,6.4522490447435334,20,2,0,4,1,0,15,-319.0,False
5,226,1,0,57,338.0,6.494121094772021,19,2,0,4,0,0,15,-338.0,False
6,227,0,1,57,359.0,6.672552528461087,21,3,1,5,0,0,16,0.0,False
6,228,0,1,56,380.0,6.6380710153525015,21,3,1,5,0,0,16,0.0,False
6,229,0,1,57,402.0,6.584145593626319,23,3,1,6,0,0,17,0.0,False
6,230,0,1,58,188.0,6.761666230296061,17,0,2,2,2,0,13,-188.0,False
6,231,0,1,58,105.0,6.993768649388281,11,0,2,0,1,0,10,-105.0,False
6,232,0,1,58,46.0,7.329071032890877,8,0,2,0,1,0,7,-46.0,False
6,233,0,1,58,14.0,7.544711473358467,5,0,2,0,1,0,4,-14.0,False
6,234,0,1,58,10.0,7.986719305020275,3,0,2,0,1,0,2,-10.0,False
6,235,0,1,57,10.0,8.553741098986066,3,0,2,0,2,0,1,-10.0,False
6,236,0,1,58,9.0,9.232334871116539,3,0,2,0,3,0,0,-9.0,False
6,237,0,1,58,11.0,9.63216406358438,3,0,2,0,2,0,1,-11.0,False
6,238,0,1,58,13.0,10.13462517968318,2,0,2,0,2,0,0,-13.0,False
6,239,0,1,57,15.0,10.323754162849223,2,0,2,0,2,0,0,-15.0,False
6,240,0,1,56,18.0,10.329131193113483,2,0,2,0,2,0,0,-18.0,False
6,241,0,1,60,21.0,9.33519331589931,7,0,2,2,3,2,0,-21.0,False
6,242,0,1,61,26.0,9.189778338411081,5,0,2,0,3,0,2,-26.0,False
6,243,0,1,59,32.0,9.178553141909102,5,0,2,0,3,0,2,-32.0,False
6,244,0,1,64,33.0,8.722775117303971,8,0,2,2,4,2,0,-33.0,False
6,245,0,1,65,40.0,8.982034548848016,7,0,2,0,4,2,1,-40.0,False
6,246,0,1,65,47.0,9.266226063205307,6,0,2,0,4,2,0,-47.0,False
6,247,0,1,70,54.0,8.855675040427458,11,0,2,2,5,4,0,-54.0,False
6,248,0,1,71,62.0,9.083267464574815,8,0,2,0,4,2,2,-62.0,False
6,249,0,1,68,71.0,9.39343996733774,8,0,2,0,5,2,1,-71.0,False
6,250,0,1,67,80.0,9.574120333321758,9,0,2,0,6,2,1,-80.0,False
6,251,0,1,67,91.0,9.603101861515599,11,0,2,0,7,2,2,-91.0,False
6,252,0,1,66,89.0,9.934059851693013,10,0,2,0,7,2,1,-89.0,False
6,253,0,1,67,93.0,9.974742542449253,10,0,2,0,8,2,0,-93.0,False
