decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue,reward,done
1,2,1,0,6,0.0,1.789690213444798,0,2,3,0,0,0,0,0.0,False
1,3,1,0,6,0.0,3.756390419423891,0,2,3,0,0,0,0,0.0,False
1,4,1,0,12,0.0,2.961484862384775,6,2,3,2,1,2,1,0.0,False
1,5,1,0,12,0.0,4.797696436644764,0,2,0,0,0,0,0,-0.0,False
1,6,1,0,12,0.0,6.735967414591385,0,2,0,0,0,0,0,-0.0,False
1,7,1,0,18,0.0,5.7638837567543515,6,2,0,2,1,2,1,-0.0,False
1,8,1,0,18,0.0,7.291986458535685,0,2,0,0,0,0,0,-0.0,False
1,9,1,0,18,0.0,8.642236585430558,0,2,0,0,0,0,0,-0.0,False
1,10,1,0,20,0.0,8.761151940986249,2,2,0,0,1,0,1,-0.0,False
1,11,1,0,20,0.0,9.998061604781238,0,2,0,0,0,0,0,-0.0,False
1,12,1,0,20,0.0,10.886164256273853,0,2,0,0,0,0,0,-0.0,False
1,13,1,0,21,0.0,11.109217396344624,1,2,0,0,1,0,0,-0.0,False
1,14,1,0,21,0.0,11.632807712137605,0,2,0,0,0,0,0,-0.0,False
1,15,1,0,21,0.0,11.814542439372556,0,2,0,0,0,0,0,-0.0,False
1,16,1,0,22,0.0,11.646360770399339,1,2,0,0,0,0,1,-0.0,False
1,17,1,0,22,0.0,11.514458344386567,0,2,0,0,0,0,0,-0.0,False
1,18,1,0,22,0.0,11.655727047202772,0,2,0,0,0,0,0,-0.0,False
1,19,1,0,27,0.0,9.67155502641555,5,2,0,2,1,2,0,-0.0,False
1,20,1,0,27,0.0,9.897384381080863,0,2,0,0,0,0,0,-0.0,False
1,21,1,0,27,1.0,9.816961040036302,1,2,0,1,0,0,0,-1.0,False
1,22,1,0,27,3.0,9.772779968348626,2,2,0,2,0,0,0,-3.0,False
1,23,1,0,27,5.0,9.57329481526881,2,2,0,2,0,0,0,-5.0,False
1,24,1,0,29,8.0,8.957858925078082,5,2,0,3,1,0,1,-8.0,False
1,25,1,0,29,11.0,8.546116871790545,3,2,0,3,0,0,0,-11.0,False
1,26,1,0,29,15.0,8.463555456841693,4,2,0,4,0,0,0,-15.0,False
1,27,1,0,29,20.0,8.571164403875823,5,2,0,5,0,0,0,-20.0,False
1,28,1,0,30,25.0,8.26643619587794,6,2,0,5,1,0,0,-25.0,False
1,29,1,0,30,32.0,8.647406437262756,7,2,0,6,0,0,1,-32.0,False
1,30,1,0,30,39.0,8.738862953846882,7,2,0,6,0,0,1,-39.0,False
1,31,1,0,32,46.0,8.105075649606107,9,2,0,6,1,0,2,-46.0,False
1,32,1,0,32,54.0,8.128107996012229,8,2,0,6,0,0,2,-54.0,False
1,33,1,0,32,62.0,8.307618537528466,8,2,0,6,0,0,2,-62.0,False
1,34,1,0,32,70.0,8.0207071522228,9,2,0,6,1,0,2,-70.0,False
1,35,1,0,32,78.0,8.118102999927846,8,2,0,6,0,0,2,-78.0,False
1,36,1,0,37,86.0,7.065528869370783,13,2,0,8,0,2,3,-86.0,False
1,37,1,0,37,94.0,6.977020407302262,9,2,0,6,1,0,2,-94.0,False
1,38,1,0,37,102.0,7.218719776175059,8,2,0,6,0,0,2,-102.0,False
1,39,1,0,38,110.0,7.197898252625991,9,2,0,6,0,0,3,-110.0,False
1,40,1,0,38,120.0,7.44278394075198,10,2,0,7,0,0,3,-120.0,False
1,41,1,0,39,130.0,7.468689630277909,11,2,0,7,1,0,3,-130.0,False
1,42,1,0,40,142.0,7.645750308856319,13,2,0,8,0,0,5,-142.0,False
1,43,1,0,40,155.0,8.05385838438212,13,2,0,8,0,0,5,-155.0,False
1,44,1,0,40,168.0,8.166495168217732,13,2,0,8,0,0,5,-168.0,False
1,45,1,0,40,181.0,8.278854226185777,13,2,0,8,0,0,5,-181.0,False
1,46,1,0,40,194.0,8.133651828030318,14,2,0,8,0,0,6,-194.0,False
2,47,0,1,41,207.0,7.877851971483163,14,3,1,8,1,0,5,0.0,False
2,48,0,1,41,220.0,7.800857669822004,13,3,1,8,0,0,5,0.0,False
2,49,0,1,40,233.0,7.598001255251664,13,3,1,8,0,0,5,0.0,False
2,50,0,1,40,108.0,7.604232997134301,7,0,2,4,0,0,3,-108.0,False
2,51,0,1,38,10.0,7.550983894612498,2,0,2,0,0,0,2,-10.0,False
2,52,0,1,38,3.0,7.506663203799801,2,0,2,0,2,0,0,-3.0,False
2,53,0,1,44,8.0,6.481120102352104,8,0,2,2,3,2,1,-8.0,False
2,54,0,1,44,13.0,6.711521271212595,5,0,2,1,3,0,1,-13.0,False
2,55,0,1,43,19.0,6.842031963958152,5,0,2,2,3,0,0,-19.0,False
2,56,0,1,43,27.0,7.0197533146992495,7,0,2,2,4,1,0,-27.0,False
2,57,0,1,43,31.0,7.544338614363539,5,0,2,1,3,1,0,-31.0,False
2,58,0,1,43,36.0,8.286758638987738,6,0,2,0,4,2,0,-36.0,False
2,59,0,1,44,45.0,8.695080327697612,8,0,2,0,6,2,0,-45.0,False
2,60,0,1,45,54.0,8.693619832399886,8,0,2,0,5,2,1,-54.0,False
2,61,0,1,45,54.0,8.883838915345974,7,0,2,0,5,2,0,-54.0,False
2,62,0,1,46,63.0,8.90250479087714,9,0,2,0,7,2,0,-63.0,False
2,63,0,1,46,61.0,9.12762643043212,8,0,2,0,6,2,0,-61.0,False
2,64,0,1,46,70.0,9.124310547274353,9,0,2,0,7,2,0,-70.0,False
2,65,0,1,47,79.0,9.156946846946953,10,0,2,0,8,2,0,-79.0,False
2,66,0,1,47,88.0,9.182425863350147,9,0,2,0,7,2,0,-88.0,False
2,67,0,1,47,97.0,9.44631324996282,9,0,2,0,7,2,0,-97.0,False
2,68,0,1,47,107.0,9.301072405769071,10,0,2,0,7,2,1,-107.0,False
2,69,0,1,47,118.0,9.290190690515733,10,0,2,0,8,2,0,-118.0,False
2,70,0,1,51,126.0,8.412278453492405,15,0,2,2,9,4,0,-126.0,False
2,71,0,1,51,136.0,8.274504330137747,11,0,2,0,8,2,1,-136.0,False
2,72,0,1,51,146.0,8.413925514315414,10,0,2,0,8,2,0,-146.0,False
2,73,0,1,49,157.0,8.413396884881069,11,0,2,0,9,2,0,-157.0,False
2,74,0,1,50,169.0,8.395605404177264,13,0,2,0,9,3,1,-169.0,False
2,75,0,1,48,182.0,8.441828327774354,13,0,2,0,9,4,0,-182.0,False
2,76,0,1,49,195.0,8.455016953737884,14,0,2,0,10,4,0,-195.0,False
2,77,0,1,49,208.0,8.31960184378418,14,0,2,0,9,4,1,-208.0,False
2,78,0,1,48,222.0,8.157987616759002,14,0,2,0,10,4,0,-222.0,False
2,79,0,1,48,236.0,8.021069619020663,14,0,2,0,10,4,0,-236.0,False
2,80,0,1,47,251.0,7.755251013295318,15,0,2,0,11,4,0,-251.0,False
2,81,0,1,51,267.0,6.742493200192944,21,0,2,2,13,6,0,-267.0,False
2,82,0,1,52,283.0,6.624946430946953,17,0,2,0,12,4,1,-283.0,False
2,83,0,1,53,300.0,6.492104742864493,18,0,2,0,13,5,0,-300.0,False
2,84,0,1,56,319.0,6.083856078677234,23,0,2,2,16,5,0,-319.0,False
2,85,0,1,55,339.0,6.254303437342842,20,0,2,0,16,4,0,-339.0,False
2,86,0,1,54,360.0,6.346974404620693,21,0,2,0,17,4,0,-360.0,False
2,87,0,1,58,382.0,5.706380013088052,27,0,2,2,19,6,0,-382.0,False
2,88,0,1,57,405.0,5.79295274053108,23,0,2,0,18,5,0,-405.0,False
2,89,0,1,56,428.0,5.90285882070699,23,0,2,0,18,5,0,-428.0,False
2,90,0,1,58,453.0,6.014307748002951,27,0,2,0,20,6,1,-453.0,False
2,91,0,1,58,479.0,6.12225082124724,26,0,2,0,20,6,0,-479.0,False
3,92,1,0,57,505.0,6.122938956993756,26,1,3,0,20,6,0,0.0,False
3,93,1,0,58,531.0,5.979664976444733,27,1,3,0,21,6,0,0.0,False
3,94,1,0,58,557.0,6.12088454538762,26,1,3,0,20,6,0,0.0,False
3,95,1,0,58,296.0,6.440422284609025,19,2,0,0,17,2,0,-296.0,False
3,96,1,0,58,196.0,6.8166768542398435,15,2,0,0,14,0,1,-196.0,False
3,97,1,0,59,120.0,6.952989092654251,12,2,0,0,10,0,2,-120.0,False
3,98,1,0,59,63.0,7.263849763923399,7,2,0,0,6,0,1,-63.0,False
3,99,1,0,60,34.0,7.444873962514068,6,2,0,0,4,0,2,-34.0,False
3,100,1,0,60,16.0,7.653165408455802,3,2,0,0,1,0,2,-16.0,False
3,101,1,0,59,16.0,7.740844659514429,4,2,0,1,1,0,2,-16.0,False
3,102,1,0,59,22.0,7.935021469206311,5,2,0,2,1,0,2,-22.0,False
3,103,1,0,59,31.0,7.860875410129706,8,2,0,3,2,0,3,-31.0,False
3,104,1,0,63,41.0,7.11537329254307,15,2,0,5,4,2,4,-41.0,False
3,105,1,0,63,55.0,7.2822221394704885,11,2,0,4,3,0,4,-55.0,False
3,106,1,0,63,70.0,7.347558469759322,12,2,0,4,4,0,4,-70.0,False
3,107,1,0,64,81.0,7.381668683624574,15,2,0,5,5,0,5,-81.0,False
3,108,1,0,65,97.0,7.540132486222291,16,2,0,6,6,0,4,-97.0,False
3,109,1,0,65,115.0,7.738305879257124,17,2,0,6,6,0,5,-115.0,False
3,110,1,0,66,119.0,7.924062094741595,18,2,0,6,6,0,6,-119.0,False
3,111,1,0,67,126.0,8.178988728732719,18,2,0,6,7,0,5,-126.0,False
3,112,1,0,67,133.0,8.504218821857396,16,2,0,6,5,0,5,-133.0,False
3,113,1,0,67,139.0,8.457539917808248,16,2,0,6,4,0,6,-139.0,False
3,114,1,0,67,145.0,8.491668292233813,15,2,0,6,4,0,5,-145.0,False
3,115,1,0,62,150.0,8.532051805611575,13,2,0,6,2,0,5,-150.0,False
