demand_scenario,demand_multiplier,decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,departed_cumulative,arrived_cumulative,reward,done
low,0.5,1,2,0,0,6,0.0,2.144,0,3,3,0,0,0.0,False
low,0.5,1,3,0,0,6,0.0,4.067,0,3,3,0,0,0.0,False
low,0.5,1,4,0,0,12,0.0,3.092,6,3,3,6,0,0.0,False
low,0.5,1,5,0,0,12,0.0,4.948,0,0,0,6,0,-0.0,False
low,0.5,1,6,0,0,12,0.0,6.736,0,0,0,6,0,-0.0,False
low,0.5,1,7,0,0,18,0.0,5.747,6,0,0,12,0,-0.0,False
low,0.5,1,8,0,0,18,0.0,7.579,0,0,0,12,0,-0.0,False
low,0.5,1,9,0,0,18,0.0,8.995,0,0,0,12,0,-0.0,False
low,0.5,1,10,0,0,18,0.0,10.284,0,0,0,12,0,-0.0,False
low,0.5,1,11,0,0,18,0.0,11.141,0,0,0,12,0,-0.0,False
low,0.5,1,12,0,0,18,0.0,11.661,0,0,0,12,0,-0.0,False
low,0.5,1,13,0,0,19,0.0,11.423,1,0,0,13,0,-0.0,False
low,0.5,1,14,0,0,19,0.0,11.989,0,0,0,13,0,-0.0,False
low,0.5,1,15,0,0,19,0.0,12.219,0,0,0,13,0,-0.0,False
low,0.5,1,16,0,0,20,0.0,11.661,1,0,0,14,0,-0.0,False
low,0.5,1,17,0,0,20,0.0,11.762,0,0,0,14,0,-0.0,False
low,0.5,1,18,0,0,20,0.0,12.201,0,0,0,14,0,-0.0,False
low,0.5,1,19,0,0,20,0.0,12.295,0,0,0,14,0,-0.0,False
low,0.5,1,20,0,0,20,0.0,12.583,0,0,0,14,0,-0.0,False
low,0.5,1,21,0,0,20,0.0,12.095,0,0,0,14,0,-0.0,False
low,0.5,1,22,0,0,20,0.0,11.606,0,0,0,14,0,-0.0,False
low,0.5,1,23,0,0,20,0.0,11.663,0,0,0,14,0,-0.0,False
low,0.5,1,24,0,0,21,0.0,10.864,1,0,0,15,0,-0.0,False
low,0.5,1,25,0,0,21,0.0,10.368,0,0,0,15,0,-0.0,False
low,0.5,1,26,0,0,21,0.0,10.137,0,0,0,15,0,-0.0,False
low,0.5,1,27,0,0,21,1.0,9.905,1,0,0,15,0,-1.0,False
low,0.5,1,28,0,0,21,3.0,9.934,2,0,0,15,0,-3.0,False
low,0.5,1,29,0,0,21,5.0,9.97,2,0,0,15,0,-5.0,False
low,0.5,1,30,0,0,21,7.0,10.109,2,0,0,15,0,-7.0,False
low,0.5,1,31,0,0,22,10.0,9.289,4,0,0,16,0,-10.0,False
low,0.5,1,32,0,0,22,13.0,8.871,3,0,0,16,0,-13.0,False
low,0.5,1,33,0,0,22,17.0,8.631,4,0,0,16,0,-17.0,False
low,0.5,1,34,0,0,20,21.0,8.283,4,0,0,16,2,-21.0,False
low,0.5,1,35,0,0,20,27.0,8.488,6,0,0,16,2,-27.0,False
low,0.5,1,36,0,0,24,33.0,6.463,11,0,0,21,3,-33.0,False
