distance,decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,reward,done
100,1,2,0,0,6,0.0,2.144,0,3,3,0.0,False
100,1,3,0,0,6,0.0,4.067,0,3,3,0.0,False
100,1,4,0,0,12,0.0,3.092,6,3,3,0.0,False
100,1,5,0,0,12,0.0,4.948,0,0,0,-0.0,False
100,1,6,0,0,12,0.0,6.736,0,0,0,-0.0,False
100,1,7,0,0,18,0.0,5.747,6,0,0,-0.0,False
100,1,8,0,0,18,0.0,7.579,0,0,0,-0.0,False
100,1,9,0,0,18,0.0,8.995,0,0,0,-0.0,False
100,1,10,0,0,20,0.0,9.256,2,0,0,-0.0,False
100,1,11,0,0,20,0.0,10.226,0,0,0,-0.0,False
100,1,12,0,0,20,0.0,10.873,0,0,0,-0.0,False
100,1,13,0,0,21,0.0,10.844,1,0,0,-0.0,False
100,1,14,0,0,21,0.0,11.596,0,0,0,-0.0,False
100,1,15,0,0,21,0.0,12.1,0,0,0,-0.0,False
100,1,16,0,0,22,0.0,11.666,1,0,0,-0.0,False
100,1,17,0,0,22,0.0,11.888,0,0,0,-0.0,False
100,1,18,0,0,22,0.0,12.157,0,0,0,-0.0,False
100,1,19,0,0,27,0.0,10.04,5,0,0,-0.0,False
100,1,20,0,0,27,0.0,10.646,0,0,0,-0.0,False
100,1,21,0,0,27,0.0,10.585,0,0,0,-0.0,False
100,1,22,0,0,27,0.0,10.647,0,0,0,-0.0,False
100,1,23,0,0,27,0.0,10.934,0,0,0,-0.0,False
100,1,24,0,0,29,0.0,10.484,2,0,0,-0.0,False
100,1,25,0,0,29,0.0,10.359,0,0,0,-0.0,False
100,1,26,0,0,29,0.0,10.489,0,0,0,-0.0,False
100,1,27,0,0,29,0.0,10.398,0,0,0,-0.0,False
100,1,28,0,0,30,1.0,10.097,2,0,0,-1.0,False
100,1,29,0,0,30,3.0,10.031,2,0,0,-3.0,False
100,1,30,0,0,30,5.0,9.935,2,0,0,-5.0,False
100,1,31,0,0,32,7.0,8.977,4,0,0,-7.0,False
100,1,32,0,0,32,10.0,8.71,3,0,0,-10.0,False
100,1,33,0,0,32,15.0,8.342,5,0,0,-15.0,False
100,1,34,0,0,31,20.0,7.542,6,0,0,-20.0,False
100,1,35,0,0,31,28.0,7.473,8,0,0,-28.0,False
100,1,36,0,0,35,36.0,5.949,13,0,0,-36.0,False
100,1,37,0,0,35,47.0,5.801,12,0,0,-47.0,False
100,1,38,0,0,35,59.0,6.154,12,0,0,-59.0,False
100,1,39,0,0,36,71.0,6.298,13,0,0,-71.0,False
100,1,40,0,0,36,83.0,6.842,12,0,0,-83.0,False
100,1,41,0,0,37,95.0,6.83,13,0,0,-95.0,False
100,1,42,0,0,38,108.0,6.736,14,0,0,-108.0,False
100,1,43,0,0,38,121.0,6.934,13,0,0,-121.0,False
100,1,44,0,0,38,135.0,6.923,14,0,0,-135.0,False
100,1,45,0,0,38,149.0,7.121,14,0,0,-149.0,False
100,1,46,0,0,39,164.0,6.993,16,0,0,-164.0,False
100,2,47,0,1,39,179.0,6.587,16,1,1,0.0,False
100,2,48,0,1,39,194.0,6.737,15,1,1,0.0,False
100,2,49,0,1,39,210.0,6.597,16,1,1,0.0,False
100,2,50,0,1,39,157.0,6.69,12,0,2,-157.0,False
100,2,51,0,1,39,137.0,6.974,10,0,2,-137.0,False
100,2,52,0,1,37,138.0,7.061,9,0,2,-138.0,False
100,2,53,0,1,42,147.0,6.094,15,0,2,-147.0,False
100,2,54,0,1,41,156.0,6.273,9,0,2,-156.0,False
100,2,55,0,1,41,166.0,6.498,10,0,2,-166.0,False
100,2,56,0,1,42,176.0,6.68,11,0,2,-176.0,False
100,2,57,0,1,42,186.0,7.001,10,0,2,-186.0,False
100,2,58,0,1,41,199.0,7.258,13,0,2,-199.0,False
100,2,59,0,1,42,212.0,7.13,14,0,2,-212.0,False
100,2,60,0,1,43,225.0,6.977,14,0,2,-225.0,False
100,2,61,0,1,43,240.0,6.802,15,0,2,-240.0,False
100,2,62,0,1,43,255.0,6.47,16,0,2,-255.0,False
100,2,63,0,1,42,271.0,6.384,16,0,2,-271.0,False
100,2,64,0,1,42,287.0,6.141,16,0,2,-287.0,False
100,2,65,0,1,43,304.0,5.854,18,0,2,-304.0,False
100,2,66,0,1,43,322.0,5.993,18,0,2,-322.0,False
100,2,67,0,1,42,341.0,5.811,19,0,2,-341.0,False
100,2,68,0,1,43,361.0,5.716,21,0,2,-361.0,False
100,2,69,0,1,42,381.0,5.574,20,0,2,-381.0,False
100,2,70,0,1,47,402.0,4.963,26,0,2,-402.0,False
100,2,71,0,1,48,423.0,5.101,22,0,2,-423.0,False
100,2,72,0,1,47,445.0,5.115,22,0,2,-445.0,False
100,2,73,0,1,47,467.0,5.21,22,0,2,-467.0,False
100,2,74,0,1,47,490.0,5.211,24,0,2,-490.0,False
100,2,75,0,1,47,514.0,5.298,24,0,2,-514.0,False
100,2,76,0,1,46,538.0,5.023,25,0,2,-538.0,False
100,2,77,0,1,47,562.0,4.938,25,0,2,-562.0,False
100,2,78,0,1,47,586.0,4.806,24,0,2,-586.0,False
100,2,79,0,1,47,610.0,4.691,24,0,2,-610.0,False
100,2,80,0,1,46,636.0,4.399,26,0,2,-636.0,False
100,2,81,0,1,50,663.0,3.756,32,0,2,-663.0,False
100,2,82,0,1,51,690.0,3.721,28,0,2,-690.0,False
100,2,83,0,1,51,719.0,3.87,29,0,2,-719.0,False
