step,decision,vehicle_count,total_waiting_time,mean_speed,total_queue,departed_this_step,arrived_this_step,total_departed,total_arrived,action_j1,J1_phase,action_j2,J2_phase,action_j3,J3_phase,action_j4,J4_phase,action_j5,J5_phase
2,0,12,0.0,1.8411278464132919,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3
3,0,12,0.0,3.8833232597292704,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3
4,0,12,0.0,5.644963591056875,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3
5,0,13,0.0,7.052633626013995,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,0,13,0.0,8.914531986135989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0,14,0.0,10.039029784396769,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
8,0,14,0.0,11.117315573588835,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9,0,15,0.0,10.744952723604234,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
10,0,15,0.0,11.28951774923961,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
11,0,15,0.0,11.678986900281702,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
12,0,16,0.0,11.310621391182687,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
13,0,27,0.0,6.966655572651978,11,11,0,15,0,0,0,0,0,0,0,0,0,0,0
14,0,27,0.0,7.879640526009872,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
15,0,27,0.0,8.865114201107868,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
16,0,27,0.0,9.62195308138145,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
17,0,29,0.0,9.720193856703704,2,2,0,17,0,0,0,0,0,0,0,0,0,0,0
18,0,29,0.0,10.805962052219973,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
19,0,29,0.0,11.525068076936961,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
20,0,29,0.0,11.92506730509627,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
21,0,30,0.0,11.679104456404064,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0
22,0,31,0.0,11.793602288280042,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0
23,0,31,0.0,11.908305056184647,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
24,0,31,0.0,12.275770746201255,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
25,0,42,0.0,8.923802329017523,11,11,0,30,0,0,0,0,0,0,0,0,0,0,0
26,0,42,0.0,9.280221354498805,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
27,0,43,0.0,9.424243800083357,1,1,0,31,0,0,0,0,0,0,0,0,0,0,0
28,0,43,1.0,10.020785998370634,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0
29,0,44,2.0,10.291648975456859,2,1,0,32,0,0,0,0,0,0,0,0,0,0,0
30,0,44,3.0,10.950864578740527,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0
31,0,44,5.0,11.283269354678497,2,0,0,32,0,0,0,0,0,0,0,0,0,0,0
32,0,45,7.0,11.092884721513526,3,1,0,33,0,0,0,0,0,0,0,0,0,0,0
33,0,46,9.0,10.80677209660596,3,1,0,34,0,0,0,0,0,0,0,0,0,0,0
34,0,46,12.0,10.721507594487273,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0
35,0,46,16.0,10.720191134968598,4,0,0,34,0,0,0,0,0,0,0,0,0,0,0
36,0,46,21.0,10.657924994278153,5,0,0,34,0,0,0,0,0,0,0,0,0,0,0
37,0,57,26.0,8.58182076676802,16,11,0,45,0,0,0,0,0,0,0,0,0,0,0
38,0,58,32.0,8.844939957212125,7,1,0,46,0,0,0,0,0,0,0,0,0,0,0
39,0,58,38.0,9.301297354462557,6,0,0,46,0,0,0,0,0,0,0,0,0,0,0
40,0,58,44.0,9.436260553848754,6,0,0,46,0,0,0,0,0,0,0,0,0,0,0
41,0,59,51.0,9.63355542137268,8,1,0,47,0,0,0,0,0,0,0,0,0,0,0
42,0,59,58.0,9.882909723422895,7,0,0,47,0,0,0,0,0,0,0,0,0,0,0
43,0,60,65.0,9.950428291439865,8,1,0,48,0,0,0,0,0,0,0,0,0,0,0
44,0,60,73.0,10.04120152909656,8,0,0,48,0,0,0,0,0,0,0,0,0,0,0
45,0,61,82.0,9.870905060690294,10,1,0,49,0,0,0,0,0,0,0,0,0,0,0
46,0,61,91.0,9.840125236284628,9,0,0,49,0,0,0,0,0,0,0,0,0,0,0
47,1,61,101.0,9.781365135500884,10,0,0,49,0,0,1,1,1,0,1,1,1,0,1
48,1,62,112.0,9.582232852229739,12,1,0,50,0,0,1,1,1,0,1,1,1,0,1
49,1,69,123.0,7.601910997363806,22,11,4,61,4,0,1,1,1,0,1,1,1,0,1
50,1,67,135.0,7.755456565478502,12,0,2,61,6,0,0,1,2,0,0,1,2,0,0
51,1,67,147.0,7.978730416159925,12,0,0,61,6,0,0,1,2,0,0,1,2,0,0
52,1,65,161.0,7.9970135085150735,14,0,2,61,8,0,0,1,2,0,0,1,2,0,0
53,1,67,176.0,8.013523263745608,17,2,0,63,8,0,0,1,2,0,0,1,2,0,0
54,1,67,191.0,8.201514500558352,15,0,0,63,8,0,0,1,2,0,0,1,2,0,0
55,1,67,206.0,8.403722856323682,15,0,0,63,8,0,0,1,2,0,0,1,2,0,0
56,1,66,223.0,8.554232770389643,17,0,1,63,9,0,0,1,2,0,0,1,2,0,0
57,1,67,241.0,8.322514472037906,19,1,0,64,9,0,0,1,2,0,0,1,2,0,0
58,1,68,260.0,8.206372456076828,20,1,0,65,9,0,0,1,2,0,0,1,2,0,0
59,1,68,279.0,8.360555695672131,19,0,0,65,9,0,0,1,2,0,0,1,2,0,0
60,1,68,298.0,8.21303218420584,19,0,0,65,9,0,0,1,2,0,0,1,2,0,0
61,1,77,318.0,6.995274132238676,31,11,2,76,11,0,0,1,2,0,0,1,2,0,0
62,1,74,338.0,6.831384059747557,20,0,3,76,14,0,0,1,2,0,0,1,2,0,0
63,1,75,358.0,6.842941827672689,21,1,0,77,14,0,0,1,2,0,0,1,2,0,0
64,1,73,378.0,6.83112181931084,20,0,2,77,16,0,0,1,2,0,0,1,2,0,0
65,1,73,401.0,6.734872677100891,24,1,1,78,17,0,0,1,2,0,0,1,2,0,0
66,1,73,427.0,6.93573468696737,26,0,0,78,17,0,0,1,2,0,0,1,2,0,0
67,1,72,454.0,7.198294388670694,27,0,1,78,18,0,0,1,2,0,0,1,2,0,0
68,1,73,481.0,7.285475214386044,28,1,0,79,18,0,0,1,2,0,0,1,2,0,0
69,1,74,508.0,7.238621735262678,28,1,0,80,18,0,0,1,2,0,0,1,2,0,0
70,1,74,536.0,7.295231059529255,28,0,0,80,18,0,0,1,2,0,0,1,2,0,0
71,1,74,564.0,7.287704527672721,28,0,0,80,18,0,0,1,2,0,0,1,2,0,0
72,1,74,592.0,7.080828058616307,28,0,0,80,18,0,0,1,2,0,0,1,2,0,0
73,1,85,620.0,5.994376524602728,39,11,0,91,18,0,0,1,2,0,0,1,2,0,0
74,1,83,649.0,5.7149132507879825,30,1,3,92,21,0,0,1,2,0,0,1,2,0,0
75,1,83,680.0,5.9165647820402825,31,0,0,92,21,0,0,1,2,0,0,1,2,0,0
76,1,82,712.0,6.1121733419622855,32,0,1,92,22,0,0,1,2,0,0,1,2,0,0
77,1,83,746.0,6.232043059932232,35,1,0,93,22,0,0,1,2,0,0,1,2,0,0
78,1,83,780.0,6.388882142322549,34,0,0,93,22,0,0,1,2,0,0,1,2,0,0
79,1,83,815.0,6.376128121372098,36,1,1,94,23,0,0,1,2,0,0,1,2,0,0
80,1,81,851.0,6.359391059518792,36,0,2,94,25,0,0,1,2,0,0,1,2,0,0
81,1,82,889.0,6.237131309113648,39,1,0,95,25,0,0,1,2,0,0,1,2,0,0
82,1,81,927.0,6.2426378321882074,38,0,1,95,26,0,0,1,2,0,0,1,2,0,0
83,1,81,965.0,6.257689922422844,38,0,0,95,26,0,0,1,2,0,0,1,2,0,0
84,1,82,1004.0,6.050118582768673,40,1,0,96,26,0,0,1,2,0,0,1,2,0,0
85,1,91,1043.0,5.06532276412157,50,11,2,107,28,0,0,1,2,0,0,1,2,0,0
86,1,91,1083.0,5.2293751908652615,40,0,0,107,28,0,0,1,2,0,0,1,2,0,0
87,1,91,1123.0,5.285404852272965,40,0,0,107,28,0,0,1,2,0,0,1,2,0,0
88,1,90,1164.0,5.307822425194801,41,0,1,107,29,0,0,1,2,0,0,1,2,0,0
89,1,92,1206.0,5.384280784641312,44,2,0,109,29,0,0,1,2,0,0,1,2,0,0
90,1,92,1250.0,5.5710260794480915,44,0,0,109,29,0,0,1,2,0,0,1,2,0,0
91,1,92,1295.0,5.734023277151244,45,0,0,109,29,0,0,1,2,0,0,1,2,0,0
92,2,91,1341.0,5.867930882582288,46,0,1,109,30,1,1,0,3,0,1,0,3,1,1
93,2,92,1388.0,5.747638441055794,48,1,0,110,30,1,1,0,3,0,1,0,3,1,1
94,2,93,1435.0,5.737922080483674,48,1,0,111,30,1,1,0,3,0,1,0,3,1,1
95,2,93,939.0,5.901444104006466,37,0,0,111,30,1,2,0,0,0,0,0,0,1,2
96,2,93,640.0,6.210154418740096,25,0,0,111,30,1,2,0,0,0,0,0,0,1,2
97,2,101,468.0,5.567886430434079,32,11,3,122,33,1,2,0,0,0,0,0,0,1,2
98,2,99,325.0,5.935918081881749,17,0,2,122,35,1,2,0,0,0,0,0,0,1,2
99,2,100,213.0,6.564544179323987,15,1,0,123,35,1,2,0,0,0,0,0,0,1,2
100,2,99,128.0,7.332145732925639,11,0,1,123,36,1,2,0,0,0,0,0,0,1,2
101,2,99,70.0,8.058487434390624,11,1,1,124,37,1,2,0,0,0,0,0,0,1,2
102,2,99,57.0,8.822119641023315,9,0,0,124,37,1,2,0,0,0,0,0,0,1,2
103,2,99,35.0,9.44918258474988,7,0,0,124,37,1,2,0,0,0,0,0,0,1,2
104,2,100,33.0,9.892139215859608,8,1,0,125,37,1,2,0,0,0,0,0,0,1,2
105,2,101,22.0,10.142091946885044,6,1,0,126,37,1,2,0,0,0,0,0,0,1,2
106,2,100,24.0,10.555921756334582,4,0,1,126,38,1,2,0,0,0,0,0,0,1,2
107,2,100,28.0,10.938841181095825,4,0,0,126,38,1,2,0,0,0,0,0,0,1,2
108,2,100,32.0,11.049958464615788,4,0,0,126,38,1,2,0,0,0,0,0,0,1,2
109,2,108,36.0,10.040335047767886,15,11,3,137,41,1,2,0,0,0,0,0,0,1,2
110,2,108,40.0,10.151088857151464,5,1,1,138,42,1,2,0,0,0,0,0,0,1,2
111,2,108,44.0,10.418834700147555,4,0,0,138,42,1,2,0,0,0,0,0,0,1,2
112,2,108,48.0,10.72189520774704,4,0,0,138,42,1,2,0,0,0,0,0,0,1,2
113,2,109,56.0,10.758123298833233,9,1,0,139,42,1,2,0,0,0,0,0,0,1,2
114,2,109,64.0,11.045555337331177,8,0,0,139,42,1,2,0,0,0,0,0,0,1,2
115,2,109,72.0,11.130804059338567,9,1,1,140,43,1,2,0,0,0,0,0,0,1,2
116,2,109,80.0,11.304349844097395,8,0,0,140,43,1,2,0,0,0,0,0,0,1,2
