decision,step,action_j1,action_j2,action_j3,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J3_phase,E1_queue_J1_J2,neg_E1_queue_J2_J1,E2_queue_J2_J3,neg_E2_queue_J3_J2,departed_cumulative,arrived_cumulative,reward,done
1,1,0,0,1,8,0.0,0.0,8,0,0,1,0,0,0,0,8,0,0.0,False
1,2,0,0,1,8,0.0,1.955,0,0,0,1,0,0,0,0,8,0,0.0,False
1,3,0,0,1,8,0.0,4.006,0,0,0,1,0,0,0,0,8,0,0.0,False
1,4,0,0,1,8,0.0,5.904,0,0,0,2,0,0,0,0,8,0,-0.0,False
1,5,0,0,1,9,0.0,7.2,1,0,0,2,0,0,0,0,9,0,-0.0,False
1,6,0,0,1,9,0.0,9.095,0,0,0,2,0,0,0,0,9,0,-0.0,False
1,7,0,0,1,10,0.0,9.795,1,0,0,2,0,0,0,0,10,0,-0.0,False
1,8,0,0,1,10,0.0,10.765,0,0,0,2,0,0,0,0,10,0,-0.0,False
1,9,0,0,1,11,0.0,10.22,1,0,0,2,0,0,0,0,11,0,-0.0,False
1,10,0,0,1,11,0.0,10.604,0,0,0,2,0,0,0,0,11,0,-0.0,False
1,11,0,0,1,11,0.0,11.313,0,0,0,2,0,0,0,0,11,0,-0.0,False
1,12,0,0,1,12,0.0,10.575,1,0,0,2,0,0,0,0,12,0,-0.0,False
1,13,0,0,1,19,0.0,7.142,7,0,0,2,0,0,0,0,19,0,-0.0,False
1,14,0,0,1,19,0.0,8.072,0,0,0,2,0,0,0,0,19,0,-0.0,False
1,15,0,0,1,19,0.0,8.971,0,0,0,2,0,0,0,0,19,0,-0.0,False
1,16,0,0,1,19,0.0,9.779,0,0,0,2,0,0,0,0,19,0,-0.0,False
1,17,0,0,1,21,0.0,9.636,2,0,0,2,0,0,0,0,21,0,-0.0,False
1,18,0,0,1,21,0.0,10.558,0,0,0,2,0,0,0,0,21,0,-0.0,False
1,19,0,0,1,21,0.0,11.011,0,0,0,2,0,0,0,0,21,0,-0.0,False
1,20,0,0,1,21,0.0,11.245,0,0,0,2,0,0,0,0,21,0,-0.0,False
1,21,0,0,1,22,0.0,10.738,1,0,0,2,0,0,0,0,22,0,-0.0,False
1,22,0,0,1,23,1.0,10.459,2,0,0,2,0,0,0,0,23,0,-1.0,False
1,23,0,0,1,23,2.0,10.577,1,0,0,2,0,0,0,0,23,0,-2.0,False
1,24,0,0,1,23,3.0,10.864,1,0,0,2,0,0,0,0,23,0,-3.0,False
1,25,0,0,1,30,5.0,8.336,9,0,0,2,0,0,0,0,30,0,-5.0,False
1,26,0,0,1,30,7.0,8.919,2,0,0,2,0,0,0,0,30,0,-7.0,False
1,27,0,0,1,31,10.0,8.992,4,0,0,2,0,0,0,0,31,0,-10.0,False
1,28,0,0,1,31,13.0,9.552,3,0,0,2,0,0,0,0,31,0,-13.0,False
1,29,0,0,1,32,16.0,9.668,4,0,0,2,0,0,0,0,32,0,-16.0,False
1,30,0,0,1,32,19.0,9.882,3,0,0,2,0,0,0,0,32,0,-19.0,False
1,31,0,0,1,32,22.0,10.052,3,0,0,2,0,0,0,0,32,0,-22.0,False
1,32,0,0,1,33,25.0,9.96,4,0,0,2,0,0,0,0,33,0,-25.0,False
1,33,0,0,1,34,29.0,9.661,5,0,0,2,0,0,0,0,34,0,-29.0,False
1,34,0,0,1,31,34.0,9.477,5,0,0,2,0,0,0,0,34,3,-34.0,False
1,35,0,0,1,31,39.0,9.472,5,0,0,2,0,0,0,0,34,3,-39.0,False
1,36,0,0,1,31,45.0,9.466,6,0,0,2,0,0,0,0,34,3,-45.0,False
1,37,0,0,1,38,51.0,7.868,13,0,0,2,0,0,0,0,41,3,-51.0,False
1,38,0,0,1,38,58.0,7.683,8,0,0,2,0,0,0,0,42,4,-58.0,False
1,39,0,0,1,38,65.0,8.195,7,0,0,2,0,0,0,0,42,4,-65.0,False
1,40,0,0,1,38,72.0,8.56,7,0,0,2,0,0,0,0,42,4,-72.0,False
1,41,0,0,1,39,79.0,8.291,8,0,0,2,0,0,0,0,43,4,-79.0,False
1,42,0,0,1,39,87.0,8.486,8,0,0,2,0,0,0,0,43,4,-87.0,False
1,43,0,0,1,40,95.0,8.363,9,0,0,2,0,0,0,0,44,4,-95.0,False
1,44,0,0,1,40,103.0,8.72,8,0,0,2,0,0,0,0,44,4,-103.0,False
1,45,0,0,1,41,113.0,8.581,11,0,0,2,0,0,0,0,45,4,-113.0,False
2,46,0,0,0,40,123.0,8.436,10,1,1,3,0,0,0,0,45,5,0.0,False
2,47,0,0,0,37,134.0,8.045,11,1,1,3,0,0,0,0,45,8,0.0,False
2,48,0,0,0,38,145.0,7.647,12,1,1,3,0,0,0,0,46,8,0.0,False
2,49,0,0,0,45,75.0,6.526,14,0,0,0,0,0,0,0,53,8,-75.0,False
2,50,0,0,0,45,72.0,7.14,7,0,0,0,0,0,0,0,53,8,-72.0,False
2,51,0,0,0,45,79.0,7.727,7,0,0,0,0,0,0,0,53,8,-79.0,False
2,52,0,0,0,45,86.0,8.222,7,0,0,0,0,0,0,0,53,8,-86.0,False
2,53,0,0,0,47,94.0,8.313,10,0,0,0,0,0,0,1,55,8,-94.0,False
2,54,0,0,0,47,102.0,8.613,8,0,0,0,0,0,0,1,55,8,-102.0,False
2,55,0,0,0,47,111.0,8.708,9,0,0,0,0,0,0,1,55,8,-111.0,False
2,56,0,0,0,47,121.0,8.745,10,0,0,0,0,0,0,1,55,8,-121.0,False
2,57,0,0,0,48,133.0,8.531,13,0,0,0,0,0,0,2,56,8,-133.0,False
2,58,0,0,0,48,145.0,8.18,13,0,0,0,0,0,0,2,57,9,-145.0,False
2,59,0,0,0,46,157.0,8.144,12,0,0,0,0,0,0,2,57,11,-157.0,False
2,60,0,0,0,45,170.0,7.918,13,0,0,0,0,0,0,2,57,12,-170.0,False
