episode,decisions,episode_reward,avg_loss,epsilon,final_vehicle_count,final_total_waiting_time,final_mean_speed,final_total_queue
1,81,-30518786.0,0.0,1.0,175,3606.0,3.490039152042908,121
2,81,-10790143.0,1894.0920654296874,0.9826479351373822,147,10085.0,4.075469452419648,93
3,81,-13164946.0,1086.7298866554543,0.9436362600491477,117,475.0,9.974013433275022,20
4,81,-12433688.0,598.1630751998337,0.9061733703791394,170,2731.0,7.7780665050040945,52
5,81,-7837365.0,444.52737841194056,0.870197778476126,126,4363.0,2.348233353593305,100
6,81,-11757408.0,223.2445494098428,0.835650437783177,168,7352.0,2.1895267791942055,135
7,81,-8483069.0,158.7523988323447,0.8024746459248447,83,515.0,9.831305388757055,17
8,81,-20242565.0,188.05765585251797,0.7706159516418419,176,6522.0,3.8690585811877267,101
9,81,-10850194.0,158.7492241565092,0.7400220654204669,148,2717.0,7.088489736548411,46
10,81,-5809839.0,157.4238867112148,0.710642773670089,134,422.0,5.7850450579629635,38
11,81,-7729730.0,140.29203160603842,0.6824298563078359,97,2772.0,3.3858687614371528,61
12,81,-7237457.0,130.45752369915996,0.6553370076152166,162,1961.0,3.419927109930401,97
13,81,-6183461.0,96.48878245883517,0.6293197602367786,120,2197.0,4.296497262838118,61
14,80,-5327819.0,90.64131885766983,0.604637731061594,101,897.0,8.46922056253344,30
15,81,-5528336.0,80.1287654829614,0.5806332734457902,131,217.0,8.937638896053736,14
16,81,-5900543.0,63.02253977457682,0.5575818062833237,92,3568.0,3.999901082666098,56
17,81,-5144006.0,68.88066805144886,0.5354454953177946,103,460.0,6.700607675300571,20
18,81,-5365662.0,60.87937269093078,0.5141880083340395,106,988.0,6.455480364936916,38
19,81,-4248988.0,51.984859384136435,0.4937744555262485,104,7.0,9.427724755574234,5
20,81,-3796486.0,42.65216259897491,0.47417133223350294,108,2166.0,4.784324188081227,47
21,81,-4649034.0,46.9572231033702,0.4553464639487468,111,3172.0,2.678329244717236,72
22,81,-5304932.0,38.094106273886595,0.43726895351093,115,2926.0,3.1296697299277723,65
23,81,-3602695.0,37.29385839862588,0.4199091303936546,96,23.0,8.836197315974646,10
24,81,-4651029.0,42.73839817518069,0.4032385020070898,115,186.0,8.851770382164977,23
25,81,-3246774.0,33.891239960988365,0.3872297069332288,86,930.0,2.9607236060344073,59
26,81,-4128926.0,32.170654932657875,0.37185647001773114,101,279.0,6.0083783746516914,16
27,80,-3023026.0,30.099413454532623,0.3572721953423169,94,516.0,9.129942713650525,24
28,81,-3268529.0,30.8732674445635,0.3430882884674644,83,175.0,5.42485055030278,25
29,81,-2808430.0,29.733368384985276,0.3294674906642309,128,1638.0,8.365126543094803,40
30,81,-3211262.0,30.40344003983486,0.31638744618611153,102,5094.0,2.4426620121222724,80
31,81,-2888480.0,30.696854173401256,0.3038266868222982,85,1311.0,4.907393480003168,50
32,81,-2855828.0,27.259151370437056,0.291764596662012,110,2544.0,4.26812475485422,68
33,81,-3129946.0,29.431948708899228,0.2801813782577146,93,2060.0,2.9206876650692704,69
34,81,-2851488.0,29.563798156785378,0.2690580201316573,104,916.0,4.559106374374908,38
35,81,-2637274.0,29.07173396922924,0.258376265572439,116,719.0,5.113495606452062,49
36,81,-3721009.0,26.954196529623903,0.24811858267035847,100,1258.0,5.416331000928264,50
37,80,-2383981.0,31.171556305885314,0.23838732920698225,89,624.0,7.8902383993917935,31
