step,vehicle_count,total_waiting_time,mean_speed,phase,state
0,4,0.0,0.0,0,GGgrrrGGgrrr
1,4,0.0,0.6628257775679232,0,GGgrrrGGgrrr
2,4,0.0,1.3396166710415855,0,GGgrrrGGgrrr
3,4,0.0,2.037684859335423,0,GGgrrrGGgrrr
4,4,0.0,2.7018711789045486,0,GGgrrrGGgrrr
5,7,0.0,1.9074580833848034,0,GGgrrrGGgrrr
6,7,0.0,2.5127586193382743,0,GGgrrrGGgrrr
7,7,0.0,3.11353109835514,0,GGgrrrGGgrrr
8,7,0.0,3.810651793237775,0,GGgrrrGGgrrr
9,7,0.0,4.342707094869444,0,GGgrrrGGgrrr
10,8,0.0,4.411206495179795,0,GGgrrrGGgrrr
11,8,0.0,5.024360246653668,0,GGgrrrGGgrrr
12,9,0.0,5.001201709256403,0,GGgrrrGGgrrr
13,9,0.0,5.584838516906732,0,GGgrrrGGgrrr
14,9,0.0,6.197308191356973,0,GGgrrrGGgrrr
15,10,0.0,6.1120679724961535,0,GGgrrrGGgrrr
16,10,0.0,6.675063327569516,0,GGgrrrGGgrrr
17,12,0.0,6.071363022178411,0,GGgrrrGGgrrr
18,12,0.0,6.644222968040656,0,GGgrrrGGgrrr
19,13,0.0,6.637055477499964,0,GGgrrrGGgrrr
20,14,0.0,6.750413043620617,0,GGgrrrGGgrrr
21,14,0.0,7.280294518774661,0,GGgrrrGGgrrr
22,14,0.0,7.834628577839604,0,GGgrrrGGgrrr
23,14,0.0,8.452520316129823,0,GGgrrrGGgrrr
24,14,0.0,8.916873352156541,0,GGgrrrGGgrrr
25,15,0.0,8.706038670162116,0,GGgrrrGGgrrr
26,16,0.0,8.539764273738028,0,GGgrrrGGgrrr
27,17,0.0,8.478638958477147,0,GGgrrrGGgrrr
28,18,0.0,8.455893120439521,0,GGgrrrGGgrrr
29,18,0.0,8.795171105728018,0,GGgrrrGGgrrr
30,19,0.0,8.618358272651598,0,GGgrrrGGgrrr
31,19,0.0,8.411451947576017,0,GGgrrrGGgrrr
32,19,0.0,8.10403887380228,0,GGgrrrGGgrrr
33,20,0.0,7.617679090297029,0,GGgrrrGGgrrr
34,20,0.0,7.919595216715552,0,GGgrrrGGgrrr
35,21,2.0,7.670542006558546,0,GGgrrrGGgrrr
36,23,4.0,6.9598045911062965,0,GGgrrrGGgrrr
37,23,6.0,6.957546085989454,0,GGgrrrGGgrrr
38,23,8.0,7.096128986605942,0,GGgrrrGGgrrr
39,23,12.0,7.388727881741697,0,GGgrrrGGgrrr
40,24,16.0,7.406513491680351,0,GGgrrrGGgrrr
41,25,20.0,7.43849973887013,0,GGgrrrGGgrrr
42,26,24.0,7.531550407802187,0,GGgrrrGGgrrr
43,26,28.0,7.659223904022789,0,GGgrrrGGgrrr
44,26,32.0,7.708755531944697,0,GGgrrrGGgrrr
45,26,36.0,7.857334252475716,0,GGgrrrGGgrrr
46,28,41.0,7.513571998501712,0,GGgrrrGGgrrr
47,28,46.0,7.643427061717796,0,GGgrrrGGgrrr
48,28,51.0,7.636741299567559,0,GGgrrrGGgrrr
49,29,56.0,7.333598789418638,0,GGgrrrGGgrrr
50,29,62.0,7.341059002799744,0,GGgrrrGGgrrr
51,31,68.0,7.0437300534051674,0,GGgrrrGGgrrr
52,31,74.0,6.779430809643368,0,GGgrrrGGgrrr
53,31,81.0,7.060616440502814,0,GGgrrrGGgrrr
54,31,88.0,7.333508984750523,0,GGgrrrGGgrrr
55,31,95.0,7.603076236453436,0,GGgrrrGGgrrr
56,33,102.0,7.350465343346812,0,GGgrrrGGgrrr
57,33,109.0,7.516149960406061,0,GGgrrrGGgrrr
58,33,116.0,7.6160773468850635,0,GGgrrrGGgrrr
59,32,123.0,7.442848058223841,0,GGgrrrGGgrrr
60,32,130.0,7.396877375397389,1,yyyrrryyyrrr
61,34,138.0,6.92259050474287,1,yyyrrryyyrrr
62,35,146.0,6.618836432323972,1,yyyrrryyyrrr
63,35,155.0,6.603343746358827,2,rrrrrrrrrrrr
64,36,164.0,6.442870084124093,2,rrrrrrrrrrrr
65,36,96.0,6.555376336036251,3,rrrGGgrrrGGg
66,36,47.0,6.44899447221459,3,rrrGGgrrrGGg
67,36,23.0,6.523091825007729,3,rrrGGgrrrGGg
68,37,5.0,6.3722381571663025,3,rrrGGgrrrGGg
69,38,7.0,6.383748858212499,3,rrrGGgrrrGGg
70,38,9.0,6.618588917345657,3,rrrGGgrrrGGg
71,37,13.0,6.330974995303621,3,rrrGGgrrrGGg
72,37,17.0,6.524692556686845,3,rrrGGgrrrGGg
73,37,21.0,6.55718001535437,3,rrrGGgrrrGGg
74,37,27.0,6.234688510152804,3,rrrGGgrrrGGg
75,37,34.0,6.094785462953764,3,rrrGGgrrrGGg
76,37,35.0,6.359373529974828,3,rrrGGgrrrGGg
77,37,38.0,6.57166145138539,3,rrrGGgrrrGGg
78,37,41.0,6.7384389098510376,3,rrrGGgrrrGGg
79,38,44.0,6.785235845543905,3,rrrGGgrrrGGg
80,39,47.0,6.77771878165205,3,rrrGGgrrrGGg
81,40,52.0,6.669233421171086,3,rrrGGgrrrGGg
82,40,57.0,6.7352211425264255,3,rrrGGgrrrGGg
83,39,63.0,6.620082689109842,3,rrrGGgrrrGGg
84,39,70.0,6.911199870343873,3,rrrGGgrrrGGg
85,40,77.0,6.770486979131981,3,rrrGGgrrrGGg
86,41,85.0,6.974016443252024,3,rrrGGgrrrGGg
87,42,91.0,7.135516124038832,3,rrrGGgrrrGGg
88,42,98.0,7.310863035940302,3,rrrGGgrrrGGg
89,42,105.0,7.515418540368731,3,rrrGGgrrrGGg
90,42,113.0,7.784949048941627,3,rrrGGgrrrGGg
91,44,121.0,7.717727874667282,3,rrrGGgrrrGGg
92,44,129.0,8.032493505067283,3,rrrGGgrrrGGg
93,44,137.0,8.151643624981448,3,rrrGGgrrrGGg
94,45,145.0,7.885295731138671,3,rrrGGgrrrGGg
95,45,153.0,7.857750460834842,3,rrrGGgrrrGGg
96,46,162.0,7.489794172048609,3,rrrGGgrrrGGg
97,46,172.0,7.700691937720341,3,rrrGGgrrrGGg
98,45,182.0,7.724405055063585,3,rrrGGgrrrGGg
99,46,192.0,7.740871292637078,3,rrrGGgrrrGGg
100,46,202.0,7.5554841195479385,3,rrrGGgrrrGGg
101,45,213.0,7.363415277535724,3,rrrGGgrrrGGg
102,46,224.0,7.394537122413899,3,rrrGGgrrrGGg
103,45,235.0,7.357240961439501,3,rrrGGgrrrGGg
104,45,246.0,7.089575156014217,3,rrrGGgrrrGGg
105,45,258.0,7.237089960555001,3,rrrGGgrrrGGg
106,46,270.0,7.253549144837996,3,rrrGGgrrrGGg
107,46,282.0,7.46949210439321,3,rrrGGgrrrGGg
108,45,295.0,7.486116699738785,3,rrrGGgrrrGGg
109,44,308.0,7.206986357140213,3,rrrGGgrrrGGg
110,45,321.0,7.173197925567057,3,rrrGGgrrrGGg
111,45,335.0,6.872927955994869,3,rrrGGgrrrGGg
112,43,349.0,6.703466525462548,3,rrrGGgrrrGGg
113,42,363.0,6.429625851385803,3,rrrGGgrrrGGg
114,42,377.0,6.651614137343963,3,rrrGGgrrrGGg
115,43,391.0,6.605023947172071,3,rrrGGgrrrGGg
116,44,405.0,6.503984623373694,3,rrrGGgrrrGGg
117,42,419.0,6.26534206530711,3,rrrGGgrrrGGg
118,43,433.0,6.1144811842217415,3,rrrGGgrrrGGg
119,43,447.0,6.072363025114642,3,rrrGGgrrrGGg
120,42,462.0,5.920857274191785,3,rrrGGgrrrGGg
121,43,478.0,5.572157863376842,3,rrrGGgrrrGGg
122,42,494.0,5.438095803940399,3,rrrGGgrrrGGg
123,42,510.0,5.4596223663650925,3,rrrGGgrrrGGg
124,44,527.0,5.257790317935024,3,rrrGGgrrrGGg
125,43,544.0,5.212731740704759,3,rrrGGgrrrGGg
126,44,562.0,5.289321002575439,3,rrrGGgrrrGGg
