step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue
0,main_green,main_green,6,0.0,0.0,6,2,2,0,0,0,0
1,main_green,main_green,6,0.0,1.789690213444798,0,2,2,0,0,0,0
2,main_green,main_green,6,0.0,3.756390419423891,0,2,2,0,0,0,0
3,main_green,main_green,6,0.0,5.92296972476955,0,2,2,0,0,0,0
4,main_green,main_green,7,0.0,6.671355706260407,1,2,2,0,0,0,0
5,main_green,main_green,7,0.0,8.580810196774213,0,2,2,0,0,0,0
6,main_green,main_green,8,0.0,9.202939155693068,1,2,2,0,0,0,0
7,main_green,main_green,8,0.0,10.419143116186309,0,2,2,0,0,0,0
8,main_green,main_green,9,0.0,9.884092093126895,1,2,2,0,0,0,0
9,main_green,main_green,9,0.0,10.511177492539856,0,2,2,0,0,0,0
10,main_green,main_green,9,0.0,10.934847417781384,0,2,2,0,0,0,0
11,main_green,main_green,10,0.0,10.446661870689825,1,2,2,0,0,0,0
12,main_green,main_green,15,0.0,7.3056574359121695,5,2,2,0,0,0,0
13,main_green,main_green,15,0.0,8.338465850555735,0,2,2,0,0,0,0
14,main_green,main_green,15,0.0,9.418157730429211,0,2,2,0,0,0,0
15,main_green,main_green,15,0.0,10.108933294090166,0,2,2,0,0,0,0
16,main_green,main_green,17,0.0,9.601012624314357,2,2,2,0,0,0,0
17,main_green,main_green,17,0.0,9.803240230983805,0,2,2,0,0,0,0
18,main_green,main_green,17,0.0,9.697787891285301,0,2,2,0,0,0,0
19,main_green,main_green,17,0.0,9.510015373955067,0,2,2,0,0,0,0
20,main_green,main_green,18,2.0,8.850709683669685,3,2,2,0,0,0,0
21,main_green,main_green,19,5.0,8.503522731003356,4,2,2,0,0,0,0
22,main_green,main_green,19,8.0,8.786041627978282,3,2,2,0,0,0,0
23,main_green,main_green,19,12.0,9.05405295967165,4,2,2,0,0,0,0
24,main_green,main_green,24,16.0,7.449130202862913,9,2,2,0,0,0,0
25,main_green,main_green,24,20.0,8.138159438565916,4,2,2,0,0,0,0
26,main_green,main_green,25,24.0,8.262897341685502,5,2,2,0,0,0,0
27,main_green,main_green,25,28.0,8.777301566158213,4,2,2,0,0,0,0
28,main_green,main_green,26,32.0,8.551356382960515,5,2,2,0,0,0,0
29,main_green,main_green,26,36.0,8.76232343012876,4,2,2,0,0,0,0
30,main_green,main_green,26,40.0,8.437496436047384,4,2,2,0,0,0,0
31,main_green,main_green,27,45.0,8.105681498299017,6,2,2,0,0,0,0
32,main_green,main_green,28,52.0,7.919110230409871,8,2,2,0,0,0,0
33,main_green,main_green,28,60.0,8.184273301024458,8,2,2,0,0,0,0
34,main_green,main_green,28,68.0,8.338823382451656,8,2,2,0,0,0,0
35,main_green,main_green,28,76.0,8.450931789237805,8,2,2,0,0,0,0
36,main_green,main_green,33,84.0,7.265170129252484,13,2,2,0,0,0,0
