step,vehicle_count,total_waiting_time,mean_speed,phase,queue_phase_0,queue_phase_3,green_elapsed,state
0,4,0.0,0.0,0,2,2,0,GGgrrrGGgrrr
1,4,0.0,0.6628257775679232,0,0,0,1,GGgrrrGGgrrr
2,4,0.0,1.3396166710415855,0,0,0,2,GGgrrrGGgrrr
3,4,0.0,2.037684859335423,0,0,0,3,GGgrrrGGgrrr
4,4,0.0,2.7018711789045486,0,0,0,4,GGgrrrGGgrrr
5,7,0.0,1.9074580833848034,0,1,2,5,GGgrrrGGgrrr
6,7,0.0,2.5127586193382743,0,0,0,6,GGgrrrGGgrrr
7,7,0.0,3.11353109835514,0,0,0,7,GGgrrrGGgrrr
8,7,0.0,3.810651793237775,0,0,0,8,GGgrrrGGgrrr
9,7,0.0,4.342707094869444,0,0,0,9,GGgrrrGGgrrr
10,8,0.0,4.411206495179795,0,1,0,10,GGgrrrGGgrrr
11,8,0.0,5.024360246653668,0,0,0,11,GGgrrrGGgrrr
12,9,0.0,5.001201709256403,0,0,1,12,GGgrrrGGgrrr
13,9,0.0,5.584838516906732,0,0,0,13,GGgrrrGGgrrr
14,9,0.0,6.197308191356973,0,0,0,14,GGgrrrGGgrrr
15,10,0.0,6.1120679724961535,0,1,0,15,GGgrrrGGgrrr
16,10,0.0,6.675063327569516,0,0,0,16,GGgrrrGGgrrr
17,12,0.0,6.071363022178411,0,1,1,17,GGgrrrGGgrrr
18,12,0.0,6.644222968040656,0,0,0,18,GGgrrrGGgrrr
19,13,0.0,6.637055477499964,0,0,1,19,GGgrrrGGgrrr
20,14,0.0,6.750413043620617,0,1,0,20,GGgrrrGGgrrr
21,14,0.0,7.280294518774661,0,0,0,21,GGgrrrGGgrrr
22,14,0.0,7.834628577839604,0,0,0,22,GGgrrrGGgrrr
23,14,0.0,8.452520316129823,0,0,0,23,GGgrrrGGgrrr
24,14,0.0,8.916873352156541,0,0,0,24,GGgrrrGGgrrr
25,15,0.0,8.706038670162116,0,1,0,25,GGgrrrGGgrrr
26,16,0.0,8.539764273738028,0,1,0,26,GGgrrrGGgrrr
27,17,0.0,8.478638958477147,0,0,1,27,GGgrrrGGgrrr
28,18,0.0,8.455893120439521,0,0,1,28,GGgrrrGGgrrr
29,18,0.0,8.795171105728018,0,0,0,29,GGgrrrGGgrrr
30,19,0.0,8.618358272651598,0,1,0,30,GGgrrrGGgrrr
31,19,0.0,8.411451947576017,0,0,0,31,GGgrrrGGgrrr
32,19,0.0,8.10403887380228,0,0,0,32,GGgrrrGGgrrr
33,20,0.0,7.617679090297029,0,0,1,33,GGgrrrGGgrrr
34,20,0.0,7.919595216715552,0,0,0,34,GGgrrrGGgrrr
35,21,2.0,7.670542006558546,0,1,2,35,GGgrrrGGgrrr
36,23,4.0,6.9598045911062965,0,1,3,36,GGgrrrGGgrrr
37,23,6.0,6.957546085989454,0,0,2,37,GGgrrrGGgrrr
38,23,8.0,7.096128986605942,0,0,2,38,GGgrrrGGgrrr
