step,vehicle_count,total_waiting_time,mean_speed,phase,state
0,4,0.0,0.0,0,GGgrrrGGgrrr
1,4,0.0,0.6628257775679232,0,GGgrrrGGgrrr
2,4,0.0,1.3396166710415855,0,GGgrrrGGgrrr
3,4,0.0,2.037684859335423,0,GGgrrrGGgrrr
4,4,0.0,2.7018711789045486,0,GGgrrrGGgrrr
5,7,0.0,1.9074580833848034,0,GGgrrrGGgrrr
6,7,0.0,2.5127586193382743,0,GGgrrrGGgrrr
7,7,0.0,3.11353109835514,0,GGgrrrGGgrrr
8,7,0.0,3.810651793237775,0,GGgrrrGGgrrr
9,7,0.0,4.342707094869444,0,GGgrrrGGgrrr
10,8,0.0,4.411206495179795,0,GGgrrrGGgrrr
11,8,0.0,5.024360246653668,0,GGgrrrGGgrrr
12,9,0.0,5.001201709256403,0,GGgrrrGGgrrr
13,9,0.0,5.584838516906732,0,GGgrrrGGgrrr
14,9,0.0,6.197308191356973,0,GGgrrrGGgrrr
15,10,0.0,6.1120679724961535,0,GGgrrrGGgrrr
16,10,0.0,6.675063327569516,0,GGgrrrGGgrrr
17,12,0.0,6.071363022178411,0,GGgrrrGGgrrr
18,12,0.0,6.644222968040656,0,GGgrrrGGgrrr
19,13,0.0,6.637055477499964,0,GGgrrrGGgrrr
20,14,0.0,6.750413043620617,0,GGgrrrGGgrrr
21,14,0.0,7.280294518774661,0,GGgrrrGGgrrr
22,14,0.0,7.834628577839604,0,GGgrrrGGgrrr
23,14,0.0,8.452520316129823,0,GGgrrrGGgrrr
24,14,0.0,8.916873352156541,0,GGgrrrGGgrrr
25,15,0.0,8.706038670162116,0,GGgrrrGGgrrr
26,16,0.0,8.539764273738028,0,GGgrrrGGgrrr
27,17,0.0,8.478638958477147,0,GGgrrrGGgrrr
28,18,0.0,8.455893120439521,0,GGgrrrGGgrrr
29,18,0.0,8.795171105728018,0,GGgrrrGGgrrr
30,19,0.0,8.42274484173345,1,yyyrrryyyrrr
31,19,0.0,7.900419051841132,1,yyyrrryyyrrr
32,19,0.0,7.357405134076098,1,yyyrrryyyrrr
33,20,1.0,6.5917016029728375,2,rrrrrrrrrrrr
34,20,2.0,6.870917894787449,2,rrrrrrrrrrrr
35,21,4.0,6.700609429562056,3,rrrGGgrrrGGg
36,23,6.0,6.166584800598696,3,rrrGGgrrrGGg
37,23,8.0,6.266870450167279,3,rrrGGgrrrGGg
38,23,10.0,6.335749170996257,3,rrrGGgrrrGGg
39,23,12.0,6.511472797909577,3,rrrGGgrrrGGg
40,24,14.0,6.547454880588588,3,rrrGGgrrrGGg
41,25,17.0,6.707204584115799,3,rrrGGgrrrGGg
42,26,20.0,6.831955616125904,3,rrrGGgrrrGGg
43,26,23.0,7.063306648572444,3,rrrGGgrrrGGg
44,26,26.0,7.235377715006586,3,rrrGGgrrrGGg
45,26,29.0,7.3645235951858785,3,rrrGGgrrrGGg
46,28,33.0,7.095023133477596,3,rrrGGgrrrGGg
47,28,37.0,7.208362562780609,3,rrrGGgrrrGGg
48,28,41.0,7.180428203624146,3,rrrGGgrrrGGg
49,29,46.0,6.678434068208996,3,rrrGGgrrrGGg
50,29,51.0,6.569652710934819,3,rrrGGgrrrGGg
51,31,57.0,6.301049553300655,3,rrrGGgrrrGGg
52,32,64.0,6.3591886920057235,3,rrrGGgrrrGGg
53,32,71.0,6.725475973884678,3,rrrGGgrrrGGg
54,32,78.0,7.100661916484384,3,rrrGGgrrrGGg
55,32,85.0,7.42429536168006,3,rrrGGgrrrGGg
56,34,92.0,7.193465577956428,3,rrrGGgrrrGGg
57,34,99.0,7.417016160507245,3,rrrGGgrrrGGg
58,34,107.0,7.700027047497639,3,rrrGGgrrrGGg
59,34,115.0,7.895888192766485,3,rrrGGgrrrGGg
60,34,123.0,7.838122579475722,3,rrrGGgrrrGGg
61,37,131.0,7.140910377889917,3,rrrGGgrrrGGg
62,37,140.0,7.1196283452119165,3,rrrGGgrrrGGg
63,37,150.0,7.262322242498591,3,rrrGGgrrrGGg
64,38,160.0,7.063148552902751,3,rrrGGgrrrGGg
65,38,170.0,7.10645058951692,4,rrryyyrrryyy
66,38,180.0,6.708227700619959,4,rrryyyrrryyy
67,37,191.0,6.541076033165777,4,rrryyyrrryyy
68,38,202.0,6.36244305832079,5,rrrrrrrrrrrr
69,38,213.0,6.073988188143792,5,rrrrrrrrrrrr
70,37,117.0,6.01824853262236,0,GGgrrrGGgrrr
71,38,60.0,6.13734732351516,0,GGgrrrGGgrrr
72,38,29.0,6.41881109996263,0,GGgrrrGGgrrr
73,36,10.0,6.288950483271512,0,GGgrrrGGgrrr
74,36,4.0,6.323162508440324,0,GGgrrrGGgrrr
75,37,5.0,6.469671581822828,0,GGgrrrGGgrrr
76,37,8.0,6.431446904352489,0,GGgrrrGGgrrr
77,37,11.0,6.442555742446192,0,GGgrrrGGgrrr
78,37,15.0,6.616128855191259,0,GGgrrrGGgrrr
79,38,21.0,6.464834671559485,0,GGgrrrGGgrrr
80,39,27.0,6.278825169384752,0,GGgrrrGGgrrr
81,40,35.0,5.970233310709275,0,GGgrrrGGgrrr
82,40,44.0,5.870949959241315,0,GGgrrrGGgrrr
83,40,46.0,5.883180502161185,0,GGgrrrGGgrrr
84,40,51.0,6.107635021143911,0,GGgrrrGGgrrr
85,42,47.0,6.029331514522007,0,GGgrrrGGgrrr
86,42,48.0,5.977092115807003,0,GGgrrrGGgrrr
87,43,52.0,6.133761530774617,0,GGgrrrGGgrrr
88,43,57.0,6.364664468883515,0,GGgrrrGGgrrr
89,43,64.0,6.653328386835967,0,GGgrrrGGgrrr
90,42,71.0,6.277579341634545,0,GGgrrrGGgrrr
91,43,78.0,6.374321421440593,0,GGgrrrGGgrrr
92,43,86.0,6.484782290918295,0,GGgrrrGGgrrr
93,43,94.0,6.583161920057088,0,GGgrrrGGgrrr
94,44,103.0,6.43851626891504,0,GGgrrrGGgrrr
95,45,113.0,6.368642692119486,0,GGgrrrGGgrrr
96,46,123.0,6.319782665149413,0,GGgrrrGGgrrr
97,46,127.0,6.52271338201051,0,GGgrrrGGgrrr
98,46,137.0,6.782777514200114,0,GGgrrrGGgrrr
99,47,147.0,6.865061585519752,0,GGgrrrGGgrrr
100,49,157.0,6.646595649985799,1,yyyrrryyyrrr
101,49,167.0,6.687094202812776,1,yyyrrryyyrrr
102,48,178.0,6.3942085731162335,1,yyyrrryyyrrr
103,48,191.0,6.634133901492775,2,rrrrrrrrrrrr
104,49,204.0,6.707424015896895,2,rrrrrrrrrrrr
105,48,128.0,6.8272919616499825,3,rrrGGgrrrGGg
106,49,89.0,6.880231828764366,3,rrrGGgrrrGGg
107,47,60.0,6.812818959179425,3,rrrGGgrrrGGg
108,46,40.0,6.779905387461957,3,rrrGGgrrrGGg
109,47,30.0,6.494678833604872,3,rrrGGgrrrGGg
110,46,22.0,6.521616153690388,3,rrrGGgrrrGGg
111,47,26.0,6.513991434382125,3,rrrGGgrrrGGg
112,47,21.0,6.720807520963567,3,rrrGGgrrrGGg
113,48,23.0,6.766508897958528,3,rrrGGgrrrGGg
114,48,27.0,6.943796734299912,3,rrrGGgrrrGGg
115,49,30.0,6.937091870617293,3,rrrGGgrrrGGg
116,50,34.0,6.868544766262865,3,rrrGGgrrrGGg
117,48,39.0,6.7374378174618315,3,rrrGGgrrrGGg
118,48,43.0,6.646619788789465,3,rrrGGgrrrGGg
119,48,48.0,6.855037930660477,3,rrrGGgrrrGGg
120,47,53.0,6.996035583525214,3,rrrGGgrrrGGg
121,48,59.0,7.056936067581815,3,rrrGGgrrrGGg
122,48,65.0,6.9879755811382,3,rrrGGgrrrGGg
123,47,71.0,7.12096012590556,3,rrrGGgrrrGGg
124,48,77.0,6.935865329221183,3,rrrGGgrrrGGg
125,47,84.0,7.009462941829778,3,rrrGGgrrrGGg
126,47,91.0,7.233682628838488,3,rrrGGgrrrGGg
127,47,98.0,7.176568059999909,3,rrrGGgrrrGGg
