cycle,distance,seed,best_offset,offset_wt,qmix_wt,gap_pct
60,200,0,35,71.301,116.064,62.782
60,200,1,35,75.489,124.964,65.54
60,200,2,25,77.043,107.761,39.872
60,300,0,30,112.666,133.683,18.654
60,300,1,50,117.074,134.469,14.857
60,300,2,55,123.459,128.416,4.015
60,500,0,0,81.405,268.373,229.676
60,500,1,0,81.406,263.967,224.259
60,500,2,0,80.685,272.175,237.331
90,200,0,45,195.627,197.619,1.018
90,200,1,50,191.908,198.12,3.237
90,200,2,45,189.393,198.076,4.585
90,300,0,45,175.673,180.821,2.931
90,300,1,45,173.423,175.961,1.464
90,300,2,45,171.626,177.705,3.542
90,500,0,70,226.379,335.613,48.253
90,500,1,25,219.812,300.568,36.739
90,500,2,25,228.08,303.145,32.912
120,200,0,55,365.442,893.361,144.461
120,200,1,50,367.3,855.675,132.963
120,200,2,50,362.613,931.09,156.772
120,300,0,65,331.459,419.498,26.561
120,300,1,65,330.057,403.555,22.268
120,300,2,65,327.524,436.075,33.143
120,500,0,65,303.443,510.677,68.294
120,500,1,65,293.817,523.475,78.163
120,500,2,65,297.871,518.599,74.102
