horizon_type,scenario,sim_waiting_time,optimized_offset_waiting_time,qmix_waiting_time,optimized_offset_coordination_gain_percent,qmix_coordination_gain_percent,qmix_gap_vs_optimized_offset_percent,coordination_regime,capacity_regime,main_interpretation
Two-intersection spatial horizon,100 m,986.371,217.763,235.912,77.923,76.083,8.334,Marginal coordination zone,Mild insertion pressure,Distance effect on transferred QMIX generalization
Two-intersection spatial horizon,200 m,321.064,195.628,197.619,39.069,38.449,1.018,Effective coordination zone,Unconstrained,Distance effect on transferred QMIX generalization
Two-intersection spatial horizon,300 m,274.231,175.672,180.821,35.94,34.063,2.931,Effective coordination zone,Unconstrained,Distance effect on transferred QMIX generalization
Two-intersection spatial horizon,500 m,291.246,226.379,335.613,22.272,-15.234,48.253,Outside coordination horizon,Unconstrained,Distance effect on transferred QMIX generalization
Two-intersection spatial horizon,750 m,197.676,197.676,360.508,0.0,-82.373,82.373,Outside coordination horizon,Unconstrained,Distance effect on transferred QMIX generalization
Two-intersection spatial horizon,1000 m,185.13,185.0,294.072,0.07,-58.846,58.958,Outside coordination horizon,Unconstrained,Distance effect on transferred QMIX generalization
Two-intersection demand horizon,low (0.5x),93.003,79.909,146.967,14.079,-58.024,83.918,Outside coordination horizon,Unconstrained,Demand and capacity effect on coordination
Two-intersection demand horizon,medium (1.0x),274.231,175.672,180.821,35.94,34.063,2.931,Effective coordination zone,Unconstrained,Demand and capacity effect on coordination
Two-intersection demand horizon,high (1.5x),1226.653,938.916,985.865,23.457,19.63,5.0,Marginal coordination zone,Capacity-limited,Demand and capacity effect on coordination
Two-intersection demand horizon,saturation (2.0x),1432.412,1261.463,1267.017,11.934,11.547,0.44,Effective coordination zone,Capacity-limited,Demand and capacity effect on coordination
Two-intersection demand horizon,oversaturation (2.5x),2494.985,2231.027,2355.914,10.58,5.574,5.598,Marginal coordination zone,Oversaturated,Demand and capacity effect on coordination
Three-intersection reference scalability horizon,"d12=300 m, d23=300 m",418.791,227.171,237.292,45.756,43.339,4.455,Effective coordination zone,Unconstrained,QMIX scalability from two to three intersections
Three-intersection third-light spatial horizon,d23=100 m,378.779,203.881,571.78,46.174,-50.953,180.448,Outside coordination horizon,Unconstrained,Effect of third-light position on QMIX generalization
Three-intersection third-light spatial horizon,d23=200 m,461.093,216.245,290.146,53.102,37.074,34.175,Outside coordination horizon,Unconstrained,Effect of third-light position on QMIX generalization
Three-intersection third-light spatial horizon,d23=300 m,418.791,227.171,237.292,45.756,43.339,4.455,Effective coordination zone,Unconstrained,Effect of third-light position on QMIX generalization
Three-intersection third-light spatial horizon,d23=500 m,444.502,194.986,203.587,56.134,54.199,4.411,Effective coordination zone,Unconstrained,Effect of third-light position on QMIX generalization
Three-intersection third-light spatial horizon,d23=750 m,300.667,219.268,239.328,27.073,20.401,9.149,Marginal coordination zone,Unconstrained,Effect of third-light position on QMIX generalization
Three-intersection third-light spatial horizon,d23=1000 m,256.17,203.739,403.46,20.467,-57.497,98.028,Outside coordination horizon,Unconstrained,Effect of third-light position on QMIX generalization
