demand_scenario,demand_multiplier,offset,rows,mean_vehicle_count,max_vehicle_count,mean_total_waiting_time,max_total_waiting_time,mean_speed,min_mean_speed,mean_total_queue,max_total_queue,total_departed,total_arrived,final_active,final_buffered,buffered_ratio
low,0.5,0,3600,28.933,42,93.003,491.0,8.311,0.0,6.397,23,1396,1373,23,0,0.0
low,0.5,5,3600,28.929,42,93.249,405.0,8.314,0.0,6.387,21,1396,1375,21,0,0.0
low,0.5,10,3600,29.114,41,96.264,417.0,8.29,0.0,6.518,20,1396,1375,21,0,0.0
low,0.5,15,3600,29.898,42,110.672,451.0,8.104,0.0,7.165,21,1396,1375,21,0,0.0
low,0.5,20,3600,30.316,41,114.621,429.0,8.017,0.0,7.436,22,1396,1375,21,0,0.0
low,0.5,25,3600,29.906,41,104.163,410.0,8.131,0.0,7.053,21,1396,1374,22,0,0.0
low,0.5,30,3600,29.782,41,96.382,428.0,8.158,0.0,6.769,21,1396,1375,21,0,0.0
low,0.5,35,3600,29.547,42,87.913,373.0,8.207,0.0,6.512,20,1396,1376,20,0,0.0
low,0.5,40,3600,29.549,43,84.232,439.0,8.183,0.0,6.464,20,1396,1376,20,0,0.0
low,0.5,45,3600,29.4,42,79.909,426.0,8.217,0.0,6.363,22,1396,1376,20,0,0.0
low,0.5,50,3600,29.556,42,82.035,353.0,8.193,0.0,6.459,20,1396,1376,20,0,0.0
low,0.5,55,3600,29.865,42,89.988,338.0,8.13,0.0,6.746,20,1396,1377,19,0,0.0
low,0.5,60,3600,30.259,42,101.327,425.0,8.046,0.0,7.176,21,1396,1377,19,0,0.0
low,0.5,65,3600,30.531,44,110.183,418.0,7.991,0.0,7.502,22,1396,1377,19,0,0.0
low,0.5,70,3600,31.037,44,124.487,468.0,7.849,0.0,8.015,24,1396,1376,20,0,0.0
low,0.5,75,3600,30.429,43,118.949,516.0,7.978,0.0,7.621,24,1396,1374,22,0,0.0
low,0.5,80,3600,29.556,44,104.554,494.0,8.17,0.0,6.914,22,1396,1374,22,0,0.0
low,0.5,85,3600,29.056,42,94.993,466.0,8.283,0.0,6.482,24,1396,1372,24,0,0.0
low,0.5,90,3600,28.933,42,93.003,491.0,8.311,0.0,6.397,23,1396,1373,23,0,0.0
medium,1.0,0,3600,65.199,84,274.231,1202.0,7.403,0.0,17.474,47,2800,2743,57,0,0.0
medium,1.0,5,3600,65.768,84,280.225,1134.0,7.352,0.0,17.905,45,2800,2745,55,0,0.0
medium,1.0,10,3600,64.376,81,257.076,949.0,7.523,0.0,16.8,43,2800,2747,53,0,0.0
medium,1.0,15,3600,79.111,104,466.856,1158.0,6.201,0.0,28.342,59,2800,2719,81,0,0.0
medium,1.0,20,3600,74.259,98,394.908,1010.0,6.601,0.0,24.732,53,2800,2723,77,0,0.0
medium,1.0,25,3600,67.19,81,282.888,777.0,7.263,0.0,18.862,42,2800,2742,58,0,0.0
medium,1.0,30,3600,62.931,76,206.372,632.0,7.752,0.0,15.048,36,2800,2747,53,0,0.0
medium,1.0,35,3600,62.048,75,188.652,578.0,7.849,0.0,14.166,32,2800,2747,53,0,0.0
medium,1.0,40,3600,61.951,73,181.001,617.0,7.845,0.0,13.845,35,2800,2747,53,0,0.0
medium,1.0,45,3600,61.761,74,175.672,690.0,7.871,0.0,13.616,34,2800,2748,52,0,0.0
medium,1.0,50,3600,61.975,73,175.911,613.0,7.857,0.0,13.778,30,2800,2747,53,0,0.0
medium,1.0,55,3600,62.683,77,191.172,573.0,7.782,0.0,14.584,36,2800,2748,52,0,0.0
