distance,demand_name,demand_multiplier,scenario_label,controller,offset,expected_total_vehicles,mean_total_waiting_time,mean_speed,mean_total_queue,max_total_queue,total_departed,total_arrived,final_active,final_buffered,buffered_ratio,capacity_regime
100,low,0.5,d100_low,Fixed offset,0,1400,87.592,8.093,5.931,21,1406,1389,17,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,5,1400,86.572,8.086,5.907,20,1406,1387,19,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,10,1400,83.662,8.145,5.784,19,1406,1386,20,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,15,1400,82.076,8.096,5.764,18,1406,1381,25,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,20,1400,80.632,8.022,5.87,17,1406,1379,27,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,25,1400,92.353,7.766,6.62,21,1406,1380,26,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,30,1400,100.068,7.549,7.176,21,1406,1381,25,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,35,1400,119.925,7.215,8.245,21,1406,1382,24,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,40,1400,116.835,7.163,8.305,22,1406,1383,23,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,45,1400,116.278,7.153,8.321,23,1406,1384,22,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,50,1400,119.111,7.148,8.411,21,1406,1385,21,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,55,1400,129.078,7.093,8.701,22,1406,1384,22,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,60,1400,112.218,7.427,7.727,21,1406,1384,22,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,65,1400,98.578,7.706,6.913,21,1406,1384,22,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,70,1400,90.533,7.902,6.349,20,1406,1383,23,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,75,1400,83.703,8.073,5.895,21,1406,1384,22,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,80,1400,84.444,8.102,5.873,20,1406,1387,19,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,85,1400,87.903,8.053,5.987,22,1406,1387,19,0,0.0,Unconstrained
100,low,0.5,d100_low,Fixed offset,90,1400,87.592,8.093,5.931,21,1406,1389,17,0,0.0,Unconstrained
100,medium,1.0,d100_medium,Fixed offset,0,2800,986.371,4.321,49.075,102,2720,2616,104,80,0.029,Mild insertion pressure
100,medium,1.0,d100_medium,Fixed offset,5,2800,884.256,4.579,44.978,98,2706,2601,105,94,0.034,Mild insertion pressure
100,medium,1.0,d100_medium,Fixed offset,10,2800,587.965,5.425,32.859,78,2790,2685,105,10,0.004,Unconstrained
100,medium,1.0,d100_medium,Fixed offset,15,2800,231.449,7.217,15.42,35,2800,2748,52,0,0.0,Unconstrained
100,medium,1.0,d100_medium,Fixed offset,20,2800,223.735,7.238,15.231,35,2800,2749,51,0,0.0,Unconstrained
100,medium,1.0,d100_medium,Fixed offset,25,2800,217.763,7.206,15.296,32,2800,2748,52,0,0.0,Unconstrained
100,medium,1.0,d100_medium,Fixed offset,30,2800,228.514,7.051,16.281,35,2800,2749,51,0,0.0,Unconstrained
100,medium,1.0,d100_medium,Fixed offset,35,2800,241.229,6.894,17.378,37,2800,2751,49,0,0.0,Unconstrained
100,medium,1.0,d100_medium,Fixed offset,40,2800,236.152,6.861,17.555,38,2800,2751,49,0,0.0,Unconstrained
