distance,offset,rows,mean_vehicle_count,max_vehicle_count,mean_total_waiting_time,max_total_waiting_time,mean_speed,min_mean_speed,mean_total_queue,max_total_queue,total_departed,total_arrived,final_active,final_buffered
100,0,3600,97.266,137,986.371,4375.0,4.321,0.0,49.075,102,2720,2616,104,80
100,5,3600,91.043,137,884.256,3565.0,4.579,0.0,44.978,98,2706,2601,105,94
100,10,3600,78.731,124,587.965,2203.0,5.425,0.0,32.859,78,2790,2685,105,10
100,15,3600,57.567,73,231.449,828.0,7.217,0.0,15.42,35,2800,2748,52,0
100,20,3600,57.409,71,223.735,734.0,7.238,0.0,15.231,35,2800,2749,51,0
100,25,3600,57.693,72,217.763,676.0,7.206,0.0,15.296,32,2800,2748,52,0
100,30,3600,58.957,71,228.514,727.0,7.051,0.0,16.281,35,2800,2749,51,0
100,35,3600,60.331,72,241.229,715.0,6.894,0.0,17.378,37,2800,2751,49,0
100,40,3600,60.528,72,236.152,771.0,6.861,0.0,17.555,38,2800,2751,49,0
100,45,3600,60.324,72,230.49,810.0,6.886,0.0,17.502,40,2800,2753,47,0
100,50,3600,60.644,73,236.947,710.0,6.859,0.0,17.753,37,2800,2752,48,0
100,55,3600,60.946,76,252.155,697.0,6.831,0.0,18.04,38,2800,2754,46,0
100,60,3600,60.026,73,245.647,728.0,6.944,0.0,17.33,35,2800,2756,44,0
100,65,3600,59.35,72,243.656,776.0,7.019,0.0,16.838,37,2800,2753,47,0
100,70,3600,58.824,73,248.343,841.0,7.078,0.0,16.588,36,2800,2752,48,0
100,75,3600,58.724,75,250.772,840.0,7.079,0.0,16.528,39,2800,2750,50,0
100,80,3600,68.991,89,399.466,1191.0,6.046,0.0,24.444,52,2800,2735,65,0
100,85,3600,90.961,131,697.975,2328.0,4.741,0.0,41.025,94,2798,2682,116,2
100,90,3600,97.266,137,986.371,4375.0,4.321,0.0,49.075,102,2720,2616,104,80
200,0,3600,66.238,88,321.064,1371.0,6.78,0.0,19.937,51,2800,2745,55,0
200,5,3600,70.853,96,393.403,1380.0,6.401,0.0,23.94,59,2800,2722,78,0
200,10,3600,76.978,107,486.166,1273.0,5.947,0.0,29.085,65,2800,2712,88,0
