distance,demand_name,demand_multiplier,scenario_label,sim_waiting_time,best_offset,optimized_offset_waiting_time,qmix_waiting_time,optimized_offset_coordination_gain_percent,qmix_coordination_gain_percent,qmix_gap_vs_optimized_offset_percent,coordination_regime,sim_buffered_ratio,optimized_offset_buffered_ratio,qmix_buffered_ratio,qmix_capacity_regime,qmix_total_departed,qmix_total_arrived,qmix_final_active,qmix_final_buffered,gap_used_percent,seed_evidence,gap_source,gap_ci_low,gap_ci_high,regime_stability_percent,final_integrated_dchf_code,final_integrated_dchf_label
100,low,0.5,d100_low,87.592,20,80.632,122.389,7.946,-39.727,51.787,Outside coordination horizon,0.0,0.0,0.0,Unconstrained,1400,1384,22,0,51.787,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
100,medium,1.0,d100_medium,986.371,25,217.763,235.912,77.923,76.083,8.334,Marginal coordination zone,0.029,0.0,0.0021,Unconstrained,2794,2750,50,6,8.573,5-seed paired,5-seed spatial sweep + 5-seed boundary rerun,8.114,9.351,80.0,4,Marginal coordination
100,high,1.5,d100_high,1802.907,60,847.036,1359.369,53.018,24.601,60.485,Outside coordination horizon,0.165,0.071,0.0926,Mild insertion pressure,3811,3647,170,389,60.485,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
100,saturation,2.0,d100_saturation,2097.762,30,1313.721,2180.832,37.375,-3.96,66.004,Outside coordination horizon,0.273,0.204,0.2768,Oversaturated,4050,3893,163,1550,66.004,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
100,oversaturation,2.5,d100_oversaturation,3094.882,25,2294.378,2748.355,25.865,11.197,19.787,Outside coordination horizon,0.356,0.309,0.336,Oversaturated,4648,4378,276,2352,19.787,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
200,low,0.5,d200_low,89.399,80,88.987,142.023,0.461,-58.864,59.6,Outside coordination horizon,0.0,0.0,0.0,Unconstrained,1400,1383,23,0,59.6,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
200,medium,1.0,d200_medium,321.064,45,195.628,197.619,39.069,38.449,1.018,Effective coordination zone,0.0,0.0,0.0021,Unconstrained,2794,2749,51,6,3.769,5-seed paired,5-seed spatial sweep,2.37,4.99,,1,Useful effective coordination
200,high,1.5,d200_high,1384.668,50,828.716,1272.349,40.151,8.112,53.533,Outside coordination horizon,0.132,0.065,0.0926,Mild insertion pressure,3811,3649,168,389,53.533,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
200,saturation,2.0,d200_saturation,1722.79,50,1233.98,1947.589,28.373,-13.049,57.83,Outside coordination horizon,0.257,0.186,0.2686,Oversaturated,4096,3922,180,1504,57.83,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
200,oversaturation,2.5,d200_oversaturation,2769.526,35,2178.009,2697.359,21.358,2.606,23.845,Outside coordination horizon,0.351,0.286,0.334,Oversaturated,4662,4404,264,2338,23.845,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
