sweep,cell,seed,offset_wt,qmix_wt,mp_wt
spatial,d=100m,0,217.763,235.912,75.922
spatial,d=100m,1,217.829,235.748,69.595
spatial,d=100m,2,216.635,234.284,70.668
spatial,d=100m,3,218.523,236.069,67.512
spatial,d=100m,4,215.739,237.588,73.92
spatial,d=200m,0,195.627,197.619,108.379
spatial,d=200m,1,192.133,198.12,100.854
spatial,d=200m,2,189.393,198.076,109.672
spatial,d=200m,3,189.744,198.22,105.439
spatial,d=200m,4,189.418,200.142,104.716
spatial,d=300m,0,175.673,180.821,154.063
spatial,d=300m,1,173.423,175.961,142.218
spatial,d=300m,2,171.626,177.705,160.852
spatial,d=300m,3,171.154,175.03,148.635
spatial,d=300m,4,172.366,177.865,139.205
spatial,d=500m,0,226.379,335.613,231.403
spatial,d=500m,1,235.631,300.568,258.7
spatial,d=500m,2,236.374,303.145,227.131
spatial,d=500m,3,224.62,249.108,238.371
spatial,d=500m,4,227.861,256.282,230.694
spatial,d=750m,0,197.676,360.508,456.188
spatial,d=750m,1,195.942,311.643,444.187
spatial,d=750m,2,197.018,364.265,479.414
spatial,d=750m,3,193.98,314.462,464.831
spatial,d=750m,4,197.995,313.76,449.056
spatial,d=1000m,0,185.0,294.072,609.732
spatial,d=1000m,1,184.867,286.037,646.101
spatial,d=1000m,2,185.5,286.924,623.851
spatial,d=1000m,3,181.451,294.973,584.28
spatial,d=1000m,4,181.563,298.469,616.921
demand,low,0,79.909,146.967,65.494
demand,low,1,82.418,146.473,64.321
demand,low,2,82.349,133.728,63.83
demand,low,3,79.128,134.313,69.968
demand,low,4,80.234,152.883,67.463
demand,medium,0,175.673,180.821,154.063
demand,medium,1,173.423,175.961,142.218
demand,medium,2,171.626,177.705,160.852
demand,medium,3,171.154,175.03,148.635
demand,medium,4,172.366,177.865,139.205
demand,high,0,938.916,985.865,188.192
demand,high,1,944.569,976.583,192.935
demand,high,2,981.737,993.102,192.08
demand,high,3,923.496,983.05,175.818
demand,high,4,948.697,926.917,180.393
demand,saturation,0,1261.463,1267.017,197.834
demand,saturation,1,1250.134,1281.243,188.295
demand,saturation,2,1245.607,1262.947,210.063
demand,saturation,3,1259.89,1262.178,225.207
demand,saturation,4,1244.767,1250.028,190.132
demand,oversaturation,0,2231.027,2355.914,516.275
demand,oversaturation,1,2214.472,2243.355,544.086
demand,oversaturation,2,2186.609,2378.757,495.468
demand,oversaturation,3,2206.677,2395.59,546.279
demand,oversaturation,4,2195.468,2445.007,572.834
