sweep,cell,offset,offset_wt_mean,offset_wt_std,qmix_wt_mean,qmix_wt_std,mp_wt_mean,mp_wt_std,G_QMIX_mean,G_QMIX_ci,G_MP_mean,G_MP_ci,p_offset_qmix,p_offset_mp,qmix_regime,best_controller
spatial,d=100m,25,217.298,1.103,235.92,1.174,71.523,3.378,8.573,"[8.11, 9.35]",-67.081,"[-68.34, -65.82]",0.0625,0.0625,Marginal,Max Pressure
spatial,d=200m,45,191.263,2.693,198.435,0.982,105.812,3.443,3.769,"[2.37, 4.99]",-44.67,"[-46.33, -43.10]",0.0625,0.0625,Effective,Max Pressure
spatial,d=300m,45,172.848,1.796,177.476,2.218,148.994,8.778,2.678,"[1.97, 3.28]",-13.794,"[-17.60, -9.89]",0.0625,0.0625,Effective,Max Pressure
spatial,d=500m,70,230.173,5.45,288.943,35.946,237.26,12.658,25.487,"[14.69, 37.10]",3.093,"[-0.87, 7.05]",0.0625,0.3125,Outside horizon,Optimized offset
spatial,d=750m,0,196.522,1.624,332.927,26.945,458.735,13.934,69.378,"[59.43, 79.33]",133.447,"[127.55, 139.34]",0.0625,0.0625,Outside horizon,Optimized offset
spatial,d=1000m,85,183.676,1.995,292.095,5.391,616.177,22.438,59.062,"[55.55, 62.57]",235.435,"[227.08, 243.57]",0.0625,0.0625,Outside horizon,Optimized offset
demand,low,45,80.808,1.494,142.873,8.468,66.215,2.522,76.864,"[68.17, 85.33]",-17.996,"[-21.39, -14.52]",0.0625,0.0625,Outside horizon,Max Pressure
demand,medium,45,172.848,1.796,177.476,2.218,148.994,8.778,2.678,"[1.97, 3.28]",-13.794,"[-17.60, -9.89]",0.0625,0.0625,Effective,Max Pressure
demand,high,55,947.483,21.401,973.104,26.491,185.884,7.498,2.74,"[-0.02, 5.26]",-80.382,"[-80.87, -79.90]",0.1875,0.0625,Effective,Max Pressure
demand,saturation,45,1252.372,7.87,1264.683,11.222,202.306,15.404,0.985,"[0.33, 1.83]",-83.848,"[-84.73, -82.85]",0.0625,0.0625,Effective,Max Pressure
demand,oversaturation,50,2206.851,17.189,2363.725,74.83,534.989,29.81,7.123,"[4.17, 9.77]",-75.757,"[-76.83, -74.75]",0.0625,0.0625,Marginal,Max Pressure
