sweep,cell,seed,offset_wt,qmix_wt,mp_wt,sim_wt,expected_total_vehicles,sim_inserted,sim_buffered_ratio,offset_inserted,offset_buffered_ratio,qmix_inserted,qmix_buffered_ratio,mp_inserted,mp_buffered_ratio,cg_offset,cg_qmix,cg_mp
spatial,d=100m,0,217.763,235.912,75.922,986.371,2800,2720,0.0286,2800,0.0,2800,0.0,2800,0.0,77.923,76.083,92.303
spatial,d=100m,1,217.829,235.748,69.595,1036.237,2800,2720,0.0286,2800,0.0,2800,0.0,2800,0.0,78.979,77.25,93.284
spatial,d=100m,2,216.635,234.284,70.668,1129.228,2800,2698,0.0364,2800,0.0,2800,0.0,2800,0.0,80.816,79.253,93.742
spatial,d=100m,3,218.523,236.069,67.512,966.319,2800,2741,0.0211,2800,0.0,2800,0.0,2800,0.0,77.386,75.57,93.013
spatial,d=100m,4,215.739,237.588,73.92,862.96,2800,2668,0.0471,2800,0.0,2800,0.0,2800,0.0,75.0,72.468,91.434
spatial,d=200m,0,195.627,197.619,108.379,321.064,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,39.069,38.449,66.244
spatial,d=200m,1,192.133,198.12,100.854,326.431,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,41.141,39.307,69.104
spatial,d=200m,2,189.393,198.076,109.672,360.554,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,47.472,45.063,69.582
spatial,d=200m,3,189.744,198.22,105.439,323.116,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,41.277,38.654,67.368
spatial,d=200m,4,189.418,200.142,104.716,380.38,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,50.203,47.384,72.471
spatial,d=300m,0,175.673,180.821,154.063,274.231,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,35.94,34.062,43.82
spatial,d=300m,1,173.423,175.961,142.218,267.891,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,35.264,34.316,46.912
spatial,d=300m,2,171.626,177.705,160.852,286.276,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,40.049,37.925,43.812
spatial,d=300m,3,171.154,175.03,148.635,264.13,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,35.201,33.733,43.727
spatial,d=300m,4,172.366,177.865,139.205,271.249,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,36.455,34.428,48.68
spatial,d=500m,0,226.379,335.613,231.403,291.246,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,22.272,-15.233,20.547
spatial,d=500m,1,235.631,300.568,258.7,299.308,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,21.275,-0.421,13.567
spatial,d=500m,2,236.374,303.145,227.131,294.699,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,19.791,-2.866,22.928
spatial,d=500m,3,224.62,249.108,238.371,296.852,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,24.333,16.083,19.7
spatial,d=500m,4,227.861,256.282,230.694,295.308,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,22.84,13.215,21.88
spatial,d=750m,0,197.676,360.508,456.188,197.676,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,0.0,-82.374,-130.776
spatial,d=750m,1,195.942,311.643,444.187,195.942,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,0.0,-59.049,-126.693
spatial,d=750m,2,197.018,364.265,479.414,197.018,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,0.0,-84.889,-143.335
spatial,d=750m,3,193.98,314.462,464.831,193.98,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,0.0,-62.111,-139.629
spatial,d=750m,4,197.995,313.76,449.056,197.995,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,0.0,-58.469,-126.802
spatial,d=1000m,0,185.0,294.072,609.732,185.13,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,0.07,-58.846,-229.353
spatial,d=1000m,1,184.867,286.037,646.101,190.522,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,2.968,-50.133,-239.121
spatial,d=1000m,2,185.5,286.924,623.851,180.301,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,-2.883,-59.136,-246.005
spatial,d=1000m,3,181.451,294.973,584.28,176.018,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,-3.087,-67.582,-231.944
spatial,d=1000m,4,181.563,298.469,616.921,183.601,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,1.11,-62.564,-236.011
demand,low,0,79.909,146.967,65.494,93.003,1396,1396,0.0,1396,0.0,1396,0.0,1396,0.0,14.079,-58.025,29.578
demand,low,1,82.418,146.473,64.321,94.447,1396,1396,0.0,1396,0.0,1396,0.0,1396,0.0,12.736,-55.085,31.897
demand,low,2,82.349,133.728,63.83,93.29,1396,1396,0.0,1396,0.0,1396,0.0,1396,0.0,11.729,-43.346,31.579
demand,low,3,79.128,134.313,69.968,94.361,1396,1396,0.0,1396,0.0,1396,0.0,1396,0.0,16.143,-42.34,25.85
demand,low,4,80.234,152.883,67.463,93.247,1396,1396,0.0,1396,0.0,1396,0.0,1396,0.0,13.956,-63.955,27.652
demand,medium,0,175.673,180.821,154.063,274.231,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,35.94,34.062,43.82
demand,medium,1,173.423,175.961,142.218,267.891,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,35.264,34.316,46.912
demand,medium,2,171.626,177.705,160.852,286.276,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,40.049,37.925,43.812
demand,medium,3,171.154,175.03,148.635,264.13,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,35.201,33.733,43.727
demand,medium,4,172.366,177.865,139.205,271.249,2800,2800,0.0,2800,0.0,2800,0.0,2800,0.0,36.455,34.428,48.68
demand,high,0,938.916,985.865,188.192,1226.653,4204,3819,0.0916,3756,0.1066,3915,0.0687,4053,0.0359,23.457,19.63,84.658
demand,high,1,944.569,976.583,192.935,1241.937,4204,3833,0.0882,3745,0.1092,3925,0.0664,4051,0.0364,23.944,21.366,84.465
demand,high,2,981.737,993.102,192.08,1231.932,4204,3814,0.0928,3726,0.1137,3929,0.0654,4053,0.0359,20.309,19.387,84.408
demand,high,3,923.496,983.05,175.818,1264.41,4204,3815,0.0925,3783,0.1001,3909,0.0702,4051,0.0364,26.962,22.252,86.095
demand,high,4,948.697,926.917,180.393,1235.279,4204,3819,0.0916,3734,0.1118,3910,0.0699,4054,0.0357,23.2,24.963,85.397
demand,saturation,0,1261.463,1267.017,197.834,1432.412,5600,4309,0.2305,4492,0.1979,4479,0.2002,4795,0.1437,11.934,11.547,86.189
demand,saturation,1,1250.134,1281.243,188.295,1484.274,5600,4283,0.2352,4493,0.1977,4494,0.1975,4796,0.1436,15.775,13.679,87.314
demand,saturation,2,1245.607,1262.947,210.063,1470.303,5600,4286,0.2346,4494,0.1975,4489,0.1984,4790,0.1446,15.282,14.103,85.713
demand,saturation,3,1259.89,1262.178,225.207,1429.055,5600,4310,0.2304,4493,0.1977,4501,0.1963,4791,0.1445,11.838,11.677,84.241
demand,saturation,4,1244.767,1250.028,190.132,1436.277,5600,4313,0.2298,4498,0.1968,4511,0.1945,4796,0.1436,13.334,12.968,86.762
demand,oversaturation,0,2231.027,2355.914,516.275,2494.985,6996,4685,0.3303,4939,0.294,4841,0.308,5373,0.232,10.58,5.574,79.308
demand,oversaturation,1,2214.472,2243.355,544.086,2486.779,6996,4660,0.3339,4922,0.2965,4973,0.2892,5368,0.2327,10.95,9.789,78.121
demand,oversaturation,2,2186.609,2378.757,495.468,2456.26,6996,4703,0.3278,4907,0.2986,4822,0.3107,5386,0.2301,10.978,3.155,79.828
demand,oversaturation,3,2206.677,2395.59,546.279,2537.906,6996,4635,0.3375,4956,0.2916,4884,0.3019,5379,0.2311,13.051,5.608,78.475
demand,oversaturation,4,2195.468,2445.007,572.834,2490.304,6996,4658,0.3342,4934,0.2947,4855,0.306,5348,0.2356,11.839,1.819,76.997
