sweep,cell,offset,expected_total_vehicles,sim_wt_mean,offset_wt_mean,offset_wt_std,qmix_wt_mean,qmix_wt_std,mp_wt_mean,mp_wt_std,G_QMIX_mean,G_QMIX_ci,G_MP_mean,G_MP_ci,CG_off_mean,CG_QMIX_mean,CG_QMIX_ci,BR_offset_mean,BR_QMIX_mean,BR_MP_mean,p_offset_qmix,p_offset_mp,qmix_regime,qmix_integrated_class,best_controller
spatial,d=100m,25,2800,996.223,217.298,1.103,235.92,1.174,71.523,3.378,8.573,"[8.11, 9.35]",-67.081,"[-68.34, -65.82]",78.021,76.125,"[74.04, 77.98]",0.0,0.0,0.0,0.0625,0.0625,Marginal,marginal,Max Pressure
spatial,d=200m,45,2800,342.309,191.263,2.693,198.435,0.982,105.812,3.443,3.769,"[2.37, 4.99]",-44.67,"[-46.33, -43.10]",43.832,41.771,"[38.70, 45.17]",0.0,0.0,0.0,0.0625,0.0625,Effective,useful-effective,Max Pressure
spatial,d=300m,45,2800,272.755,172.848,1.796,177.476,2.218,148.994,8.778,2.678,"[1.97, 3.28]",-13.794,"[-17.60, -9.89]",36.582,34.893,"[33.94, 36.45]",0.0,0.0,0.0,0.0625,0.0625,Effective,useful-effective,Max Pressure
spatial,d=500m,70,2800,295.482,230.173,5.45,288.943,35.946,237.26,12.658,25.487,"[14.69, 37.10]",3.093,"[-0.87, 7.05]",22.102,2.156,"[-7.32, 11.72]",0.0,0.0,0.0,0.0625,0.3125,Outside horizon,outside horizon,Optimized offset
spatial,d=750m,0,2800,196.522,196.522,1.624,332.927,26.945,458.735,13.934,69.378,"[59.43, 79.33]",133.447,"[127.55, 139.34]",0.0,-69.378,"[-79.33, -59.43]",0.0,0.0,0.0,0.0625,0.0625,Outside horizon,outside horizon,Simultaneous fixed-time
spatial,d=1000m,85,2800,183.114,183.676,1.995,292.095,5.391,616.177,22.438,59.062,"[55.55, 62.57]",235.435,"[227.08, 243.57]",-0.364,-59.652,"[-64.20, -54.42]",0.0,0.0,0.0,0.0625,0.0625,Outside horizon,outside horizon,Simultaneous fixed-time
demand,low,45,1396,93.67,80.808,1.494,142.873,8.468,66.215,2.522,76.864,"[68.17, 85.33]",-17.996,"[-21.39, -14.52]",13.728,-52.55,"[-59.81, -45.29]",0.0,0.0,0.0,0.0625,0.0625,Outside horizon,outside horizon,Max Pressure
demand,medium,45,2800,272.755,172.848,1.796,177.476,2.218,148.994,8.778,2.678,"[1.97, 3.28]",-13.794,"[-17.60, -9.89]",36.582,34.893,"[33.94, 36.45]",0.0,0.0,0.0,0.0625,0.0625,Effective,useful-effective,Max Pressure
demand,high,55,4204,1240.042,947.483,21.401,973.104,26.491,185.884,7.498,2.74,"[-0.02, 5.26]",-80.382,"[-80.87, -79.90]",23.574,21.52,"[19.88, 23.35]",0.1083,0.0681,0.0361,0.1875,0.0625,Effective,useful-effective,Max Pressure
demand,saturation,45,5600,1450.464,1252.372,7.87,1264.683,11.222,202.306,15.404,0.985,"[0.33, 1.83]",-83.848,"[-84.73, -82.85]",13.633,12.795,"[11.88, 13.71]",0.1975,0.1974,0.144,0.0625,0.0625,Effective,capacity-constrained effective,Max Pressure
demand,oversaturation,50,6996,2493.247,2206.851,17.189,2363.725,74.83,534.989,29.81,7.123,"[4.17, 9.77]",-75.757,"[-76.83, -74.75]",11.48,5.189,"[3.10, 7.63]",0.2951,0.3032,0.2323,0.0625,0.0625,Marginal,marginal,Max Pressure
