sweep,cell,seed,controller,completed,mean_trip_duration,mean_time_loss,mean_veh_waiting_time,mean_depart_delay,total_time_loss_vehhours,waiting_state_metric
spatial,d=100m,0,sim,2616,114.558,72.727,52.855,7.587,52.848,986.371
spatial,d=100m,0,offset,2748,74.639,32.639,19.43,1.488,24.915,217.763
spatial,d=100m,0,qmix,2750,78.611,36.595,22.603,1.491,27.954,235.912
spatial,d=100m,0,mp,2766,60.034,17.958,8.184,1.49,13.797,75.922
spatial,d=100m,1,sim,2621,117.324,75.525,54.223,1.636,54.986,1036.237
spatial,d=100m,1,offset,2748,74.57,32.607,19.451,1.49,24.89,217.829
spatial,d=100m,1,qmix,2754,78.412,36.421,22.582,1.488,27.862,235.748
spatial,d=100m,1,mp,2758,59.779,17.769,7.993,1.492,13.613,69.595
spatial,d=100m,2,sim,2598,114.288,72.437,52.949,8.332,52.275,1129.228
spatial,d=100m,2,offset,2748,74.486,32.444,19.325,1.492,24.766,216.635
spatial,d=100m,2,qmix,2756,78.493,36.441,22.494,1.493,27.897,234.284
spatial,d=100m,2,mp,2760,59.953,17.864,7.98,1.489,13.696,70.668
spatial,d=100m,3,sim,2632,120.155,78.415,56.399,6.019,57.33,966.319
spatial,d=100m,3,offset,2747,74.384,32.513,19.43,1.49,24.809,218.523
spatial,d=100m,3,qmix,2755,78.453,36.569,22.625,1.489,27.985,236.069
spatial,d=100m,3,mp,2762,59.429,17.476,7.684,1.493,13.408,67.512
spatial,d=100m,4,sim,2576,116.433,74.926,54.051,8.502,53.614,862.96
spatial,d=100m,4,offset,2750,74.122,32.313,19.265,1.495,24.684,215.739
spatial,d=100m,4,qmix,2752,78.592,36.772,22.772,1.493,28.11,237.588
spatial,d=100m,4,mp,2759,59.864,18.034,8.186,1.493,13.821,73.92
spatial,d=200m,0,sim,2745,85.799,40.318,25.976,1.493,30.742,321.064
spatial,d=200m,0,offset,2749,78.93,33.455,19.627,1.493,25.547,195.627
spatial,d=200m,0,qmix,2749,79.234,33.747,19.704,1.491,25.77,197.619
spatial,d=200m,0,mp,2755,65.019,19.464,9.678,1.493,14.895,108.379
spatial,d=200m,1,sim,2738,85.937,40.486,26.262,1.487,30.792,326.431
spatial,d=200m,1,offset,2749,78.761,33.335,19.426,1.488,25.455,192.133
spatial,d=200m,1,qmix,2749,79.108,33.655,19.713,1.488,25.699,198.12
spatial,d=200m,1,mp,2756,64.728,19.217,9.416,1.493,14.712,100.854
spatial,d=200m,2,sim,2729,88.854,43.323,28.417,1.489,32.841,360.554
spatial,d=200m,2,offset,2749,78.472,32.937,19.119,1.488,25.151,189.393
spatial,d=200m,2,qmix,2752,79.229,33.691,19.713,1.49,25.755,198.076
spatial,d=200m,2,mp,2756,64.975,19.395,9.604,1.496,14.848,109.672
spatial,d=200m,3,sim,2740,85.371,40.017,25.958,1.486,30.457,323.116
spatial,d=200m,3,offset,2751,78.296,32.957,19.13,1.488,25.185,189.744
spatial,d=200m,3,qmix,2753,79.113,33.766,19.78,1.49,25.822,198.22
spatial,d=200m,3,mp,2758,64.651,19.208,9.443,1.495,14.716,105.439
spatial,d=200m,4,sim,2730,90.448,45.173,29.836,1.487,34.256,380.38
spatial,d=200m,4,offset,2750,78.319,33.048,19.223,1.492,25.245,189.418
spatial,d=200m,4,qmix,2750,79.245,33.97,19.894,1.493,25.95,200.142
spatial,d=200m,4,mp,2761,64.581,19.281,9.461,1.497,14.787,104.716
spatial,d=300m,0,sim,2743,84.399,35.471,22.415,1.49,27.027,274.231
spatial,d=300m,0,offset,2748,79.957,31.039,17.268,1.491,23.693,175.673
spatial,d=300m,0,qmix,2749,80.417,31.472,17.546,1.491,24.032,180.821
spatial,d=300m,0,mp,2752,70.653,21.679,11.665,1.491,16.572,154.063
spatial,d=300m,1,sim,2745,83.961,35.061,22.034,1.493,26.734,267.891
spatial,d=300m,1,offset,2749,79.801,30.909,17.112,1.491,23.603,173.423
spatial,d=300m,1,qmix,2752,79.863,30.949,17.182,1.49,23.659,175.961
spatial,d=300m,1,mp,2757,70.005,21.056,11.085,1.491,16.125,142.218
spatial,d=300m,2,sim,2743,85.619,36.63,23.324,1.492,27.91,286.276
spatial,d=300m,2,offset,2748,79.664,30.647,16.998,1.491,23.394,171.626
spatial,d=300m,2,qmix,2752,80.269,31.263,17.411,1.494,23.899,177.705
spatial,d=300m,2,mp,2751,71.184,22.115,11.987,1.495,16.899,160.852
spatial,d=300m,3,sim,2745,83.409,34.61,21.776,1.492,26.39,264.13
spatial,d=300m,3,offset,2749,79.411,30.617,16.945,1.491,23.38,171.154
spatial,d=300m,3,qmix,2753,79.76,30.945,17.138,1.493,23.664,175.03
spatial,d=300m,3,mp,2750,70.25,21.356,11.3,1.492,16.314,148.635
spatial,d=300m,4,sim,2744,84.056,35.346,22.294,1.493,26.942,271.249
spatial,d=300m,4,offset,2749,79.437,30.711,17.092,1.49,23.451,172.366
spatial,d=300m,4,qmix,2751,80.054,31.322,17.425,1.491,23.935,177.865
spatial,d=300m,4,mp,2757,69.755,20.941,10.937,1.491,16.037,139.205
spatial,d=500m,0,sim,2742,95.53,39.676,25.14,1.495,30.22,291.246
spatial,d=500m,0,offset,2736,90.899,35.044,20.711,1.494,26.633,226.379
spatial,d=500m,0,qmix,2729,97.223,41.332,26.532,1.491,31.332,335.613
spatial,d=500m,0,mp,2745,81.721,25.777,14.957,1.492,19.655,231.403
spatial,d=500m,1,sim,2742,95.91,40.128,25.639,1.491,30.564,299.308
spatial,d=500m,1,offset,2736,91.57,35.772,21.264,1.495,27.186,235.631
spatial,d=500m,1,qmix,2734,94.505,38.678,24.311,1.492,29.374,300.568
spatial,d=500m,1,mp,2733,82.503,26.584,15.787,1.492,20.182,258.7
spatial,d=500m,2,sim,2740,95.722,39.818,25.301,1.49,30.306,294.699
spatial,d=500m,2,offset,2733,91.655,35.724,21.252,1.49,27.121,236.374
spatial,d=500m,2,qmix,2735,94.834,38.858,24.422,1.493,29.522,303.145
spatial,d=500m,2,mp,2746,81.561,25.552,14.821,1.495,19.49,227.131
spatial,d=500m,3,sim,2739,95.512,39.815,25.387,1.489,30.292,296.852
spatial,d=500m,3,offset,2735,90.431,34.748,20.514,1.491,26.399,224.62
spatial,d=500m,3,qmix,2735,90.265,34.547,20.869,1.486,26.246,249.108
spatial,d=500m,3,mp,2749,82.095,26.319,15.489,1.49,20.098,238.371
spatial,d=500m,4,sim,2742,95.151,39.57,25.237,1.494,30.139,295.308
spatial,d=500m,4,offset,2736,90.534,34.947,20.714,1.492,26.56,227.861
spatial,d=500m,4,qmix,2732,90.538,34.915,21.202,1.488,26.497,256.282
spatial,d=500m,4,mp,2742,80.741,25.078,14.452,1.493,19.101,230.694
spatial,d=750m,0,sim,2740,99.377,34.922,19.876,1.495,26.58,197.676
spatial,d=750m,0,offset,2740,99.377,34.922,19.876,1.495,26.58,197.676
spatial,d=750m,0,qmix,2716,108.243,43.754,27.824,1.486,33.01,360.508
spatial,d=750m,0,mp,2727,100.425,35.842,23.766,1.494,27.151,456.188
spatial,d=750m,1,sim,2740,99.25,34.842,19.83,1.494,26.519,195.942
spatial,d=750m,1,offset,2740,99.25,34.842,19.83,1.494,26.519,195.942
spatial,d=750m,1,qmix,2726,104.307,39.936,24.967,1.492,30.24,311.643
spatial,d=750m,1,mp,2735,99.853,35.413,23.297,1.497,26.904,444.187
spatial,d=750m,2,sim,2742,99.341,34.749,19.801,1.496,26.467,197.018
spatial,d=750m,2,offset,2742,99.341,34.749,19.801,1.496,26.467,197.018
spatial,d=750m,2,qmix,2718,108.77,44.17,28.091,1.485,33.348,364.265
spatial,d=750m,2,mp,2719,101.171,36.3,24.092,1.496,27.417,479.414
spatial,d=750m,3,sim,2739,98.907,34.616,19.675,1.493,26.337,193.98
spatial,d=750m,3,offset,2739,98.907,34.616,19.675,1.493,26.337,193.98
spatial,d=750m,3,qmix,2725,104.143,39.904,24.967,1.489,30.205,314.462
spatial,d=750m,3,mp,2732,100.644,36.289,24.169,1.494,27.54,464.831
spatial,d=750m,4,sim,2741,98.958,34.808,19.94,1.489,26.502,197.995
spatial,d=750m,4,offset,2741,98.958,34.808,19.94,1.489,26.502,197.995
spatial,d=750m,4,qmix,2730,104.831,40.739,25.318,1.492,30.894,313.76
spatial,d=750m,4,mp,2728,99.831,35.507,23.327,1.494,26.907,449.056
spatial,d=1000m,0,sim,2733,104.439,31.351,17.153,1.495,23.801,185.13
spatial,d=1000m,0,offset,2731,104.341,31.273,17.1,1.489,23.724,185.0
spatial,d=1000m,0,qmix,2727,112.742,39.869,24.73,1.492,30.201,294.072
spatial,d=1000m,0,mp,2725,115.039,41.866,28.645,1.494,31.69,609.732
spatial,d=1000m,1,sim,2733,104.808,31.835,17.537,1.49,24.168,190.522
spatial,d=1000m,1,offset,2731,104.184,31.13,17.012,1.49,23.615,184.867
spatial,d=1000m,1,qmix,2722,111.904,39.156,24.107,1.482,29.606,286.037
spatial,d=1000m,1,mp,2721,116.026,42.943,29.728,1.493,32.457,646.101
spatial,d=1000m,2,sim,2735,104.233,31.036,16.82,1.491,23.579,180.301
spatial,d=1000m,2,offset,2726,104.424,31.199,16.907,1.493,23.625,185.5
spatial,d=1000m,2,qmix,2728,112.101,39.172,24.223,1.491,29.684,286.924
spatial,d=1000m,2,mp,2723,115.344,41.989,28.66,1.496,31.76,623.851
spatial,d=1000m,3,sim,2732,103.437,30.531,16.426,1.487,23.169,176.018
spatial,d=1000m,3,offset,2733,103.855,30.957,16.877,1.493,23.501,181.451
spatial,d=1000m,3,qmix,2725,112.221,39.705,24.619,1.493,30.054,294.973
spatial,d=1000m,3,mp,2722,113.657,40.736,27.66,1.499,30.801,584.28
spatial,d=1000m,4,sim,2736,104.012,31.246,17.065,1.491,23.747,183.601
spatial,d=1000m,4,offset,2732,103.6,30.834,16.799,1.491,23.399,181.563
spatial,d=1000m,4,qmix,2726,112.441,39.967,24.825,1.491,30.264,298.469
spatial,d=1000m,4,mp,2722,114.908,42.041,28.717,1.497,31.787,616.921
demand,low,0,sim,1373,74.893,25.902,15.823,1.192,9.879,93.003
demand,low,0,offset,1376,76.138,27.124,15.757,1.19,10.368,79.909
demand,low,0,qmix,1377,80.972,31.919,20.328,1.19,12.209,146.967
demand,low,0,mp,1379,66.922,17.837,9.255,1.192,6.833,65.494
demand,low,1,sim,1373,74.87,26.022,15.946,1.195,9.925,94.447
demand,low,1,offset,1378,76.396,27.514,16.036,1.192,10.532,82.418
demand,low,1,qmix,1378,80.683,31.777,20.166,1.19,12.164,146.473
demand,low,1,mp,1382,66.648,17.71,9.119,1.193,6.799,64.321
demand,low,2,sim,1373,74.871,25.882,15.81,1.195,9.871,93.29
demand,low,2,offset,1375,76.587,27.521,16.068,1.197,10.512,82.349
demand,low,2,qmix,1378,79.724,30.651,19.208,1.19,11.733,133.728
demand,low,2,mp,1377,66.969,17.817,9.111,1.199,6.815,63.83
demand,low,3,sim,1373,74.995,26.196,15.995,1.193,9.991,94.361
demand,low,3,offset,1377,75.948,27.118,15.734,1.194,10.373,79.128
demand,low,3,qmix,1377,79.981,31.131,19.609,1.194,11.908,134.313
demand,low,3,mp,1379,67.126,18.238,9.644,1.195,6.986,69.968
demand,low,4,sim,1373,74.639,25.971,15.871,1.198,9.905,93.247
demand,low,4,offset,1376,76.025,27.303,15.882,1.195,10.436,80.234
demand,low,4,qmix,1375,80.772,32.097,20.633,1.196,12.259,152.883
demand,low,4,mp,1382,66.454,17.705,9.219,1.195,6.797,67.463
demand,medium,0,sim,2743,84.399,35.471,22.415,1.49,27.027,274.231
demand,medium,0,offset,2748,79.957,31.039,17.268,1.491,23.693,175.673
demand,medium,0,qmix,2749,80.417,31.472,17.546,1.491,24.032,180.821
demand,medium,0,mp,2752,70.653,21.679,11.665,1.491,16.572,154.063
demand,medium,1,sim,2745,83.961,35.061,22.034,1.493,26.734,267.891
demand,medium,1,offset,2749,79.801,30.909,17.112,1.491,23.603,173.423
demand,medium,1,qmix,2752,79.863,30.949,17.182,1.49,23.659,175.961
demand,medium,1,mp,2757,70.005,21.056,11.085,1.491,16.125,142.218
demand,medium,2,sim,2743,85.619,36.63,23.324,1.492,27.91,286.276
demand,medium,2,offset,2748,79.664,30.647,16.998,1.491,23.394,171.626
demand,medium,2,qmix,2752,80.269,31.263,17.411,1.494,23.899,177.705
demand,medium,2,mp,2751,71.184,22.115,11.987,1.495,16.899,160.852
demand,medium,3,sim,2745,83.409,34.61,21.776,1.492,26.39,264.13
demand,medium,3,offset,2749,79.411,30.617,16.945,1.491,23.38,171.154
demand,medium,3,qmix,2753,79.76,30.945,17.138,1.493,23.664,175.03
demand,medium,3,mp,2750,70.25,21.356,11.3,1.492,16.314,148.635
demand,medium,4,sim,2744,84.056,35.346,22.294,1.493,26.942,271.249
demand,medium,4,offset,2749,79.437,30.711,17.092,1.49,23.451,172.366
demand,medium,4,qmix,2751,80.054,31.322,17.425,1.491,23.935,177.865
demand,medium,4,mp,2757,69.755,20.941,10.937,1.491,16.037,139.205
demand,high,0,sim,3651,150.272,102.408,66.784,85.795,103.859,1226.653
demand,high,0,offset,3627,122.42,74.61,48.79,81.142,75.17,938.916
demand,high,0,qmix,3744,133.816,85.759,54.093,81.782,89.189,985.865
demand,high,0,mp,3982,74.355,25.75,13.049,59.701,28.483,188.192
demand,high,1,sim,3664,151.128,103.199,67.52,89.263,105.034,1241.937
demand,high,1,offset,3625,124.36,76.611,50.381,92.441,77.143,944.569
demand,high,1,qmix,3771,134.039,85.961,54.021,77.372,90.044,976.583
demand,high,1,mp,3973,75.019,26.44,13.467,60.783,29.179,192.935
demand,high,2,sim,3643,152.535,104.629,68.374,92.958,105.878,1231.932
demand,high,2,offset,3601,121.869,74.155,48.95,80.802,74.176,981.737
demand,high,2,qmix,3766,134.259,86.143,54.223,76.205,90.115,993.102
demand,high,2,mp,3966,74.992,26.27,13.471,60.484,28.941,192.08
demand,high,3,sim,3647,153.497,105.76,68.902,92.174,107.14,1264.41
demand,high,3,offset,3658,127.192,79.443,51.576,89.123,80.723,923.496
demand,high,3,qmix,3748,133.793,85.839,53.986,80.252,89.368,983.05
demand,high,3,mp,3971,73.515,24.972,12.427,60.817,27.546,175.818
demand,high,4,sim,3651,151.734,104.031,68.492,92.361,105.505,1235.279
demand,high,4,offset,3608,125.669,78.141,51.233,83.337,78.314,948.697
demand,high,4,qmix,3761,129.774,81.871,51.448,79.084,85.532,926.917
demand,high,4,mp,3984,73.918,25.488,12.779,59.954,28.207,180.393
demand,saturation,0,sim,4126,148.163,102.195,67.903,233.179,117.127,1432.412
demand,saturation,0,offset,4319,142.512,96.118,60.857,224.293,115.315,1261.463
demand,saturation,0,qmix,4292,143.464,97.144,61.443,226.501,115.817,1267.017
demand,saturation,0,mp,4704,78.508,31.176,15.441,212.385,40.737,197.834
demand,saturation,1,sim,4106,149.976,104.186,70.266,223.376,118.829,1484.274
demand,saturation,1,offset,4313,141.271,94.969,60.078,219.808,113.778,1250.134
demand,saturation,1,qmix,4309,143.835,97.552,61.958,223.739,116.764,1281.243
demand,saturation,1,mp,4698,77.547,30.261,14.804,211.736,39.49,188.295
demand,saturation,2,sim,4100,150.05,104.163,69.774,243.561,118.63,1470.303
demand,saturation,2,offset,4320,141.531,95.138,60.088,223.455,114.165,1245.607
demand,saturation,2,qmix,4307,143.424,97.1,61.563,224.854,116.169,1262.947
demand,saturation,2,mp,4694,79.327,31.995,16.056,212.474,41.718,210.063
demand,saturation,3,sim,4128,148.55,102.639,68.018,232.92,117.692,1429.055
demand,saturation,3,offset,4315,142.354,96.046,60.692,221.836,115.122,1259.89
demand,saturation,3,qmix,4321,143.099,96.743,61.358,222.795,116.119,1262.178
demand,saturation,3,mp,4690,81.501,34.225,17.304,211.642,44.588,225.207
demand,saturation,4,sim,4135,147.461,101.628,67.568,232.129,116.731,1436.277
demand,saturation,4,offset,4316,141.955,95.754,60.374,226.7,114.798,1244.767
demand,saturation,4,qmix,4329,141.666,95.392,60.437,223.254,114.709,1250.028
demand,saturation,4,mp,4684,76.906,29.701,14.611,211.501,38.644,190.132
demand,oversaturation,0,sim,4406,185.083,140.309,100.326,304.397,171.723,2494.985
demand,oversaturation,0,offset,4666,176.413,131.119,90.168,308.845,169.945,2231.027
demand,oversaturation,0,qmix,4570,175.367,130.098,90.779,292.802,165.152,2355.914
demand,oversaturation,0,mp,5077,141.167,95.178,43.249,291.314,134.228,516.275
demand,oversaturation,1,sim,4387,186.974,142.262,101.54,312.456,173.362,2486.779
demand,oversaturation,1,offset,4663,177.305,131.95,90.577,306.654,170.912,2214.472
demand,oversaturation,1,qmix,4703,173.756,128.634,88.041,295.272,168.046,2243.355
demand,oversaturation,1,mp,5065,147.048,101.105,45.401,286.859,142.249,544.086
demand,oversaturation,2,sim,4430,183.356,138.499,98.133,300.969,170.43,2456.26
demand,oversaturation,2,offset,4645,177.497,132.053,90.559,309.545,170.385,2186.609
demand,oversaturation,2,qmix,4570,177.73,132.66,92.311,282.341,168.404,2378.757
demand,oversaturation,2,mp,5083,133.147,87.057,40.412,290.41,122.919,495.468
demand,oversaturation,3,sim,4368,189.601,145.099,103.269,300.17,176.053,2537.906
demand,oversaturation,3,offset,4694,174.697,129.37,88.738,309.774,168.684,2206.677
demand,oversaturation,3,qmix,4613,176.609,131.588,91.451,279.28,168.615,2395.59
demand,oversaturation,3,mp,5080,148.477,102.534,45.798,286.868,144.687,546.279
demand,oversaturation,4,sim,4390,183.55,138.808,99.316,312.123,169.269,2490.304
demand,oversaturation,4,offset,4672,176.455,131.313,89.598,303.24,170.416,2195.468
demand,oversaturation,4,qmix,4597,178.32,133.448,93.015,284.538,170.406,2445.007
demand,oversaturation,4,mp,5051,152.477,106.724,47.453,286.857,149.74,572.834
