cell,seed,offset_wt,qmix_wt,gap_pct,regime
"d=100, medium",0,217.763,235.912,8.334,Marginal
"d=100, medium",1,217.829,235.748,8.226,Marginal
"d=100, medium",2,216.635,234.284,8.147,Marginal
"d=100, medium",3,218.523,236.069,8.03,Marginal
"d=100, medium",4,215.739,237.588,10.128,Outside horizon
"d=500, saturation",0,1324.596,1489.553,12.453,Outside horizon
"d=500, saturation",1,1391.277,1423.903,2.345,Effective
"d=500, saturation",2,1353.367,1427.906,5.508,Marginal
"d=500, saturation",3,1342.394,1481.416,10.356,Outside horizon
"d=500, saturation",4,1348.797,1434.686,6.368,Marginal
"d=500, oversaturation",0,2310.723,2449.686,6.014,Marginal
"d=500, oversaturation",1,2315.872,2636.856,13.86,Outside horizon
"d=500, oversaturation",2,2394.201,2464.625,2.941,Effective
"d=500, oversaturation",3,2347.252,2455.602,4.616,Effective
"d=500, oversaturation",4,2351.177,2415.255,2.725,Effective
"d=750, oversaturation",0,2194.289,2412.179,9.93,Marginal
"d=750, oversaturation",1,2244.123,2526.804,12.596,Outside horizon
"d=750, oversaturation",2,2188.771,2646.922,20.932,Outside horizon
"d=750, oversaturation",3,2245.158,2416.819,7.646,Marginal
"d=750, oversaturation",4,2229.021,2464.437,10.561,Outside horizon
"d=1000, saturation",0,1358.308,1414.407,4.13,Effective
"d=1000, saturation",1,1444.746,1400.818,-3.04,Effective
"d=1000, saturation",2,1376.286,1393.23,1.231,Effective
"d=1000, saturation",3,1343.616,1395.976,3.897,Effective
"d=1000, saturation",4,1361.607,1397.29,2.621,Effective
"d=1000, oversaturation",0,2297.868,2311.272,0.583,Effective
"d=1000, oversaturation",1,2356.504,2416.737,2.556,Effective
"d=1000, oversaturation",2,2381.621,2365.814,-0.664,Effective
"d=1000, oversaturation",3,2353.437,2369.971,0.703,Effective
"d=1000, oversaturation",4,2264.786,2395.942,5.791,Marginal
