demand_scenario,demand_multiplier,seed,mean_waiting_time,mean_speed,mean_queue,mean_vehicle_count,total_departed,total_arrived,buffered_ratio
low,0.5,0,65.494,9.494,3.893,25.841,1396,1379,0.0
low,0.5,1,64.321,9.53,3.834,25.748,1396,1382,0.0
low,0.5,2,63.83,9.484,3.842,25.859,1396,1377,0.0
low,0.5,3,69.968,9.449,4.086,25.953,1396,1379,0.0
low,0.5,4,67.463,9.567,3.871,25.655,1396,1382,0.0
medium,1.0,0,154.063,8.984,9.405,54.597,2800,2752,0.0
medium,1.0,1,142.218,9.077,8.962,54.093,2800,2757,0.0
medium,1.0,2,160.852,8.923,9.706,54.996,2800,2751,0.0
medium,1.0,3,148.635,9.027,9.229,54.278,2800,2750,0.0
medium,1.0,4,139.205,9.11,8.92,53.891,2800,2757,0.0
high,1.5,0,188.192,8.477,14.918,83.035,4053,3982,0.0359
high,1.5,1,192.935,8.401,15.466,83.746,4051,3973,0.0364
high,1.5,2,192.08,8.406,15.467,83.703,4053,3966,0.0359
high,1.5,3,175.818,8.565,14.355,82.058,4051,3971,0.0364
high,1.5,4,180.393,8.531,14.68,82.576,4054,3984,0.0357
saturation,2.0,0,197.834,7.837,20.974,103.636,4795,4704,0.1437
saturation,2.0,1,188.295,7.916,20.25,102.371,4796,4698,0.1436
saturation,2.0,2,210.063,7.743,21.728,104.578,4790,4694,0.1446
saturation,2.0,3,225.207,7.543,23.4,107.452,4791,4690,0.1445
saturation,2.0,4,190.132,7.954,20.045,101.639,4796,4684,0.1436
oversaturation,2.5,0,516.275,4.534,64.629,208.379,5373,5077,0.232
oversaturation,2.5,1,544.086,4.438,67.676,217.097,5368,5065,0.2327
oversaturation,2.5,2,495.468,4.826,60.914,198.631,5386,5083,0.2301
oversaturation,2.5,3,546.279,4.36,68.307,219.253,5379,5080,0.2311
oversaturation,2.5,4,572.834,4.274,70.174,223.534,5348,5051,0.2356
