demand_scenario,demand_multiplier,seed,max_central_occupancy_ratio,mean_central_occupancy_ratio,spillback_freq_80,severe_spillback_freq_95,max_total_queue,total_departed,total_arrived,buffered_ratio
low,0.5,0,0.0806,0.035,0.0,0.0,16,1396,1379,0.0
low,0.5,1,0.0806,0.0351,0.0,0.0,16,1396,1382,0.0
low,0.5,2,0.0806,0.0352,0.0,0.0,14,1396,1377,0.0
low,0.5,3,0.0806,0.0355,0.0,0.0,15,1396,1379,0.0
low,0.5,4,0.0806,0.0341,0.0,0.0,16,1396,1382,0.0
medium,1.0,0,0.1343,0.0717,0.0,0.0,22,2800,2752,0.0
medium,1.0,1,0.1477,0.0698,0.0,0.0,25,2800,2757,0.0
medium,1.0,2,0.1343,0.0713,0.0,0.0,25,2800,2751,0.0
medium,1.0,3,0.1343,0.0713,0.0,0.0,24,2800,2750,0.0
medium,1.0,4,0.1477,0.0708,0.0,0.0,22,2800,2757,0.0
high,1.5,0,0.188,0.1031,0.0,0.0,37,4053,3982,0.0359
high,1.5,1,0.1746,0.1042,0.0,0.0,37,4051,3973,0.0364
high,1.5,2,0.188,0.1036,0.0,0.0,37,4053,3966,0.0359
high,1.5,3,0.188,0.1035,0.0,0.0,35,4051,3971,0.0364
high,1.5,4,0.1746,0.106,0.0,0.0,35,4054,3984,0.0357
saturation,2.0,0,0.2015,0.1217,0.0,0.0,43,4795,4704,0.1437
saturation,2.0,1,0.2149,0.1222,0.0,0.0,39,4796,4698,0.1436
saturation,2.0,2,0.2015,0.1209,0.0,0.0,48,4790,4694,0.1446
saturation,2.0,3,0.2015,0.1212,0.0,0.0,50,4791,4690,0.1445
saturation,2.0,4,0.188,0.1205,0.0,0.0,39,4796,4684,0.1436
oversaturation,2.5,0,0.2149,0.1309,0.0,0.0,134,5373,5077,0.232
oversaturation,2.5,1,0.2283,0.1261,0.0,0.0,143,5368,5065,0.2327
oversaturation,2.5,2,0.2149,0.1301,0.0,0.0,148,5386,5083,0.2301
oversaturation,2.5,3,0.2418,0.1297,0.0,0.0,141,5379,5080,0.2311
oversaturation,2.5,4,0.2015,0.1259,0.0,0.0,156,5348,5051,0.2356
