distance_m,seed,mean_waiting_time,mean_speed,mean_queue,mean_vehicle_count,total_departed,total_arrived,buffered_ratio
100,0,75.922,9.044,6.657,46.424,2800,2766,0.0
100,1,69.595,9.071,6.536,46.249,2800,2758,0.0
100,2,70.668,9.042,6.506,46.392,2800,2760,0.0
100,3,67.512,9.126,6.256,45.969,2800,2762,0.0
100,4,73.92,9.06,6.685,46.325,2800,2759,0.0
200,0,108.379,9.042,7.889,50.287,2800,2755,0.0
200,1,100.854,9.091,7.634,50.052,2800,2756,0.0
200,2,109.672,9.054,7.798,50.241,2800,2756,0.0
200,3,105.439,9.112,7.661,49.979,2800,2758,0.0
200,4,104.716,9.115,7.662,49.926,2800,2761,0.0
300,0,154.063,8.984,9.405,54.597,2800,2752,0.0
300,1,142.218,9.077,8.962,54.093,2800,2757,0.0
300,2,160.852,8.923,9.706,54.996,2800,2751,0.0
300,3,148.635,9.027,9.229,54.278,2800,2750,0.0
300,4,139.205,9.11,8.92,53.891,2800,2757,0.0
500,0,231.403,8.93,11.849,63.055,2800,2745,0.0
500,1,258.7,8.801,12.705,63.726,2800,2733,0.0
500,2,227.131,8.94,11.77,62.927,2800,2746,0.0
500,3,238.371,8.873,12.274,63.343,2800,2749,0.0
500,4,230.694,9.013,11.597,62.316,2800,2742,0.0
750,0,456.188,8.384,18.687,77.383,2800,2727,0.0
750,1,444.187,8.435,18.242,76.924,2800,2735,0.0
750,2,479.414,8.317,19.099,77.916,2800,2719,0.0
750,3,464.831,8.367,18.911,77.498,2800,2732,0.0
750,4,449.056,8.443,18.394,76.882,2800,2728,0.0
1000,0,609.732,8.32,22.403,88.484,2800,2725,0.0
1000,1,646.101,8.247,23.221,89.226,2800,2721,0.0
1000,2,623.851,8.292,22.456,88.647,2800,2723,0.0
1000,3,584.28,8.416,21.622,87.417,2800,2722,0.0
1000,4,616.921,8.332,22.491,88.397,2800,2722,0.0
