controller,seed,rows,mean_vehicle_count,max_vehicle_count,mean_total_waiting_time,max_total_waiting_time,mean_speed,min_mean_speed,mean_total_queue,max_total_queue
VDN,0,3599,63.429,86,248.797,1281.0,7.908,2.144,15.615,47
VDN,1,3599,62.879,87,240.901,1133.0,7.969,1.871,15.26,43
VDN,2,3599,63.168,87,242.841,1099.0,7.939,1.928,15.346,43
VDN,3,3599,62.75,89,238.667,1180.0,7.986,2.068,15.175,44
VDN,4,3599,62.625,86,238.252,1077.0,7.997,1.995,15.144,43
VDN,5,3599,62.77,87,238.926,1077.0,7.986,2.049,15.183,42
VDN,6,3599,63.008,87,243.899,1152.0,7.96,1.98,15.368,44
VDN,7,3599,62.697,86,238.018,1170.0,7.992,2.173,15.136,45
VDN,8,3599,62.824,86,241.295,1093.0,7.978,1.946,15.274,42
VDN,9,3599,62.866,87,240.754,1118.0,7.974,2.216,15.252,42
