N,distance_m,demand,multiplier,simultaneous_waiting_time,best_offset_waiting_time,best_offset_s,offset_coordination_gain_percent,qmix_waiting_time,qmix_coordination_gain_percent,qmix_gap_percent,dchf_regime,buffered_ratio_benchmark,buffered_ratio_qmix,final_capacity_regime,total_teleports_benchmark,total_teleports_qmix
5,200,low,0.5,236.314,152.014,20,35.673,425.279,-79.964,179.763,Outside coordination horizon,0.0,0.005,Unconstrained,0,0
5,200,medium,1.0,557.974,366.63,15,34.293,511.378,8.351,39.481,Outside coordination horizon,0.0,0.003,Unconstrained,0,0
5,200,high,1.5,1011.147,796.492,80,21.229,970.199,4.05,21.809,Outside coordination horizon,0.0,0.002,Unconstrained,0,0
5,200,saturation,2.0,1507.455,1060.335,50,29.661,1144.769,24.06,7.963,Marginal coordination zone,0.0,0.001,Unconstrained,0,0
5,300,low,0.5,392.117,191.324,50,51.207,215.322,45.087,12.543,Outside coordination horizon,0.0,0.005,Unconstrained,0,0
5,300,medium,1.0,700.663,362.068,40,48.325,326.803,53.358,-9.74,Effective coordination zone,0.0,0.003,Unconstrained,0,0
5,300,high,1.5,1083.939,515.301,45,52.46,909.433,16.099,76.486,Outside coordination horizon,0.0,0.002,Unconstrained,0,0
5,300,saturation,2.0,1728.154,673.879,45,61.006,1722.719,0.315,155.642,Outside coordination horizon,0.0,0.001,Unconstrained,0,0
5,500,low,0.5,479.818,82.248,45,82.859,596.192,-24.254,624.871,Outside coordination horizon,0.0,0.005,Unconstrained,0,0
5,500,medium,1.0,1142.759,212.672,45,81.39,689.846,39.633,224.371,Outside coordination horizon,0.0,0.003,Unconstrained,0,0
5,500,high,1.5,1768.205,373.255,45,78.891,1031.402,41.67,176.326,Outside coordination horizon,0.0,0.002,Unconstrained,0,0
5,500,saturation,2.0,2377.194,552.567,45,76.755,1409.688,40.7,155.116,Outside coordination horizon,0.0,0.001,Unconstrained,0,0
5,750,low,0.5,290.42,195.964,30,32.524,387.431,-33.404,97.705,Outside coordination horizon,0.0,0.005,Unconstrained,0,0
5,750,medium,1.0,575.79,468.542,60,18.626,478.192,16.95,2.06,Effective coordination zone,0.0,0.003,Unconstrained,0,0
5,750,high,1.5,797.972,797.972,0,0.0,696.35,12.735,-12.735,Effective coordination zone,0.0,0.002,Unconstrained,0,0
5,750,saturation,2.0,1031.999,1031.999,0,0.0,1144.273,-10.879,10.879,Outside coordination horizon,0.0,0.001,Unconstrained,0,0
