N,distance_m,demand,multiplier,offset,mean_total_waiting_time,max_total_waiting_time,mean_speed,mean_total_queue,max_total_queue,mean_vehicle_count,max_vehicle_count,total_expected,total_departed,total_arrived,buffered_ratio,capacity_regime,total_teleports
5,200,low,0.5,0,236.314,1034.0,8.123,13.984,31,49.334,60,2300.0,2300,2253,0.0,Unconstrained,0
5,200,low,0.5,5,332.378,964.0,7.548,17.981,34,53.789,69,2300.0,2300,2244,0.0,Unconstrained,0
5,200,low,0.5,10,235.745,499.0,8.153,14.414,27,49.932,65,2300.0,2300,2253,0.0,Unconstrained,0
5,200,low,0.5,15,166.03,416.0,8.644,11.62,22,46.99,59,2300.0,2300,2256,0.0,Unconstrained,0
5,200,low,0.5,20,152.014,438.0,8.665,10.683,25,46.992,61,2300.0,2300,2258,0.0,Unconstrained,0
5,200,low,0.5,25,409.041,830.0,6.658,21.945,37,60.586,75,2300.0,2300,2243,0.0,Unconstrained,0
5,200,low,0.5,30,377.194,862.0,6.518,23.091,45,62.151,72,2300.0,2300,2244,0.0,Unconstrained,0
5,200,low,0.5,35,319.434,577.0,6.607,22.457,36,61.429,72,2300.0,2300,2240,0.0,Unconstrained,0
5,200,low,0.5,40,295.162,674.0,6.544,22.589,51,61.658,74,2300.0,2300,2246,0.0,Unconstrained,0
5,200,low,0.5,45,260.82,1080.0,6.535,21.456,53,60.354,74,2300.0,2300,2245,0.0,Unconstrained,0
5,200,low,0.5,50,293.347,672.0,6.541,22.562,50,61.602,76,2300.0,2300,2243,0.0,Unconstrained,0
5,200,low,0.5,55,324.604,595.0,6.576,22.825,36,61.904,74,2300.0,2300,2243,0.0,Unconstrained,0
5,200,low,0.5,60,363.568,889.0,6.602,22.686,46,61.652,76,2300.0,2300,2242,0.0,Unconstrained,0
5,200,low,0.5,65,383.501,786.0,6.835,21.211,35,59.709,74,2300.0,2300,2247,0.0,Unconstrained,0
5,200,low,0.5,70,175.695,482.0,8.391,11.454,25,48.032,64,2300.0,2300,2255,0.0,Unconstrained,0
5,200,low,0.5,75,174.684,398.0,8.566,11.916,23,47.369,60,2300.0,2300,2258,0.0,Unconstrained,0
5,200,low,0.5,80,223.811,505.0,8.261,13.818,29,49.212,63,2300.0,2300,2256,0.0,Unconstrained,0
5,200,low,0.5,85,331.578,947.0,7.554,17.894,35,53.676,69,2300.0,2300,2251,0.0,Unconstrained,0
5,200,low,0.5,90,236.314,1034.0,8.123,13.984,31,49.334,60,2300.0,2300,2253,0.0,Unconstrained,0
5,200,medium,1.0,0,557.974,2257.0,7.728,31.824,68,104.018,134,4600.0,4600,4486,0.0,Unconstrained,0
5,200,medium,1.0,5,673.602,1807.0,7.378,36.836,69,110.182,137,4600.0,4600,4480,0.0,Unconstrained,0
5,200,medium,1.0,10,488.124,934.0,7.937,29.917,53,102.668,125,4600.0,4600,4494,0.0,Unconstrained,0
5,200,medium,1.0,15,366.63,929.0,8.41,24.595,45,96.741,114,4600.0,4600,4504,0.0,Unconstrained,0
5,200,medium,1.0,20,586.346,1241.0,7.451,33.595,61,109.163,138,4600.0,4600,4501,0.0,Unconstrained,0
5,200,medium,1.0,25,794.655,1413.0,6.572,43.648,63,123.899,146,4600.0,4600,4484,0.0,Unconstrained,0
5,200,medium,1.0,30,709.858,1537.0,6.479,44.609,74,125.731,140,4600.0,4600,4486,0.0,Unconstrained,0
5,200,medium,1.0,35,600.37,1060.0,6.514,43.654,67,125.041,143,4600.0,4600,4479,0.0,Unconstrained,0
5,200,medium,1.0,40,562.796,1115.0,6.432,44.37,86,125.976,147,4600.0,4600,4483,0.0,Unconstrained,0
5,200,medium,1.0,45,535.865,1998.0,6.35,44.068,106,125.432,150,4600.0,4600,4486,0.0,Unconstrained,0
5,200,medium,1.0,50,557.912,1130.0,6.443,44.214,85,125.616,147,4600.0,4600,4478,0.0,Unconstrained,0
5,200,medium,1.0,55,624.998,1081.0,6.449,44.913,67,126.418,142,4600.0,4600,4478,0.0,Unconstrained,0
5,200,medium,1.0,60,690.984,1495.0,6.514,43.899,75,125.077,144,4600.0,4600,4480,0.0,Unconstrained,0
5,200,medium,1.0,65,796.634,1410.0,6.555,43.871,63,124.162,144,4600.0,4600,4488,0.0,Unconstrained,0
