controller,offset,mean_vehicle_count,max_vehicle_count,mean_total_waiting_time,max_total_waiting_time,mean_speed,mean_total_queue,max_total_queue,total_expected,total_departed,total_arrived,buffered_ratio
Simultaneous Fixed-Time,0,161.292,196,758.132,3125.0,7.773,45.947,112,4600.0,4600,4437,0.0
Progression Offset 5s,5,159.682,185,733.229,2322.0,7.873,44.244,113,4600.0,4600,4437,0.0
Progression Offset 10s,10,166.415,197,883.921,1903.0,7.584,49.937,98,4600.0,4600,4435,0.0
Progression Offset 15s,15,172.984,199,1000.939,1876.0,7.286,55.153,95,4600.0,4600,4421,0.0
Progression Offset 20s,20,170.276,196,903.717,1392.0,7.386,52.332,77,4600.0,4600,4422,0.0
Progression Offset 25s,25,163.991,188,704.118,1258.0,7.669,45.811,72,4600.0,4600,4442,0.0
Progression Offset 30s,30,163.045,183,580.698,1317.0,7.717,41.787,74,4600.0,4600,4446,0.0
Progression Offset 35s,35,161.229,180,455.061,888.0,7.803,37.874,65,4600.0,4600,4442,0.0
Progression Offset 40s,40,160.562,183,389.143,745.0,7.813,36.687,73,4600.0,4600,4441,0.0
Progression Offset 45s,45,159.512,189,360.505,1496.0,7.8,35.586,110,4600.0,4600,4450,0.0
Progression Offset 50s,50,158.533,182,371.003,765.0,7.904,34.542,73,4600.0,4600,4448,0.0
Progression Offset 55s,55,157.248,177,417.873,872.0,8.003,33.995,59,4600.0,4600,4449,0.0
Progression Offset 60s,60,156.849,176,519.319,1232.0,8.02,36.759,66,4600.0,4600,4446,0.0
Progression Offset 65s,65,155.889,179,617.681,1190.0,8.068,39.849,68,4600.0,4600,4445,0.0
Progression Offset 70s,70,161.782,190,794.098,1349.0,7.774,45.861,73,4600.0,4600,4446,0.0
Progression Offset 75s,75,165.827,193,896.849,1767.0,7.606,49.499,87,4600.0,4600,4441,0.0
Progression Offset 80s,80,158.979,192,764.159,1786.0,7.931,43.993,89,4600.0,4600,4446,0.0
Progression Offset 85s,85,157.855,182,701.278,2037.0,7.95,42.79,106,4600.0,4600,4439,0.0
