offset,vehicle_count_mean,vehicle_count_max,total_waiting_time_mean,total_waiting_time_max,mean_speed_mean,mean_speed_max,total_queue_mean,total_queue_max
0,61.872,79,221.901,967.0,8.136,11.907,14.47,39
5,61.859,80,221.396,942.0,8.149,11.907,14.438,39
10,63.998,81,262.541,996.0,7.921,11.907,16.23,40
15,65.272,79,281.082,1022.0,7.81,11.907,17.211,41
20,65.302,77,268.215,944.0,7.846,11.508,16.996,41
25,63.816,75,227.012,815.0,8.048,11.017,15.574,39
30,63.793,75,201.284,724.0,8.063,11.386,14.664,36
35,64.234,78,186.674,619.0,8.007,11.2,14.342,35
40,64.372,77,174.244,613.0,7.98,11.017,14.321,37
45,64.62,76,171.501,643.0,7.954,11.153,14.526,39
50,64.759,75,176.357,549.0,7.948,11.526,14.767,37
55,65.075,76,191.519,588.0,7.916,11.309,15.18,36
60,65.408,75,217.646,716.0,7.872,11.451,16.01,41
65,66.117,78,254.298,840.0,7.774,11.011,17.337,43
70,67.751,79,303.476,1023.0,7.56,11.907,18.972,45
75,67.651,82,316.203,1188.0,7.54,11.907,19.072,45
80,66.004,81,293.61,1107.0,7.698,11.907,17.83,43
85,63.856,81,259.302,1039.0,7.914,11.907,16.159,40
90,61.872,79,221.901,967.0,8.136,11.907,14.47,39
