offset,vehicle_count_mean,vehicle_count_max,total_waiting_time_mean,total_waiting_time_max,mean_speed_mean,mean_speed_max,total_queue_mean,total_queue_max
0,64.85,83,270.563,1132.0,7.452,11.933,17.334,45
5,64.874,83,270.008,1142.0,7.452,11.933,17.296,43
10,64.589,82,264.043,1057.0,7.496,11.933,17.118,43
15,76.102,105,434.944,1225.0,6.447,11.933,26.571,62
20,72.321,97,374.507,1012.0,6.768,11.815,23.543,54
25,69.034,86,318.866,868.0,7.079,11.815,20.671,46
30,62.475,75,202.934,621.0,7.806,11.815,14.875,35
35,61.878,73,188.374,583.0,7.869,11.815,14.197,31
40,61.521,73,179.154,581.0,7.897,11.815,13.745,33
45,61.105,75,168.585,608.0,7.955,11.815,13.274,32
50,61.757,74,176.808,634.0,7.882,11.815,13.816,31
55,62.385,75,189.145,571.0,7.822,11.815,14.442,36
60,63.67,78,209.562,642.0,7.676,11.815,15.558,38
65,69.603,85,304.026,880.0,7.02,11.895,20.302,49
70,80.904,109,462.755,1136.0,6.096,11.933,29.134,65
75,86.201,123,570.399,2175.0,5.656,11.933,34.364,85
80,70.634,89,340.776,1141.0,6.88,11.933,21.382,51
85,64.989,82,270.108,1049.0,7.443,11.933,17.401,48
90,64.85,83,270.563,1132.0,7.452,11.933,17.334,45
