N,distance_m,demand,multiplier,seed,controller,mean_total_waiting_time,max_total_waiting_time,mean_speed,mean_total_queue,max_total_queue,mean_vehicle_count,max_vehicle_count,total_expected,total_departed,total_arrived,buffered_ratio,capacity_regime,total_teleports
5,200,low,0.5,0,QMIX N5 transferred,425.279,1904.0,6.756,20.961,56,58.894,78,2300.0,2288,2250,0.005,Unconstrained,0
5,200,medium,1.0,0,QMIX N5 transferred,511.378,2182.0,6.872,37.864,90,116.839,142,4600.0,4588,4481,0.003,Unconstrained,0
5,200,high,1.5,0,QMIX N5 transferred,970.199,3762.0,7.308,53.949,113,165.799,208,6900.0,6888,6730,0.002,Unconstrained,0
5,200,saturation,2.0,0,QMIX N5 transferred,1144.769,3856.0,6.749,77.345,164,239.37,275,9200.0,9188,8943,0.001,Unconstrained,0
5,300,low,0.5,0,QMIX N5 transferred,215.322,1499.0,8.444,16.434,58,70.904,91,2300.0,2288,2233,0.005,Unconstrained,0
5,300,medium,1.0,0,QMIX N5 transferred,326.803,1392.0,8.294,31.209,105,144.65,179,4600.0,4588,4462,0.003,Unconstrained,0
5,300,high,1.5,0,QMIX N5 transferred,909.433,3535.0,8.267,55.986,130,219.991,267,6900.0,6888,6681,0.002,Unconstrained,0
5,300,saturation,2.0,0,QMIX N5 transferred,1722.719,6416.0,7.635,95.623,207,317.549,382,9200.0,9188,8863,0.001,Unconstrained,0
5,500,low,0.5,0,QMIX N5 transferred,596.192,3132.0,8.939,27.356,76,112.754,144,2300.0,2288,2186,0.005,Unconstrained,0
5,500,medium,1.0,0,QMIX N5 transferred,689.846,2655.0,9.57,38.829,85,210.202,253,4600.0,4588,4390,0.003,Unconstrained,0
5,500,high,1.5,0,QMIX N5 transferred,1031.402,3641.0,9.399,59.379,130,320.622,380,6900.0,6888,6574,0.002,Unconstrained,0
5,500,saturation,2.0,0,QMIX N5 transferred,1409.688,4473.0,9.194,82.346,174,436.417,500,9200.0,9188,8759,0.001,Unconstrained,0
5,750,low,0.5,0,QMIX N5 transferred,387.431,2678.0,10.111,23.108,80,146.67,175,2300.0,2288,2151,0.005,Unconstrained,0
5,750,medium,1.0,0,QMIX N5 transferred,478.192,2754.0,10.4,35.684,123,285.153,327,4600.0,4588,4310,0.003,Unconstrained,0
5,750,high,1.5,0,QMIX N5 transferred,696.35,2348.0,10.459,48.534,130,425.463,483,6900.0,6888,6463,0.002,Unconstrained,0
5,750,saturation,2.0,0,QMIX N5 transferred,1144.273,3455.0,10.07,76.643,172,588.399,668,9200.0,9188,8591,0.001,Unconstrained,0
