controller,seed,mean_waiting,mean_speed,mean_queue,mean_vehicles
Best Offset Fixed-Time 45s,0,169.31036398999723,7.961126424006669,14.384829119199777,64.64601278132815
Best Offset Fixed-Time 45s,1,170.12503473186996,7.9714870797443735,14.39899972214504,64.53459294248403
Best Offset Fixed-Time 45s,2,167.49791608780217,7.963006390664074,14.29424840233398,64.61433731592109
Best Offset Fixed-Time 45s,3,170.8641289247013,7.964968880244512,14.470686301750487,64.56210058349542
Best Offset Fixed-Time 45s,4,172.21783828841345,7.96610558488469,14.542650736315643,64.54292859127536
Best Offset Fixed-Time 45s,5,169.05668241178105,7.9754034454015,14.410947485412615,64.47263128646847
Best Offset Fixed-Time 45s,6,170.68963601000277,7.962462072798,14.471519866629619,64.6146151708808
Best Offset Fixed-Time 45s,7,169.1508752431231,7.977520144484579,14.38566268407891,64.46401778271742
Best Offset Fixed-Time 45s,8,169.47485412614614,7.978306196165601,14.406501806057237,64.47568769102529
Best Offset Fixed-Time 45s,9,169.42873020283412,7.976213670464018,14.395109752709086,64.49708252292304
Max Pressure,0,151.10694444444445,9.25466229047243,9.580555555555556,56.19777777777778
Max Pressure,1,152.80416666666667,9.252302165054994,9.633333333333333,56.24611111111111
Max Pressure,2,149.07805555555555,9.258084427993756,9.506388888888889,56.19305555555555
Max Pressure,3,149.3325,9.294629172107074,9.530277777777778,55.925555555555555
Max Pressure,4,145.79833333333335,9.342742415922887,9.403333333333334,55.675
Max Pressure,5,147.49527777777777,9.296050301139369,9.492777777777778,55.95444444444445
Max Pressure,6,149.78305555555556,9.275865750453733,9.532222222222222,56.06055555555555
Max Pressure,7,149.50861111111112,9.281043920731873,9.5325,56.028333333333336
Max Pressure,8,155.21416666666667,9.279416343829983,9.651111111111112,56.05388888888889
Max Pressure,9,148.99194444444444,9.292838596091553,9.491666666666667,55.95916666666667
QMIX V2,0,178.46429563767714,7.881930814115032,14.786329535982217,65.29924979160879
QMIX V2,1,175.22256182272852,7.922751875520978,14.640455682133926,64.9116421228119
QMIX V2,2,177.09141428174493,7.905003612114476,14.726035009724924,65.08419005279244
QMIX V2,3,177.3020283412059,7.923506807446513,14.758266185051403,64.91775493192553
QMIX V2,4,177.95359822172827,7.929253403723257,14.781050291747707,64.86273964990275
QMIX V2,5,176.42734092803556,7.928254237288136,14.70575159766602,64.87246457349264
QMIX V2,6,177.0102806335093,7.9126271186440675,14.723256460127812,65.03723256460128
QMIX V2,7,177.65823839955544,7.9144398444012225,14.731314253959432,65.0152820227841
QMIX V2,8,178.86996387885523,7.90192386774104,14.810502917477077,65.11058627396498
QMIX V2,9,176.90858571825507,7.917688246735204,14.732425673798277,64.96026674076133
