seed,Best Offset Fixed-Time 45s,QMIX V2 trained on Scenario B,QMIX V2 transferred
0,176.34592942484022,263.5387607668797,178.03084190052792
1,174.38093914976383,258.33620450125034,177.36454570714088
2,171.3550986385107,254.74770769658238,176.80716865796055
3,172.30675187552097,265.7485412614615,181.5037510419561
4,171.17754931925535,258.26173937204777,179.42122811892193
5,170.19894415115309,257.6357321478188,179.3098082800778
6,171.58766323978884,257.0905807168658,175.94887468741317
7,173.36704640177828,258.133648235621,178.6398999722145
8,170.8207835509864,262.96610169491527,178.83550986385106
9,169.42900805779382,253.18421783828842,178.68602389552655
