d23,offset_j2,offset_j3,rows,mean_vehicle_count,max_vehicle_count,mean_total_waiting_time,max_total_waiting_time,mean_speed,min_mean_speed,mean_total_queue,max_total_queue,total_departed,total_arrived,final_active,final_buffered,buffered_ratio
100,0,0,3600,80.717,102,378.779,1725.0,7.601,0.0,22.444,59,3400,3316,84,0,0.0
100,0,5,3600,80.566,101,374.193,1562.0,7.626,0.0,22.28,56,3400,3317,83,0,0.0
100,0,10,3600,80.814,100,372.656,1477.0,7.63,0.0,22.437,54,3400,3318,82,0,0.0
100,0,15,3600,80.537,99,344.472,1389.0,7.666,0.0,21.708,53,3400,3314,86,0,0.0
100,0,20,3600,80.136,99,320.693,1281.0,7.703,0.0,21.292,52,3400,3312,88,0,0.0
100,0,25,3600,80.7,104,332.538,1285.0,7.636,0.0,21.815,52,3400,3308,92,0,0.0
100,0,30,3600,82.67,112,361.421,1359.0,7.448,0.0,22.978,51,3400,3306,94,0,0.0
100,0,35,3600,127.829,194,1397.437,5580.0,5.0,0.0,60.431,141,3400,3213,187,0,0.0
100,0,40,3600,129.146,195,1421.124,5569.0,4.953,0.0,61.617,147,3400,3213,187,0,0.0
100,0,45,3600,129.133,193,1426.293,5549.0,4.97,0.0,61.739,148,3399,3213,186,1,0.0
100,0,50,3600,129.139,194,1428.433,5448.0,4.988,0.0,61.649,144,3399,3215,184,1,0.0
100,0,55,3600,129.298,191,1444.034,5436.0,4.998,0.0,61.774,145,3399,3215,184,1,0.0
100,0,60,3600,84.911,102,372.542,1065.0,7.392,0.0,24.597,51,3400,3312,88,0,0.0
100,0,65,3600,81.123,99,305.856,981.0,7.691,0.0,21.38,48,3400,3318,82,0,0.0
100,0,70,3600,81.311,98,323.946,973.0,7.649,0.0,21.594,51,3400,3313,87,0,0.0
100,0,75,3600,81.413,100,348.937,1076.0,7.612,0.0,21.974,50,3400,3313,87,0,0.0
100,0,80,3600,81.147,98,371.512,1279.0,7.608,0.0,22.588,53,3400,3314,86,0,0.0
100,0,85,3600,80.558,100,369.832,1433.0,7.632,0.0,22.214,53,3400,3316,84,0,0.0
100,0,90,3600,80.717,102,378.779,1725.0,7.601,0.0,22.444,59,3400,3316,84,0,0.0
100,5,0,3600,80.724,101,376.395,1672.0,7.621,0.0,22.388,60,3400,3317,83,0,0.0
100,5,5,3600,80.596,100,376.451,1466.0,7.63,0.0,22.346,55,3400,3318,82,0,0.0
100,5,10,3600,80.637,101,372.385,1462.0,7.647,0.0,22.306,55,3400,3318,82,0,0.0
100,5,15,3600,78.977,99,327.249,1194.0,7.828,0.0,20.765,49,3400,3318,82,0,0.0
100,5,20,3600,78.478,97,300.796,1056.0,7.879,0.0,19.958,47,3400,3317,83,0,0.0
100,5,25,3600,78.004,98,281.226,991.0,7.922,0.0,19.486,47,3400,3317,83,0,0.0
100,5,30,3600,78.924,103,300.391,1012.0,7.815,0.0,20.145,46,3400,3316,84,0,0.0
100,5,35,3600,83.032,108,371.998,1261.0,7.449,0.0,23.131,51,3400,3312,88,0,0.0
100,5,40,3600,131.512,197,1495.55,5394.0,4.87,0.0,63.956,151,3400,3215,185,0,0.0
100,5,45,3600,131.48,194,1473.453,5451.0,4.881,0.0,63.795,151,3400,3216,184,0,0.0
100,5,50,3600,131.493,193,1479.572,5351.0,4.893,0.0,63.962,149,3400,3216,184,0,0.0
100,5,55,3600,131.588,192,1485.015,5279.0,4.905,0.0,63.971,148,3400,3217,183,0,0.0
100,5,60,3600,131.626,191,1501.72,5107.0,4.914,0.0,64.036,145,3400,3219,181,0,0.0
100,5,65,3600,86.041,103,389.532,1043.0,7.289,0.0,25.556,55,3400,3318,82,0,0.0
100,5,70,3600,84.228,100,363.136,1041.0,7.415,0.0,23.999,56,3400,3313,87,0,0.0
100,5,75,3600,83.959,97,380.628,1166.0,7.41,0.0,23.975,55,3400,3314,86,0,0.0
100,5,80,3600,83.594,100,398.531,1400.0,7.412,0.0,23.879,56,3400,3315,85,0,0.0
100,5,85,3600,80.741,99,369.499,1397.0,7.64,0.0,22.282,54,3400,3316,84,0,0.0
100,5,90,3600,80.724,101,376.395,1672.0,7.621,0.0,22.388,60,3400,3317,83,0,0.0
100,10,0,3600,80.75,99,374.772,1631.0,7.648,0.0,22.366,59,3400,3319,81,0,0.0
100,10,5,3600,80.9,102,380.385,1486.0,7.625,0.0,22.548,58,3400,3320,80,0,0.0
100,10,10,3600,80.806,101,374.609,1365.0,7.645,0.0,22.382,54,3400,3319,81,0,0.0
100,10,15,3600,78.971,99,328.52,1074.0,7.837,0.0,20.729,47,3400,3321,79,0,0.0
100,10,20,3600,77.71,99,293.862,957.0,7.978,0.0,19.498,45,3400,3323,77,0,0.0
100,10,25,3600,77.395,96,277.147,885.0,8.007,0.0,18.968,44,3400,3322,78,0,0.0
100,10,30,3600,77.149,97,263.883,833.0,8.028,0.0,18.527,43,3400,3323,77,0,0.0
100,10,35,3600,80.451,105,325.845,1154.0,7.702,0.0,21.061,51,3400,3320,80,0,0.0
100,10,40,3600,85.595,107,407.847,1263.0,7.266,0.0,24.983,57,3400,3315,85,0,0.0
100,10,45,3600,133.915,196,1533.306,5367.0,4.791,0.0,65.996,155,3400,3218,182,0,0.0
100,10,50,3600,134.034,194,1518.187,5224.0,4.799,0.0,66.047,152,3400,3219,181,0,0.0
100,10,55,3600,133.995,194,1516.469,5075.0,4.809,0.0,66.023,151,3400,3219,181,0,0.0
100,10,60,3600,134.191,193,1525.931,5039.0,4.811,0.0,66.169,150,3400,3221,179,0,0.0
100,10,65,3600,134.621,192,1554.606,4871.0,4.793,0.0,66.598,147,3400,3222,178,0,0.0
100,10,70,3600,88.364,101,428.588,1167.0,7.091,0.0,27.434,61,3400,3312,88,0,0.0
100,10,75,3600,87.324,99,426.907,1268.0,7.151,0.0,26.704,58,3400,3313,87,0,0.0
100,10,80,3600,87.045,103,449.992,1512.0,7.147,0.0,26.668,60,3400,3314,86,0,0.0
100,10,85,3600,84.66,101,423.852,1572.0,7.318,0.0,24.818,59,3400,3317,83,0,0.0
100,10,90,3600,80.75,99,374.772,1631.0,7.648,0.0,22.366,59,3400,3319,81,0,0.0
100,15,0,3600,84.776,103,428.802,1676.0,7.316,0.0,24.956,62,3400,3318,82,0,0.0
100,15,5,3600,80.666,99,372.924,1439.0,7.677,0.0,22.249,55,3400,3320,80,0,0.0
100,15,10,3600,80.76,99,371.457,1299.0,7.676,0.0,22.279,54,3400,3321,79,0,0.0
100,15,15,3600,79.132,97,330.99,1099.0,7.843,0.0,20.801,49,3400,3321,79,0,0.0
100,15,20,3600,77.833,96,298.863,993.0,7.984,0.0,19.607,47,3400,3323,77,0,0.0
100,15,25,3600,77.215,95,281.125,930.0,8.061,0.0,18.965,46,3400,3323,77,0,0.0
100,15,30,3600,77.361,97,276.248,873.0,8.047,0.0,18.854,46,3400,3324,76,0,0.0
100,15,35,3600,78.266,98,280.201,840.0,7.948,0.0,19.095,46,3400,3324,76,0,0.0
100,15,40,3600,82.575,101,351.706,979.0,7.544,0.0,22.356,52,3400,3322,78,0,0.0
100,15,45,3600,96.897,120,549.661,1716.0,6.456,0.0,33.737,76,3400,3298,102,0,0.0
100,15,50,3600,136.746,197,1577.12,5088.0,4.697,0.0,68.244,157,3400,3219,181,0,0.0
100,15,55,3600,136.749,197,1568.639,4976.0,4.704,0.0,68.341,156,3400,3219,181,0,0.0
100,15,60,3600,137.099,195,1575.466,4950.0,4.694,0.0,68.657,155,3400,3221,179,0,0.0
100,15,65,3600,137.358,194,1585.355,4790.0,4.687,0.0,68.827,150,3400,3222,178,0,0.0
100,15,70,3600,137.669,193,1607.276,4745.0,4.679,0.0,69.062,146,3400,3216,184,0,0.0
100,15,75,3600,90.612,104,474.041,1358.0,6.902,0.0,29.355,61,3400,3313,87,0,0.0
100,15,80,3600,90.02,105,488.307,1607.0,6.927,0.0,29.033,65,3400,3313,87,0,0.0
100,15,85,3600,87.784,104,461.371,1666.0,7.081,0.0,27.157,63,3400,3316,84,0,0.0
100,15,90,3600,84.776,103,428.802,1676.0,7.316,0.0,24.956,62,3400,3318,82,0,0.0
100,20,0,3600,86.104,105,422.691,1756.0,7.222,0.0,25.665,66,3400,3321,79,0,0.0
100,20,5,3600,83.308,100,389.396,1515.0,7.461,0.0,23.511,61,3400,3322,78,0,0.0
100,20,10,3600,80.431,98,361.268,1344.0,7.73,0.0,21.936,55,3400,3324,76,0,0.0
100,20,15,3600,78.857,96,319.566,1064.0,7.896,0.0,20.416,49,3400,3324,76,0,0.0
100,20,20,3600,77.982,98,297.184,954.0,7.995,0.0,19.591,47,3400,3326,74,0,0.0
100,20,25,3600,77.478,96,282.668,881.0,8.06,0.0,19.045,46,3400,3326,74,0,0.0
100,20,30,3600,76.806,94,266.669,799.0,8.146,0.0,18.424,45,3400,3327,73,0,0.0
100,20,35,3600,77.483,95,272.272,791.0,8.067,0.0,18.677,45,3400,3328,72,0,0.0
100,20,40,3600,78.836,96,278.951,765.0,7.914,0.0,19.1,45,3400,3328,72,0,0.0
100,20,45,3600,82.682,99,337.507,1120.0,7.56,0.0,22.154,54,3400,3325,75,0,0.0
100,20,50,3600,94.683,118,504.718,1455.0,6.628,0.0,31.711,71,3400,3304,96,0,0.0
100,20,55,3600,133.728,195,1490.709,4579.0,4.823,0.0,65.652,152,3400,3226,174,0,0.0
100,20,60,3600,134.702,195,1498.346,4575.0,4.789,0.0,66.438,152,3400,3227,173,0,0.0
100,20,65,3600,134.993,193,1502.631,4449.0,4.777,0.0,66.681,149,3400,3227,173,0,0.0
100,20,70,3600,135.324,192,1515.165,4388.0,4.762,0.0,66.914,144,3400,3223,177,0,0.0
100,20,75,3600,135.424,193,1539.771,4342.0,4.755,0.0,67.159,141,3400,3222,178,0,0.0
100,20,80,3600,91.917,107,504.705,1561.0,6.791,0.0,30.463,65,3400,3315,85,0,0.0
100,20,85,3600,89.195,108,461.148,1690.0,6.983,0.0,28.12,65,3400,3319,81,0,0.0
100,20,90,3600,86.104,105,422.691,1756.0,7.222,0.0,25.665,66,3400,3321,79,0,0.0
100,25,0,3600,85.888,104,390.621,1643.0,7.247,0.0,25.302,65,3400,3320,80,0,0.0
100,25,5,3600,83.146,99,357.112,1455.0,7.483,0.0,23.081,61,3400,3322,78,0,0.0
100,25,10,3600,80.369,96,320.164,1188.0,7.746,0.0,20.874,54,3400,3325,75,0,0.0
100,25,15,3600,78.192,94,303.204,1002.0,7.979,0.0,19.813,48,3400,3325,75,0,0.0
100,25,20,3600,76.88,93,270.825,840.0,8.124,0.0,18.541,45,3400,3326,74,0,0.0
100,25,25,3600,76.32,92,258.255,766.0,8.193,0.0,18.03,44,3400,3327,73,0,0.0
100,25,30,3600,75.514,91,240.387,694.0,8.291,0.0,17.278,43,3400,3329,71,0,0.0
100,25,35,3600,75.661,90,238.232,650.0,8.277,0.0,17.184,42,3400,3330,70,0,0.0
100,25,40,3600,76.833,92,242.183,699.0,8.139,0.0,17.373,41,3400,3330,70,0,0.0
100,25,45,3600,77.946,92,245.852,786.0,8.017,0.0,17.924,46,3400,3330,70,0,0.0
100,25,50,3600,82.295,98,311.869,897.0,7.61,0.0,21.652,48,3400,3328,72,0,0.0
100,25,55,3600,95.656,123,487.664,1371.0,6.572,0.0,31.964,71,3400,3305,95,0,0.0
100,25,60,3600,134.706,197,1505.884,4219.0,4.789,0.0,66.404,149,3400,3227,173,0,0.0
100,25,65,3600,134.974,197,1495.026,4033.0,4.776,0.0,66.575,144,3400,3228,172,0,0.0
100,25,70,3600,135.306,196,1499.701,4000.0,4.762,0.0,66.869,138,3400,3221,179,0,0.0
100,25,75,3600,135.388,195,1508.724,4007.0,4.755,0.0,66.904,137,3400,3223,177,0,0.0
100,25,80,3600,135.354,198,1525.872,3986.0,4.752,0.0,66.883,141,3400,3224,176,0,0.0
100,25,85,3600,89.552,107,444.097,1616.0,6.96,0.0,28.239,68,3400,3320,80,0,0.0
100,25,90,3600,85.888,104,390.621,1643.0,7.247,0.0,25.302,65,3400,3320,80,0,0.0
100,30,0,3600,89.604,106,421.606,1666.0,6.951,0.0,27.454,67,3400,3320,80,0,0.0
100,30,5,3600,85.919,99,372.189,1403.0,7.25,0.0,24.617,61,3400,3321,79,0,0.0
100,30,10,3600,82.533,99,324.154,1222.0,7.554,0.0,21.828,56,3400,3323,77,0,0.0
100,30,15,3600,79.291,95,276.734,968.0,7.877,0.0,19.122,49,3400,3327,73,0,0.0
100,30,20,3600,77.221,94,260.163,835.0,8.109,0.0,18.118,45,3400,3329,71,0,0.0
100,30,25,3600,76.286,92,239.544,711.0,8.214,0.0,17.204,42,3400,3331,69,0,0.0
100,30,30,3600,75.467,92,221.586,671.0,8.311,0.0,16.413,41,3400,3333,67,0,0.0
100,30,35,3600,75.527,92,221.904,620.0,8.302,0.0,16.395,42,3400,3334,66,0,0.0
100,30,40,3600,75.673,90,224.806,632.0,8.272,0.0,16.474,39,3400,3333,67,0,0.0
100,30,45,3600,77.049,90,225.004,716.0,8.12,0.0,16.424,44,3400,3334,66,0,0.0
100,30,50,3600,78.178,93,229.966,679.0,8.003,0.0,17.001,37,3400,3333,67,0,0.0
100,30,55,3600,82.406,100,290.132,753.0,7.607,0.0,20.824,43,3400,3330,70,0,0.0
100,30,60,3600,95.87,122,468.131,1359.0,6.557,0.0,31.805,68,3400,3308,92,0,0.0
100,30,65,3600,134.986,198,1508.632,3778.0,4.774,0.0,66.556,140,3400,3229,171,0,0.0
100,30,70,3600,135.287,198,1503.065,3684.0,4.757,0.0,66.798,135,3400,3225,175,0,0.0
100,30,75,3600,135.422,195,1500.08,3609.0,4.744,0.0,66.841,134,3400,3225,175,0,0.0
100,30,80,3600,135.299,198,1509.421,3616.0,4.747,0.0,66.81,136,3400,3226,174,0,0.0
100,30,85,3600,135.421,197,1530.792,3900.0,4.741,0.0,66.938,143,3400,3227,173,0,0.0
100,30,90,3600,89.604,106,421.606,1666.0,6.951,0.0,27.454,67,3400,3320,80,0,0.0
100,35,0,3600,135.666,199,1541.374,4181.0,4.72,0.0,67.114,143,3400,3226,174,0,0.0
100,35,5,3600,89.995,104,407.959,1412.0,6.916,0.0,27.264,66,3400,3315,85,0,0.0
100,35,10,3600,86.898,99,367.652,1179.0,7.174,0.0,24.799,59,3400,3319,81,0,0.0
100,35,15,3600,83.064,96,312.555,993.0,7.52,0.0,21.638,55,3400,3321,79,0,0.0
100,35,20,3600,79.596,95,260.804,821.0,7.861,0.0,18.678,49,3400,3326,74,0,0.0
100,35,25,3600,77.128,92,234.648,685.0,8.138,0.0,17.273,41,3400,3331,69,0,0.0
100,35,30,3600,76.108,93,213.656,621.0,8.248,0.0,16.296,40,3400,3333,67,0,0.0
100,35,35,3600,76.086,92,214.412,666.0,8.242,0.0,16.258,40,3400,3334,66,0,0.0
100,35,40,3600,76.269,91,218.857,584.0,8.206,0.0,16.36,38,3400,3335,65,0,0.0
100,35,45,3600,76.107,90,217.048,668.0,8.209,0.0,16.154,41,3400,3335,65,0,0.0
100,35,50,3600,77.512,93,220.098,614.0,8.062,0.0,16.088,35,3400,3334,66,0,0.0
100,35,55,3600,78.724,95,224.979,585.0,7.936,0.0,16.849,34,3400,3334,66,0,0.0
100,35,60,3600,82.734,100,278.939,639.0,7.557,0.0,20.579,40,3400,3332,68,0,0.0
100,35,65,3600,96.691,123,467.869,1402.0,6.476,0.0,32.288,60,3400,3309,91,0,0.0
100,35,70,3600,135.388,200,1524.553,3504.0,4.742,0.0,66.882,128,3400,3225,175,0,0.0
100,35,75,3600,135.588,199,1513.996,3370.0,4.728,0.0,67.011,130,3400,3224,176,0,0.0
100,35,80,3600,135.454,199,1517.082,3460.0,4.726,0.0,67.014,134,3400,3226,174,0,0.0
100,35,85,3600,135.706,198,1525.511,3551.0,4.714,0.0,67.149,136,3400,3227,173,0,0.0
100,35,90,3600,135.666,199,1541.374,4181.0,4.72,0.0,67.114,143,3400,3226,174,0,0.0
100,40,0,3600,135.816,199,1534.766,3770.0,4.7,0.0,67.076,138,3400,3227,173,0,0.0
100,40,5,3600,135.998,197,1558.785,3754.0,4.702,0.0,67.3,137,3400,3223,177,0,0.0
