offset_j2,offset_j3,rows,mean_vehicle_count,max_vehicle_count,mean_total_waiting_time,max_total_waiting_time,mean_speed,min_mean_speed,mean_total_queue,max_total_queue,mean_E1_queue_J1_J2,mean_neg_E1_queue_J2_J1,mean_E2_queue_J2_J3,mean_neg_E2_queue_J3_J2,total_departed,total_arrived,final_active,final_buffered,buffered_ratio
0,0,3600,92.896,111,418.791,1838.0,7.513,0.0,26.347,69,3.069,4.564,5.169,1.678,3400,3303,97,0,0.0
0,5,3600,93.216,112,434.912,1771.0,7.483,0.0,26.744,67,3.004,3.358,5.902,2.465,3400,3304,96,0,0.0
0,10,3600,92.958,115,445.624,1700.0,7.494,0.0,26.609,67,3.049,1.818,4.982,4.447,3400,3298,102,0,0.0
0,15,3600,92.075,118,437.307,1594.0,7.573,0.0,25.834,63,2.964,0.906,3.888,5.901,3400,3296,104,0,0.0
0,20,3600,90.896,119,415.693,1585.0,7.702,0.0,24.788,62,2.999,1.019,2.229,6.492,3400,3295,105,0,0.0
0,25,3600,87.965,117,346.443,1473.0,7.996,0.0,22.068,58,2.978,1.035,0.499,5.532,3400,3299,101,0,0.0
0,30,3600,86.731,113,309.766,1272.0,8.117,0.0,20.658,53,3.006,0.989,0.055,4.602,3400,3301,99,0,0.0
0,35,3600,86.341,115,291.344,1235.0,8.154,0.0,20.061,51,3.04,0.916,0.305,3.654,3400,3304,96,0,0.0
0,40,3600,85.987,112,280.393,1005.0,8.191,0.0,19.714,50,3.011,0.99,0.718,2.774,3400,3305,95,0,0.0
0,45,3600,85.819,110,270.804,1139.0,8.241,0.0,19.163,52,3.017,1.035,1.108,1.9,3400,3306,94,0,0.0
0,50,3600,85.952,107,267.12,1106.0,8.274,0.0,18.835,50,3.031,1.001,1.672,1.116,3400,3307,93,0,0.0
0,55,3600,86.549,105,277.486,979.0,8.245,0.0,19.256,44,3.101,1.164,2.596,0.407,3400,3306,94,0,0.0
0,60,3600,86.886,105,288.316,972.0,8.214,0.0,19.918,48,2.939,1.384,3.639,0.037,3400,3308,92,0,0.0
0,65,3600,88.222,104,323.483,976.0,8.061,0.0,21.773,56,2.976,1.807,4.855,0.011,3400,3309,91,0,0.0
0,70,3600,91.147,108,382.731,1253.0,7.775,0.0,24.41,65,2.992,2.88,6.067,0.26,3400,3303,97,0,0.0
0,75,3600,92.429,110,413.382,1473.0,7.63,0.0,25.673,66,3.002,3.955,5.918,0.648,3400,3303,97,0,0.0
0,80,3600,92.13,113,408.902,1629.0,7.614,0.0,25.593,67,2.941,4.889,4.738,1.071,3400,3303,97,0,0.0
0,85,3600,93.218,112,428.959,1737.0,7.5,0.0,26.632,69,3.025,5.599,4.608,1.375,3400,3305,95,0,0.0
0,90,3600,92.896,111,418.791,1838.0,7.513,0.0,26.347,69,3.069,4.564,5.169,1.678,3400,3303,97,0,0.0
5,0,3600,92.839,110,411.33,1704.0,7.54,0.0,26.16,69,1.981,4.821,5.948,1.492,3400,3308,92,0,0.0
5,5,3600,93.169,109,424.966,1595.0,7.502,0.0,26.527,67,1.956,3.882,6.841,1.778,3400,3306,94,0,0.0
5,10,3600,92.303,110,419.157,1506.0,7.562,0.0,25.897,66,1.974,2.869,6.139,2.498,3400,3303,97,0,0.0
5,15,3600,91.725,113,426.536,1521.0,7.614,0.0,25.59,63,1.941,2.096,4.869,4.453,3400,3298,102,0,0.0
5,20,3600,92.345,117,447.361,1530.0,7.597,0.0,26.106,67,1.958,2.632,3.414,6.027,3400,3300,100,0,0.0
5,25,3600,91.216,119,422.446,1506.0,7.724,0.0,25.082,64,1.947,2.966,1.605,6.489,3400,3301,99,0,0.0
5,30,3600,88.563,112,360.869,1225.0,7.985,0.0,22.701,55,1.958,2.918,0.315,5.53,3400,3306,94,0,0.0
5,35,3600,87.831,110,335.108,1147.0,8.052,0.0,21.76,52,1.961,3.002,0.062,4.604,3400,3309,91,0,0.0
5,40,3600,87.318,109,317.366,1105.0,8.093,0.0,21.149,51,1.986,2.959,0.253,3.673,3400,3310,90,0,0.0
5,45,3600,86.651,107,297.745,1111.0,8.165,0.0,20.267,53,1.954,3.05,0.513,2.703,3400,3311,89,0,0.0
5,50,3600,86.698,106,289.656,1061.0,8.192,0.0,19.784,49,2.004,2.919,0.848,1.895,3400,3311,89,0,0.0
5,55,3600,86.716,104,283.122,929.0,8.222,0.0,19.408,43,1.958,2.906,1.421,1.112,3400,3312,88,0,0.0
5,60,3600,87.141,105,288.065,875.0,8.197,0.0,19.694,42,1.956,2.951,2.384,0.415,3400,3314,86,0,0.0
5,65,3600,87.514,103,298.601,891.0,8.149,0.0,20.431,52,1.981,2.735,3.596,0.032,3400,3315,85,0,0.0
5,70,3600,88.444,102,323.509,969.0,8.033,0.0,21.881,60,1.934,2.904,4.76,0.036,3400,3309,91,0,0.0
5,75,3600,91.355,105,382.457,1189.0,7.745,0.0,24.591,62,1.96,4.15,6.024,0.388,3400,3309,91,0,0.0
5,80,3600,92.376,108,404.288,1434.0,7.625,0.0,25.561,67,1.962,5.071,5.769,0.828,3400,3309,91,0,0.0
5,85,3600,92.996,110,415.506,1580.0,7.545,0.0,26.208,67,1.947,5.79,5.221,1.16,3400,3310,90,0,0.0
5,90,3600,92.839,110,411.33,1704.0,7.54,0.0,26.16,69,1.981,4.821,5.948,1.492,3400,3308,92,0,0.0
10,0,3600,93.031,110,410.118,1667.0,7.553,0.0,26.17,69,1.438,5.114,6.392,1.124,3400,3312,88,0,0.0
10,5,3600,93.388,109,426.716,1549.0,7.509,0.0,26.644,68,1.459,4.243,7.256,1.469,3400,3309,91,0,0.0
10,10,3600,92.112,108,409.618,1383.0,7.6,0.0,25.603,66,1.453,3.433,6.612,1.649,3400,3307,93,0,0.0
10,15,3600,90.906,111,401.067,1279.0,7.705,0.0,24.753,63,1.472,2.901,5.478,2.549,3400,3305,95,0,0.0
10,20,3600,91.843,116,434.602,1400.0,7.656,0.0,25.742,66,1.473,3.717,3.872,4.454,3400,3306,94,0,0.0
10,25,3600,92.984,118,461.467,1495.0,7.602,0.0,26.666,68,1.382,4.665,2.241,6.144,3400,3305,95,0,0.0
10,30,3600,92.193,115,440.441,1356.0,7.695,0.0,25.896,62,1.446,4.928,0.885,6.504,3400,3306,94,0,0.0
10,35,3600,90.449,110,396.474,1277.0,7.853,0.0,24.292,56,1.444,4.849,0.156,5.55,3400,3312,88,0,0.0
10,40,3600,89.572,108,366.796,1122.0,7.921,0.0,23.234,54,1.432,4.724,0.041,4.622,3400,3313,87,0,0.0
10,45,3600,88.945,109,344.915,1281.0,7.974,0.0,22.395,57,1.451,4.858,0.195,3.648,3400,3313,87,0,0.0
10,50,3600,88.623,105,328.356,1105.0,8.019,0.0,21.617,50,1.473,4.812,0.411,2.735,3400,3315,85,0,0.0
10,55,3600,88.811,104,319.253,1119.0,8.03,0.0,21.172,49,1.429,4.87,0.815,1.877,3400,3315,85,0,0.0
10,60,3600,89.062,104,315.781,972.0,8.025,0.0,21.198,44,1.465,4.83,1.69,1.103,3400,3317,83,0,0.0
10,65,3600,89.669,104,326.595,992.0,7.967,0.0,21.77,56,1.402,4.87,2.758,0.399,3400,3318,82,0,0.0
10,70,3600,90.044,103,341.685,926.0,7.918,0.0,22.609,60,1.456,4.69,4.019,0.031,3400,3312,88,0,0.0
10,75,3600,90.01,102,350.161,1095.0,7.886,0.0,23.272,62,1.44,4.337,5.21,0.012,3400,3313,87,0,0.0
10,80,3600,92.688,109,402.165,1393.0,7.632,0.0,25.654,68,1.434,5.33,6.381,0.377,3400,3313,87,0,0.0
10,85,3600,93.728,111,426.071,1666.0,7.52,0.0,26.711,68,1.435,6.061,6.281,0.761,3400,3312,88,0,0.0
10,90,3600,93.031,110,410.118,1667.0,7.553,0.0,26.17,69,1.438,5.114,6.392,1.124,3400,3312,88,0,0.0
15,0,3600,93.452,110,414.457,1812.0,7.553,0.0,26.382,71,0.987,5.511,7.08,0.774,3400,3311,89,0,0.0
15,5,3600,93.715,109,428.996,1622.0,7.516,0.0,26.766,69,1.006,4.905,7.612,1.141,3400,3310,90,0,0.0
15,10,3600,92.921,109,419.682,1411.0,7.568,0.0,26.113,67,0.979,4.335,7.019,1.366,3400,3307,93,0,0.0
15,15,3600,91.257,107,398.25,1234.0,7.712,0.0,24.827,65,0.97,3.959,5.963,1.654,3400,3307,93,0,0.0
15,20,3600,90.475,113,392.697,1238.0,7.797,0.0,24.221,64,0.995,4.16,4.411,2.506,3400,3310,90,0,0.0
15,25,3600,91.787,116,431.178,1265.0,7.718,0.0,25.566,65,0.991,5.236,2.743,4.514,3400,3308,92,0,0.0
15,30,3600,93.157,114,458.467,1314.0,7.64,0.0,26.678,65,0.99,6.061,1.401,6.164,3400,3308,92,0,0.0
15,35,3600,93.046,112,450.07,1255.0,7.663,0.0,26.5,56,0.948,6.203,0.609,6.506,3400,3312,88,0,0.0
15,40,3600,91.694,109,412.247,1184.0,7.773,0.0,25.209,56,1.002,6.241,0.073,5.56,3400,3313,87,0,0.0
15,45,3600,90.798,107,381.045,1260.0,7.843,0.0,24.064,59,0.979,6.301,0.025,4.581,3400,3314,86,0,0.0
15,50,3600,90.425,106,363.345,1164.0,7.874,0.0,23.343,54,0.989,6.424,0.144,3.655,3400,3315,85,0,0.0
15,55,3600,90.334,106,344.317,1090.0,7.896,0.0,22.559,48,0.995,6.328,0.451,2.711,3400,3315,85,0,0.0
15,60,3600,90.581,103,335.922,1027.0,7.89,0.0,22.388,50,1.002,6.387,1.136,1.875,3400,3317,83,0,0.0
15,65,3600,91.057,102,339.117,1024.0,7.847,0.0,22.749,54,1.005,6.397,2.157,1.098,3400,3318,82,0,0.0
15,70,3600,91.485,103,349.517,1030.0,7.803,0.0,23.272,61,0.985,6.282,3.316,0.408,3400,3312,88,0,0.0
15,75,3600,91.655,104,363.126,1110.0,7.767,0.0,23.898,61,0.983,6.109,4.532,0.029,3400,3313,87,0,0.0
15,80,3600,91.324,107,368.644,1300.0,7.767,0.0,24.324,65,1.001,5.51,5.759,0.025,3400,3314,86,0,0.0
15,85,3600,93.967,110,422.01,1604.0,7.528,0.0,26.686,70,0.968,6.366,6.919,0.327,3400,3314,86,0,0.0
15,90,3600,93.452,110,414.457,1812.0,7.553,0.0,26.382,71,0.987,5.511,7.08,0.774,3400,3311,89,0,0.0
20,0,3600,93.408,110,405.702,1690.0,7.577,0.0,26.154,71,0.364,5.939,7.46,0.477,3400,3315,85,0,0.0
20,5,3600,94.14,110,430.957,1653.0,7.51,0.0,26.949,70,0.411,5.556,8.158,0.885,3400,3312,88,0,0.0
20,10,3600,93.174,107,419.474,1392.0,7.581,0.0,26.237,69,0.389,5.11,7.382,1.153,3400,3309,91,0,0.0
20,15,3600,91.876,106,401.294,1247.0,7.693,0.0,25.146,66,0.391,4.7,6.418,1.446,3400,3309,91,0,0.0
20,20,3600,89.586,107,366.529,1043.0,7.899,0.0,23.308,62,0.416,4.356,4.759,1.758,3400,3312,88,0,0.0
20,25,3600,89.001,110,361.865,1065.0,7.974,0.0,22.852,62,0.39,4.544,3.234,2.658,3400,3314,86,0,0.0
20,30,3600,90.69,107,400.432,1106.0,7.855,0.0,24.426,61,0.391,5.551,1.953,4.561,3400,3312,88,0,0.0
20,35,3600,92.736,109,439.933,1175.0,7.701,0.0,26.163,59,0.452,6.382,1.147,6.077,3400,3316,84,0,0.0
20,40,3600,93.29,110,444.041,1127.0,7.66,0.0,26.597,57,0.404,6.902,0.508,6.533,3400,3316,84,0,0.0
20,45,3600,91.678,107,397.647,1237.0,7.79,0.0,24.956,59,0.416,6.899,0.024,5.52,3400,3317,83,0,0.0
20,50,3600,90.921,107,371.805,1145.0,7.847,0.0,23.997,55,0.402,6.931,0.01,4.593,3400,3318,82,0,0.0
20,55,3600,90.67,107,347.103,1045.0,7.872,0.0,23.049,49,0.351,6.904,0.173,3.636,3400,3318,82,0,0.0
20,60,3600,90.937,107,333.371,990.0,7.857,0.0,22.679,46,0.425,6.933,0.699,2.724,3400,3320,80,0,0.0
20,65,3600,91.347,105,328.921,979.0,7.82,0.0,22.787,61,0.394,6.904,1.564,1.874,3400,3320,80,0,0.0
20,70,3600,91.811,105,335.858,960.0,7.777,0.0,23.273,61,0.44,6.905,2.691,1.093,3400,3315,85,0,0.0
20,75,3600,92.099,106,346.105,967.0,7.737,0.0,23.708,61,0.454,6.82,3.903,0.413,3400,3315,85,0,0.0
20,80,3600,91.916,107,357.118,1206.0,7.735,0.0,24.072,64,0.355,6.685,5.055,0.034,3400,3317,83,0,0.0
20,85,3600,92.418,108,384.942,1498.0,7.673,0.0,25.215,67,0.368,6.521,6.283,0.036,3400,3318,82,0,0.0
20,90,3600,93.408,110,405.702,1690.0,7.577,0.0,26.154,71,0.364,5.939,7.46,0.477,3400,3315,85,0,0.0
25,0,3600,91.727,109,364.573,1563.0,7.73,0.0,24.521,69,0.025,5.522,7.12,0.0,3400,3314,86,0,0.0
25,5,3600,92.876,109,397.79,1461.0,7.627,0.0,25.674,69,0.036,4.95,8.338,0.326,3400,3312,88,0,0.0
25,10,3600,91.962,107,390.252,1324.0,7.702,0.0,25.056,69,0.024,4.539,7.645,0.687,3400,3310,90,0,0.0
25,15,3600,90.405,105,369.307,1163.0,7.841,0.0,23.854,65,0.037,4.138,6.574,1.053,3400,3311,89,0,0.0
25,20,3600,88.524,106,337.93,996.0,8.014,0.0,22.191,61,0.024,3.702,5.132,1.389,3400,3313,87,0,0.0
25,25,3600,86.536,107,307.534,1033.0,8.212,0.0,20.528,57,0.024,3.39,3.421,1.746,3400,3316,84,0,0.0
25,30,3600,86.195,105,307.172,915.0,8.264,0.0,20.333,52,0.038,3.558,2.269,2.555,3400,3319,81,0,0.0
25,35,3600,88.803,109,357.399,937.0,8.038,0.0,22.661,53,0.012,4.583,1.489,4.481,3400,3320,80,0,0.0
25,40,3600,90.999,109,393.537,924.0,7.852,0.0,24.488,53,0.037,5.427,0.885,5.986,3400,3318,82,0,0.0
25,45,3600,91.345,109,389.535,1119.0,7.824,0.0,24.706,58,0.037,5.992,0.201,6.469,3400,3318,82,0,0.0
25,50,3600,90.399,107,357.025,1042.0,7.899,0.0,23.657,55,0.024,5.982,0.023,5.573,3400,3319,81,0,0.0
25,55,3600,89.986,106,327.047,946.0,7.936,0.0,22.608,49,0.05,5.999,0.097,4.577,3400,3319,81,0,0.0
25,60,3600,90.148,109,306.635,904.0,7.926,0.0,22.023,43,0.037,5.989,0.488,3.625,3400,3320,80,0,0.0
25,65,3600,90.516,108,296.668,871.0,7.89,0.0,22.044,52,0.05,5.964,1.334,2.718,3400,3322,78,0,0.0
25,70,3600,90.944,107,296.546,856.0,7.849,0.0,22.299,66,0.025,5.974,2.323,1.877,3400,3317,83,0,0.0
25,75,3600,91.199,105,304.639,853.0,7.815,0.0,22.734,65,0.037,5.976,3.526,1.116,3400,3317,83,0,0.0
25,80,3600,91.205,106,314.873,1058.0,7.802,0.0,22.952,62,0.038,5.885,4.739,0.421,3400,3319,81,0,0.0
25,85,3600,91.558,107,340.447,1352.0,7.756,0.0,23.742,66,0.012,5.779,5.969,0.033,3400,3319,81,0,0.0
25,90,3600,91.727,109,364.573,1563.0,7.73,0.0,24.521,69,0.025,5.522,7.12,0.0,3400,3314,86,0,0.0
30,0,3600,91.662,109,314.045,1385.0,7.742,0.0,22.927,69,0.03,4.831,6.201,0.031,3400,3316,84,0,0.0
30,5,3600,92.279,108,352.438,1336.0,7.686,0.0,24.207,66,0.034,4.644,7.458,0.047,3400,3314,86,0,0.0
30,10,3600,93.354,108,386.778,1252.0,7.597,0.0,25.237,66,0.035,4.078,8.626,0.293,3400,3310,90,0,0.0
30,15,3600,92.618,105,387.766,1116.0,7.666,0.0,24.786,64,0.029,3.659,8.203,0.755,3400,3310,90,0,0.0
30,20,3600,90.603,104,358.909,998.0,7.846,0.0,23.147,60,0.032,3.223,6.782,1.159,3400,3312,88,0,0.0
30,25,3600,88.212,105,323.878,937.0,8.069,0.0,21.238,55,0.032,2.837,4.943,1.465,3400,3317,83,0,0.0
30,30,3600,85.781,103,284.276,899.0,8.308,0.0,19.13,47,0.033,2.476,2.96,1.758,3400,3321,79,0,0.0
